3147-2015-05-25_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;**;;;;;;;;;58.25
o;2;9.75;Gwerder Andreas;**;12;55.25;4;8.75;2;-1.0;8.75
o;5;18.5;Ruof Christof;;17;54.0;4;18.75;-1;0.25;8.5
+;9;27.0;Nägeli Roman;*;16;54.25;9;27.0;0;0.0;10.0
+;9;37.0;Fuster Sepp (1997);;17;54.0;9;37.0;0;0.0;10.0
o;5;47.0;Orlik Armon;**;3;57.5;3;47.5;-2;0.5;8.75

10b;Oertle Daniel;;;;;;;;;;55.75
-;;;Kessler Joel (1997);;;;;;;;8.75
+;4;8.75;Candraja Kevin;;17;54.0;4;8.75;0;0.0;9.75
-;5;18.5;Schlegel Reto (1997);*;15;54.5;6;18.25;1;-0.25;9.0
+;7;27.5;Straub Paul;;17;54.0;8;27.25;1;-0.25;9.75
+;8;37.25;Schweizer Christof;*;24;45.75;9;37.0;1;-0.25;10.0
o;4;47.25;Horner Peter;**;6;56.75;5;47.0;1;-0.25;8.5

10c;Ackermann Remo;*;;;;;;;;;55.75
+;;;Bernold Edi;**;;;;;;;9.75
-;2;9.75;Knechtle Martin;**;13;55.0;4;8.75;2;-1.0;8.75
+;5;18.5;Flütsch Marco (1999);;19;53.5;3;19.5;-2;1.0;10.0
-;3;28.5;Corvi Dominik;;10;55.75;3;28.5;0;0.0;8.75
-;8;37.25;Jud Pirmin;*;14;54.75;8;37.25;0;0.0;8.75
+;9;46.0;Kamer Hanspeter;*;15;54.5;9;46.0;0;0.0;9.75

10d;Corvi Dominik;;;;;;;;;;55.75
+;;;Fontana Michael;;;;;;;;10.0
-;1;10.0;Hochholdinger Roman;**;12;55.25;4;8.75;3;-1.25;8.75
+;4;18.75;Bleiker Reto;*;12;55.25;6;18.25;2;-0.5;9.75
-;3;28.5;Ackermann Remo;*;10;55.75;3;28.5;0;0.0;8.75
+;8;37.25;Mathis Patrick;;11;55.5;9;37.0;1;-0.25;10.0
o;4;47.25;Riget Tobias;**;5;57.0;5;47.0;1;-0.25;8.5

