3147-2015-05-25_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;**;;;;;;;;;58.25
o;14;44.75;Schlegel Reto (1997);*;15;54.5;15;44.5;1;-0.25;8.5

21a;Preisig Pascal;;;;;;;;;;53.0
+;;;Raschle Adrian;;;;;;;;9.75
o;2;9.75;Korrodi Paul;*;6;56.75;4;8.75;2;-1.0;8.5
-;6;18.25;Oertig Simon;;12;55.25;5;18.5;-1;0.25;8.75
o;9;27.0;Mettler Florian (1997);;18;53.75;10;26.75;1;-0.25;8.75
o;14;35.75;Straub Paul;;17;54.0;14;35.75;0;0.0;8.5
-;16;44.25;Rieser Fabian;;21;53.0;16;44.25;0;0.0;8.75

21b;Laager Andreas (1999);;;;;;;;;;53.0
o;;;Bürki Patrik (1999);;;;;;;;8.5
o;5;8.5;Scherrer Pascal;;18;53.75;5;8.5;0;0.0;8.5
+;10;17.0;Klee Sandro (1999);;25;35.25;10;17.0;0;0.0;10.0
-;9;27.0;Basler Siro;;22;52.75;10;26.75;1;-0.25;9.0
o;13;36.0;Castelberg Marius;;10;55.75;14;35.75;1;-0.25;8.5
o;15;44.5;Oetiker Ronny;;16;54.25;15;44.5;0;0.0;8.5

21c;Rieser Fabian;;;;;;;;;;53.0
-;;;Tanner Adrian;;;;;;;;8.75
+;4;8.75;Schönenberger Philipp;;22;52.75;4;8.75;0;0.0;10.0
o;4;18.75;Roth Martin;*;7;56.5;6;18.25;2;-0.5;8.5
o;8;27.25;Rüegg Roman;*;11;55.5;8;27.25;0;0.0;8.5
o;14;35.75;Inauen Aurel;;13;55.0;11;36.5;-3;0.75;8.5
-;16;44.25;Preisig Pascal;;21;53.0;16;44.25;0;0.0;8.75

21d;Schafflützel Patrick;;;;;;;;;;53.0
+;;;Basler Siro;;;;;;;;10.0
o;1;10.0;Castelli Fabio (1999);;17;54.0;1;10.0;0;0.0;8.5
-;5;18.5;Bürki Patrik (1999);;18;53.75;6;18.25;1;-0.25;8.75
o;8;27.25;Huber Pascal;*;13;55.0;9;27.0;1;-0.25;8.5
-;14;35.75;Fröhli Lukas (1999);;20;53.25;13;36.0;-1;0.25;8.75
o;15;44.5;Scherrer Willi;;17;54.0;16;44.25;1;-0.25;8.5

22a;Basler Siro;;;;;;;;;;52.75
o;;;Schafflützel Patrick;;;;;;;;8.5
+;5;8.5;Kirchmeier Christof (1999);;28;34.25;5;8.5;0;0.0;9.75
o;6;18.25;Hochholdinger Roman;**;12;55.25;8;17.5;2;-0.75;8.5
-;10;26.75;Laager Andreas (1999);;21;53.0;9;27.0;-1;0.25;9.0
o;14;35.75;Schiesser Patrik (1998);;15;54.5;13;36.0;-1;0.25;8.5
o;16;44.25;Horner Sämi;;17;54.0;16;44.25;0;0.0;8.5

22b;Jörger Marc;;;;;;;;;;52.75
-;;;Wittenwiler Roman (1998);;;;;;;;8.75
o;4;8.75;Straub Paul;;17;54.0;4;8.75;0;0.0;8.5
+;9;17.25;Sonderegger Damian (1997);;28;34.25;9;17.25;0;0.0;10.0
o;8;27.25;Korrodi Paul;*;6;56.75;9;27.0;1;-0.25;8.5
o;14;35.75;Pfiffner Ivo;;11;55.5;14;35.75;0;0.0;8.5
o;16;44.25;Scherrer Pascal;;18;53.75;17;44.0;1;-0.25;8.5

22c;Schönenberger Philipp;;;;;;;;;;52.75
-;;;Koller Fabian;;;;;;;;8.75
o;4;8.75;Rieser Fabian;;21;53.0;4;8.75;0;0.0;8.5
+;9;17.25;Langenegger Beat (1997);;28;34.25;10;17.0;1;-0.25;10.0
o;8;27.25;Manser Bruno;*;14;54.75;8;27.25;0;0.0;8.5
o;14;35.75;Pianta Christian (1997);;12;55.25;14;35.75;0;0.0;8.5
o;16;44.25;Grenci Mauro (1999);;16;54.25;16;44.25;0;0.0;8.5

23a;Leuzinger Beny (1999);;;;;;;;;;52.5
o;;;Fröhli Lukas (1999);;;;;;;;8.5
+;5;8.5;Raschle Simon (1999);;25;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Odermatt Christoph;*;9;56.0;8;17.5;3;-1.0;8.5
o;9;27.0;Caflisch Stefan;;17;54.0;9;27.0;0;0.0;8.5
o;15;35.5;Bürki Patrik (1999);;18;53.75;15;35.5;0;0.0;8.5
o;17;44.0;Candraja Kevin;;17;54.0;17;44.0;0;0.0;8.5

24a;Schweizer Christof;*;;;;;;;;;45.75
+;;;Fässler Cornel;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;5;57.0;4;8.75;3;-1.25;8.5
+;5;18.5;Scherrer Pascal;;18;53.75;5;18.5;0;0.0;10.0
o;3;28.5;Riget Tobias;**;5;57.0;3;28.5;0;0.0;8.5
o;9;37.0;Oertle Daniel;;10;55.75;8;37.25;-1;0.25;8.75

25a;Buchmann Michael;;;;;;;;;;35.25
+;;;Castelberg Andri;;;;;;;;9.75
o;2;9.75;Kamer Hanspeter;*;15;54.5;4;8.75;2;-1.0;8.5
o;6;18.25;Dörig Erich;;13;55.0;7;17.75;1;-0.5;8.5
o;10;26.75;Rütsche Werner;;18;53.75;10;26.75;0;0.0;8.5

25b;Moseler Manuel (1999);;;;;;;;;;35.25
o;;;Schnyder Christian;;;;;;;;8.5
+;5;8.5;Klee Sandro (1999);;25;35.25;5;8.5;0;0.0;9.75
o;6;18.25;Inauen Andreas;*;11;55.5;5;18.5;-1;0.25;8.5
o;10;26.75;Mösli Reto;;13;55.0;10;26.75;0;0.0;8.5

25c;Wolfender Roman;;;;;;;;;;35.25
o;;;Ruof Christof;;;;;;;;8.5
o;5;8.5;Pfiffner Ivo;;11;55.5;4;8.75;-1;0.25;8.5
+;10;17.0;Fässler Michael (1999);;28;34.25;10;17.0;0;0.0;9.75
o;10;26.75;Sprecher Sandro;*;11;55.5;9;27.0;-1;0.25;8.5

25d;Klee Sandro (1999);;;;;;;;;;35.25
o;;;Kamm Fritz (1999);;;;;;;;8.5
o;5;8.5;Moseler Manuel (1999);;25;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Laager Andreas (1999);;21;53.0;10;17.0;0;0.0;8.5
+;14;25.5;Rhyner Beni (1999);;27;34.5;13;25.75;-1;0.25;9.75

25e;Raschle Simon (1999);;;;;;;;;;35.25
o;;;Horner Sämi;;;;;;;;8.5
o;5;8.5;Leuzinger Beny (1999);;23;52.5;5;8.5;0;0.0;8.5
+;10;17.0;Kirchmeier Christof (1999);;28;34.25;10;17.0;0;0.0;9.75
o;10;26.75;Biäsch Christian;;17;54.0;9;27.0;-1;0.25;8.5

25f;Eisenring Daniel (1997);;;;;;;;;;35.25
o;;;Jecklin Alexsandro (1998);;;;;;;;8.5
o;5;8.5;Biäsch Christian;;17;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Rhyner Beni (1999);;27;34.5;9;17.25;-1;0.25;9.75
o;10;26.75;Kamm Fritz (1999);;17;54.0;9;27.0;-1;0.25;8.5

25g;Bruhin Fredi (1997);;;;;;;;;;35.25
+;;;Pfister Florian;;;;;;;;9.75
o;2;9.75;Bleiker Reto;*;12;55.25;5;8.5;3;-1.25;8.5
o;6;18.25;Inauen Aurel;;13;55.0;6;18.25;0;0.0;8.5
o;10;26.75;Koller Fabian;;13;55.0;9;27.0;-1;0.25;8.5

26a;Thiemann Fabrice;;;;;;;;;;34.75
-;;;Pfiffner Ivo;;;;;;;;8.75
-;4;8.75;Litscher Manuel;;11;55.5;4;8.75;0;0.0;8.75
o;8;17.5;Kammermann Dominik;;14;54.75;8;17.5;0;0.0;8.5
o;12;26.0;Oetiker Ronny;;16;54.25;11;26.25;-1;0.25;8.75

27a;Zingg Christoph;;;;;;;;;;34.5
o;;;Streiff Dominik;;;;;;;;8.5
-;5;8.5;Oetiker Ronny;;16;54.25;4;8.75;-1;0.25;8.75
-;9;17.25;Wittenwiler Roman (1998);;27;34.5;9;17.25;0;0.0;8.75
o;12;26.0;Castelberg Andri;;18;53.75;10;26.75;-2;0.75;8.5

27b;Güntensperger Marcel;*;;;;;;;;;34.5
-;;;Sprecher Sandro;*;;;;;;;8.75
-;4;8.75;Ruof Christof;;17;54.0;1;10.0;-3;1.25;8.75
o;8;17.5;Schäppi Urs;;16;54.25;5;18.5;-3;1.0;8.5
o;12;26.0;Hofstetter Manuel;*;10;55.75;12;26.0;0;0.0;8.5

27c;Wittenwiler Roman (1998);;;;;;;;;;34.5
-;;;Jörger Marc;;;;;;;;8.75
o;4;8.75;Oettli Marco (1997);;10;55.75;3;9.0;-1;0.25;8.5
-;9;17.25;Zingg Christoph;;27;34.5;9;17.25;0;0.0;8.75
o;12;26.0;Pfister Florian;;16;54.25;11;26.25;-1;0.25;8.5

27d;Rhyner Beni (1999);;;;;;;;;;34.5
-;;;Sonderegger Damian (1997);;;;;;;;8.75
o;4;8.75;Raymann David;;12;55.25;5;8.5;1;-0.25;8.5
o;9;17.25;Eisenring Daniel (1997);;25;35.25;10;17.0;1;-0.25;8.5
o;13;25.75;Klee Sandro (1999);;25;35.25;14;25.5;1;-0.25;8.75

28a;Koller Andreas (1998);;;;;;;;;;34.25
o;;;Fuster Sepp (1997);;;;;;;;8.5
o;5;8.5;Rüegg Fabian;;11;55.5;5;8.5;0;0.0;8.5
o;10;17.0;Rütsche Werner;;18;53.75;10;17.0;0;0.0;8.5
-;14;25.5;Langenegger Beat (1997);;28;34.25;14;25.5;0;0.0;8.75

28b;Fässler Michael (1999);;;;;;;;;;34.25
o;;;Jöhl Christian;;;;;;;;8.5
o;5;8.5;Mathis Patrick;;11;55.5;2;9.75;-3;1.25;8.5
o;10;17.0;Wolfender Roman;;25;35.25;10;17.0;0;0.0;8.5
o;14;25.5;Litscher Manuel;;11;55.5;12;26.0;-2;0.5;8.75

28c;Frei Claude (1999);;;;;;;;;;34.25
o;;;Pianta Christian (1997);;;;;;;;8.5
o;5;8.5;Riedi Thomas;;17;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Schiesser Patrik (1998);;15;54.5;10;17.0;0;0.0;8.5
-;14;25.5;Kirchmeier Christof (1999);;28;34.25;14;25.5;0;0.0;8.75

28d;Kirchmeier Christof (1999);;;;;;;;;;34.25
o;;;Castelli Fabio (1999);;;;;;;;8.5
o;5;8.5;Basler Siro;;22;52.75;5;8.5;0;0.0;8.5
o;10;17.0;Raschle Simon (1999);;25;35.25;10;17.0;0;0.0;8.5
-;14;25.5;Frei Claude (1999);;28;34.25;14;25.5;0;0.0;8.75

28e;Sonderegger Damian (1997);;;;;;;;;;34.25
-;;;Rhyner Beni (1999);;;;;;;;8.75
o;4;8.75;Koller Fabian;;13;55.0;4;8.75;0;0.0;8.5
o;9;17.25;Jörger Marc;;22;52.75;9;17.25;0;0.0;8.5
o;13;25.75;Raschle Adrian;;17;54.0;13;25.75;0;0.0;8.5

28f;Langenegger Beat (1997);;;;;;;;;;34.25
o;;;Bernold Michael (1999);;;;;;;;8.5
o;5;8.5;Fontana Michael;;9;56.0;5;8.5;0;0.0;8.5
o;10;17.0;Schönenberger Philipp;;22;52.75;9;17.25;-1;0.25;8.5
-;14;25.5;Koller Andreas (1998);;28;34.25;14;25.5;0;0.0;8.75

29a;Schläpfer Ramon (1999);;;;;;;;;;34.0
o;;;Oertig Simon;;;;;;;;8.5
o;5;8.5;Castelberg Andri;;18;53.75;5;8.5;0;0.0;8.5
o;10;17.0;Candraja Kevin;;17;54.0;9;17.25;-1;0.25;8.5
o;14;25.5;Castelberg Marius;;10;55.75;12;26.0;-2;0.5;8.5

