2951-2017-08-20_18_Schwaegalp-Schwinget-ST

1a;Bösch Daniel;***;;;;;;;;;58.75
+;6;18.25;Schmid Patrick;*;22;35.25;6;18.25;0;0.0;9.75
o;6;28.0;Leuppi Samir;**;7;56.25;6;28.0;0;0.0;8.5
-;10;36.5;Piemontesi Pascal;**;13;54.75;8;37.0;-2;0.5;9.0
o;10;45.5;Dind Samuel;**;10;55.5;10;45.5;0;0.0;8.5

17a;Kuster Thomas;*;;;;;;;;;53.75
o;;;Korrodi Paul;*;;;;;;;8.5
+;4;8.5;Schwyn Adrian;*;26;34.0;4;8.5;0;0.0;9.75
+;6;18.25;Gwerder Andreas;**;20;52.75;9;17.0;3;-1.25;9.75
o;6;28.0;Rychen Roger;***;10;55.5;5;28.25;-1;0.25;8.5
o;10;36.5;Borcard Johann;**;11;55.25;8;37.0;-2;0.5;8.5
-;12;45.0;Brodard Augustin;**;16;54.0;11;45.25;-1;0.25;8.75

17b;Korrodi Paul;*;;;;;;;;;53.75
+;;;Kuster Thomas;*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;13;54.75;3;8.75;1;-1.0;8.5
-;6;18.25;Ott Damian (2000);*;20;52.75;6;18.25;0;0.0;8.75
o;9;27.0;Eugster Ruedi;**;14;54.5;8;27.25;-1;0.25;8.5
+;13;35.5;Rüegg Fabian;*;18;53.25;12;35.75;-1;0.25;9.75
o;11;45.25;Baumann Rico;*;12;55.0;11;45.25;0;0.0;8.5

18a;Rüegg Fabian;*;;;;;;;;;53.25
-;;;Dändliker Shane;*;;;;;;;8.75
+;3;8.75;Arztmann Beda;*;19;53.0;3;8.75;0;0.0;10.0
o;4;18.75;Reusser Philipp;***;12;55.0;6;18.25;2;-0.5;8.5
o;8;27.25;Dousse Michel;**;15;54.25;8;27.25;0;0.0;8.5
o;12;35.75;Korrodi Paul;*;17;53.75;13;35.5;1;-0.25;8.5
-;15;44.25;Zbinden Marc;*;18;53.25;14;44.5;-1;0.25;8.75
+;19;53.0;Jöhl Christian;*;16;54.0;16;54.0;-3;1.0;0.25

18b;Urfer Simon;*;;;;;;;;;53.25
+;;;Coray Beda;**;;;;;;;10.0
o;1;10.0;Rychen Roger;***;10;55.5;4;8.5;3;-1.5;8.5
-;5;18.5;Pfister Florian;*;15;54.25;5;18.5;0;0.0;8.75
-;8;27.25;Landolt Reto;*;15;54.25;9;27.0;1;-0.25;8.75
o;11;36.0;Jöhl Christian;*;16;54.0;13;35.5;2;-0.5;8.5
-;14;44.5;Gwerder Andreas;**;20;52.75;16;44.0;2;-0.5;8.75

18c;Zbinden Marc;*;;;;;;;;;53.25
-;;;Rüegg Roman;*;;;;;;;8.75
o;3;8.75;Gerber Christian;**;6;56.5;4;8.5;1;-0.25;8.5
-;8;17.25;Vestner Bruno;*;20;52.75;8;17.25;0;0.0;8.75
+;12;26.0;Bäbler Dominik;*;24;34.5;12;26.0;0;0.0;10.0
o;11;36.0;Ackermann Remo;*;15;54.25;12;35.75;1;-0.25;8.5
-;14;44.5;Rüegg Fabian;*;18;53.25;15;44.25;1;-0.25;8.75

19a;Arztmann Beda;*;;;;;;;;;53.0
-;;;Bäbler Dominik;*;;;;;;;8.75
o;3;8.75;Rüegg Fabian;*;18;53.25;3;8.75;0;0.0;8.5
o;8;17.25;Bernold Christian;**;15;54.25;7;17.5;-1;0.25;8.5
+;13;25.75;Good Marco;*;25;34.25;13;25.75;0;0.0;10.0
o;12;35.75;Kuster Marcel;***;11;55.25;12;35.75;0;0.0;8.5
-;15;44.25;Ott Damian (2000);*;20;52.75;16;44.0;1;-0.25;8.75

20a;Vestner Bruno;*;;;;;;;;;52.75
o;;;Oettli Marco;*;;;;;;;8.5
-;4;8.5;Wey Nicola;*;23;34.75;4;8.5;0;0.0;8.75
-;8;17.25;Zbinden Marc;*;18;53.25;8;17.25;0;0.0;8.75
+;12;26.0;Duplan Steve;**;23;34.75;11;26.25;-1;0.25;9.75
o;12;35.75;Steffen Konrad;*;13;54.75;12;35.75;0;0.0;8.5
o;15;44.25;Landolt Reto;*;15;54.25;15;44.25;0;0.0;8.5

20b;Ott Damian (2000);*;;;;;;;;;52.75
+;;;Fontana Michael;*;;;;;;;9.75
o;2;9.75;von Weissenfluh Kilian;**;9;55.75;3;8.75;1;-1.0;8.5
-;6;18.25;Korrodi Paul;*;17;53.75;6;18.25;0;0.0;8.75
o;9;27.0;Brodard Augustin;**;16;54.0;9;27.0;0;0.0;8.5
o;13;35.5;Schlegel Sandro;**;8;56.0;11;36.0;-2;0.5;8.5
-;16;44.0;Arztmann Beda;*;19;53.0;15;44.25;-1;0.25;8.75

20c;Gwerder Andreas;**;;;;;;;;;52.75
o;;;Schenkel Remo;*;;;;;;;8.5
o;4;8.5;Eugster Ruedi;**;14;54.5;3;8.75;-1;0.25;8.5
o;9;17.0;Kuster Thomas;*;17;53.75;6;18.25;-3;1.25;8.5
+;14;25.5;Fontana Michael;*;25;34.25;13;25.75;-1;0.25;10.0
o;13;35.5;Vestner Roman;*;14;54.5;12;35.75;-1;0.25;8.5
-;16;44.0;Urfer Simon;*;18;53.25;14;44.5;-2;0.5;8.75

21a;Geisser Lars;**;;;;;;;;;36.5
o;;;Roch Vincent;**;;;;;;;8.5
+;4;8.5;Ackermann Remo;*;15;54.25;3;8.75;-1;0.25;9.75
+;6;18.25;Wittwer Josias;*;22;35.25;6;18.25;0;0.0;9.75
o;6;28.0;Schenk Patrick;***;4;57.0;8;27.25;2;-0.75;8.5

22a;Elmer Daniel;*;;;;;;;;;35.25
+;;;Gartmann Mauro;*;;;;;;;9.75
o;2;9.75;Roth Dominik;**;13;54.75;3;8.75;1;-1.0;8.5
o;6;18.25;Dind Samuel;**;10;55.5;6;18.25;0;0.0;8.5
o;10;26.75;Weyermann Florian;*;9;55.75;9;27.0;-1;0.25;8.5

22b;Dumelin David;*;;;;;;;;;35.25
o;;;Roth Martin;*;;;;;;;8.5
o;4;8.5;Dändliker Shane;*;14;54.5;3;8.75;-1;0.25;8.5
+;9;17.0;Good Marco;*;25;34.25;8;17.25;-1;0.25;9.75
o;10;26.75;Luginbühl Hanspeter;**;10;55.5;9;27.0;-1;0.25;8.5

22c;Wittwer Josias;*;;;;;;;;;35.25
o;;;Schlegel Sandro;**;;;;;;;8.5
+;4;8.5;Giger Urs;*;12;55.0;4;8.5;0;0.0;9.75
o;6;18.25;Geisser Lars;**;21;36.5;6;18.25;0;0.0;8.5
o;10;26.75;Dändliker Shane;*;14;54.5;8;27.25;-2;0.5;8.5

22d;Schmid Patrick;*;;;;;;;;;35.25
o;;;Ammann Rico;*;;;;;;;8.5
+;4;8.5;Fontana Michael;*;25;34.25;4;8.5;0;0.0;9.75
o;6;18.25;Oettli Marco;*;16;54.0;6;18.25;0;0.0;8.5
o;10;26.75;Schenkel Remo;*;9;55.75;9;27.0;-1;0.25;8.5

22e;Odermatt Christoph;*;;;;;;;;;35.25
+;;;Bühler Hannes;*;;;;;;;9.75
o;2;9.75;Moser Steven;**;13;54.75;3;8.75;1;-1.0;8.5
o;6;18.25;Schlegel Reto;*;11;55.25;6;18.25;0;0.0;8.5
o;10;26.75;Schneider Mario;**;16;54.0;9;27.0;-1;0.25;8.5

22f;Coray Beda;**;;;;;;;;;35.25
o;;;Urfer Simon;*;;;;;;;8.5
o;4;8.5;Wittwer Jan;*;14;54.5;3;8.75;-1;0.25;8.5
o;9;17.0;Schneider Mario;**;16;54.0;9;17.0;0;0.0;8.5
+;14;25.5;Schwyn Adrian;*;26;34.0;14;25.5;0;0.0;9.75

22g;Ammann Rico;*;;;;;;;;;35.25
+;;;Schmid Patrick;*;;;;;;;9.75
o;2;9.75;Aeschbacher Matthias;**;3;57.5;3;8.75;1;-1.0;8.5
o;6;18.25;Roschi Ruedi;**;10;55.5;5;18.5;-1;0.25;8.5
o;10;26.75;Piemontesi Pascal;**;13;54.75;9;27.0;-1;0.25;8.5

23a;Wey Nicola;*;;;;;;;;;34.75
o;;;Landolt Reto;*;;;;;;;8.5
-;4;8.5;Vestner Bruno;*;20;52.75;4;8.5;0;0.0;8.75
-;8;17.25;Bühler Hannes;*;23;34.75;8;17.25;0;0.0;8.75
-;12;26.0;Rüegg Roman;*;23;34.75;12;26.0;0;0.0;8.75

23b;Duplan Steve;**;;;;;;;;;34.75
o;;;Nägeli Marco;**;;;;;;;8.5
-;4;8.5;Bernold Christian;**;15;54.25;3;8.75;-1;0.25;9.0
-;7;17.5;Gartmann Mauro;*;24;34.5;8;17.25;1;-0.25;8.75
o;11;26.25;Vestner Bruno;*;20;52.75;12;26.0;1;-0.25;8.5

23c;Koller Martin;*;;;;;;;;;34.75
-;;;Vestner Roman;*;;;;;;;8.75
-;3;8.75;Schudel Simon;*;25;34.25;4;8.5;1;-0.25;8.75
-;7;17.5;Borcard Johann;**;11;55.25;5;18.5;-2;1.0;8.75
o;11;26.25;Bernold Christian;**;15;54.25;7;27.5;-4;1.25;8.5

23d;Rüegg Roman;*;;;;;;;;;34.75
-;;;Zbinden Marc;*;;;;;;;8.75
-;3;8.75;Gartmann Mauro;*;24;34.5;4;8.5;1;-0.25;8.75
o;7;17.5;Dousse Michel;**;15;54.25;8;17.25;1;-0.25;8.5
-;12;26.0;Wey Nicola;*;23;34.75;12;26.0;0;0.0;8.75

23e;Bühler Hannes;*;;;;;;;;;34.75
o;;;Odermatt Christoph;*;;;;;;;8.5
-;4;8.5;Good Marco;*;25;34.25;4;8.5;0;0.0;8.75
-;8;17.25;Wey Nicola;*;23;34.75;8;17.25;0;0.0;8.75
-;12;26.0;Oertig Dominik;**;24;34.5;13;25.75;1;-0.25;8.75

24a;Oertig Dominik;**;;;;;;;;;34.5
-;;;Mathys Simon;**;;;;;;;8.75
o;3;8.75;Gobeli Patrick;*;14;54.5;2;9.75;-1;1.0;8.5
o;8;17.25;Ackermann Remo;*;15;54.25;8;17.25;0;0.0;8.5
-;13;25.75;Bühler Hannes;*;23;34.75;12;26.0;-1;0.25;8.75

24b;Bäbler Dominik;*;;;;;;;;;34.5
-;;;Arztmann Beda;*;;;;;;;8.75
o;3;8.75;Dind Samuel;**;10;55.5;4;8.5;1;-0.25;8.5
-;8;17.25;Fontana Michael;*;25;34.25;9;17.0;1;-0.25;8.75
o;12;26.0;Zbinden Marc;*;18;53.25;12;26.0;0;0.0;8.5

24c;Gartmann Mauro;*;;;;;;;;;34.5
o;;;Elmer Daniel;*;;;;;;;8.5
-;4;8.5;Rüegg Roman;*;23;34.75;3;8.75;-1;0.25;8.75
-;8;17.25;Duplan Steve;**;23;34.75;7;17.5;-1;0.25;8.75
o;12;26.0;Vestner Roman;*;14;54.5;12;26.0;0;0.0;8.5

24d;Krähenbühl Tobias;***;;;;;;;;;34.5
-;;;von Weissenfluh Kilian;**;;;;;;;8.75
o;3;8.75;Roth Martin;*;14;54.5;2;9.75;-1;1.0;8.75
o;7;17.5;Gerber Christian;**;6;56.5;5;18.5;-2;1.0;8.5
o;12;26.0;Borcard Johann;**;11;55.25;8;27.25;-4;1.25;8.5

25a;Good Marco;*;;;;;;;;;34.25
o;;;Steffen Konrad;*;;;;;;;8.5
-;4;8.5;Bühler Hannes;*;23;34.75;4;8.5;0;0.0;8.75
o;8;17.25;Dumelin David;*;22;35.25;9;17.0;1;-0.25;8.5
o;13;25.75;Arztmann Beda;*;19;53.0;13;25.75;0;0.0;8.5

25b;Schudel Simon;*;;;;;;;;;34.25
o;;;Schlegel Reto;*;;;;;;;8.5
o;4;8.5;Jöhl Christian;*;16;54.0;4;8.5;0;0.0;8.5
-;9;17.0;Koller Martin;*;23;34.75;7;17.5;-2;0.5;8.75
o;13;25.75;Baumann Rico;*;12;55.0;5;28.25;-8;2.5;8.5

25c;Fontana Michael;*;;;;;;;;;34.25
o;;;Ott Damian (2000);*;;;;;;;8.5
o;4;8.5;Schmid Patrick;*;22;35.25;4;8.5;0;0.0;8.5
-;9;17.0;Bäbler Dominik;*;24;34.5;8;17.25;-1;0.25;8.75
o;13;25.75;Gwerder Andreas;**;20;52.75;14;25.5;1;-0.25;8.5

26a;Schwyn Adrian;*;;;;;;;;;34.0
o;;;Baumann Rico;*;;;;;;;8.5
o;4;8.5;Kuster Thomas;*;17;53.75;4;8.5;0;0.0;8.5
o;9;17.0;Giger Urs;*;12;55.0;9;17.0;0;0.0;8.5
o;14;25.5;Coray Beda;**;22;35.25;14;25.5;0;0.0;8.5

27a;Hersche Martin;***;;;;;;;;;19.5
+;;;Schenk Patrick;***;;;;;;;9.75
+;2;9.75;Kramer Lario;**;9;55.75;1;10.0;-1;0.25;9.75

28a;Roch Vincent;**;;;;;;;;;18.5
+;;;Geisser Lars;**;;;;;;;10.0
o;1;10.0;Nägeli Marco;**;10;55.5;2;9.75;1;-0.25;8.5

29a;Battaglia Ursin;**;;;;;;;;;17.0
o;;;Kramer Lario;**;;;;;;;8.5
o;4;8.5;Brodard Augustin;**;16;54.0;4;8.5;0;0.0;8.5

30a;Zwyssig Raphael;***;;;;;;;;;8.75
-;;;Moser Steven;**;;;;;;;8.75

30b;Kid Simon;**;;;;;;;;;8.75
-;;;Borcard Johann;**;;;;;;;8.75

30c;Renfer Lukas;*;;;;;;;;;8.75
-;;;Ackermann Remo;*;;;;;;;8.75

