3748-2017-05-21_107_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;59.5
+;11;27.25;Bosshard Dario (1999);;12;55.25;7;28.25;-4;1.0;9.75
+;9;37.0;Lanter Christian;;12;55.25;6;37.75;-3;0.75;9.75
+;9;46.75;Keller Andreas;*;14;54.75;11;46.25;2;-0.5;9.75

8a;Bollhalder Manuel (2001);;;;;;;;;;56.25
+;;;Burkhard Roger;;;;;;;;9.75
+;2;9.75;Bickel Stefan;*;7;56.5;5;8.5;3;-1.25;10.0
+;2;19.75;Kammermann Thomas;*;9;56.0;6;18.5;4;-1.25;9.75
o;3;29.5;Leuppi Samir;**;1;59.5;3;29.5;0;0.0;8.5
+;5;38.0;Koch Reto;;9;56.0;7;37.5;2;-0.5;9.75
o;5;47.75;Schneider Mario;**;4;57.25;7;47.25;2;-0.5;8.5

8b;Kunz Daniel;;;;;;;;;;56.25
+;;;Thoma Luca (2000);;;;;;;;10.0
-;1;10.0;Bischof Martin;;11;55.5;2;9.75;1;-0.25;8.75
o;5;18.75;Coray Beda;*;7;56.5;7;18.25;2;-0.5;8.5
+;11;27.25;Burkhard Tobias;;20;53.25;11;27.25;0;0.0;10.0
+;8;37.25;Leuppi Karim;*;16;54.25;14;35.75;6;-1.5;10.0
-;7;47.25;Candrian Gian-Luca;;9;56.0;8;47.0;1;-0.25;9.0

9a;Schmid Patrick;*;;;;;;;;;56.0
+;;;Braun Mathias;*;;;;;;;10.0
o;1;10.0;Oertig Dominik;**;6;56.75;2;9.75;1;-0.25;8.75
o;5;18.75;Krähenbühl Tobias;***;7;56.5;6;18.5;1;-0.25;8.5
-;11;27.25;Breitenmoser Manuel;;9;56.0;9;27.75;-2;0.5;8.75
+;13;36.0;Hungerbühler Marcel;;17;54.0;9;37.0;-4;1.0;10.0
+;12;46.0;Dumelin David;*;14;54.75;11;46.25;-1;0.25;10.0

9b;Bühler Ernst;**;;;;;;;;;56.0
-;;;Gwerder Andreas;**;;;;;;;8.75
+;4;8.75;Vollmeier Sandro;;13;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Ackermann Remo;*;2;57.75;3;19.5;-2;0.75;9.75
+;6;28.5;Dändliker Hansheinrich;;11;55.5;5;28.75;-1;0.25;10.0
o;3;38.5;Rychen Roger;***;4;57.25;3;38.5;0;0.0;8.5
-;8;47.0;Baumann Rico;*;13;55.0;11;46.25;3;-0.75;9.0

9c;Candrian Gian-Luca;;;;;;;;;;56.0
+;;;Brugger Jonas (1999);;;;;;;;10.0
+;1;10.0;Eichhorn Alexander;;25;35.25;2;9.75;1;-0.25;10.0
+;1;20.0;Nüssli Philipp;*;24;35.5;6;18.5;5;-1.5;10.0
o;1;30.0;Bernold Christian;**;5;57.0;5;28.75;4;-1.25;8.5
o;3;38.5;Oertig Dominik;**;6;56.75;4;38.25;1;-0.25;8.5
-;8;47.0;Kunz Daniel;;8;56.25;7;47.25;-1;0.25;9.0

9d;Näf Pius;*;;;;;;;;;56.0
+;;;Wettstein Daniel;;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;10;55.75;4;8.75;2;-1.0;8.5
-;7;18.25;Breitenmoser Manuel;;9;56.0;5;18.75;-2;0.5;8.75
+;12;27.0;Dobler Lorenz (2000);;19;53.5;13;26.75;1;-0.25;10.0
-;9;37.0;Inauen Andreas;*;13;55.0;9;37.0;0;0.0;9.0
+;12;46.0;Bäbler Sandro;**;16;54.25;13;45.75;1;-0.25;10.0

9e;Steiner Michael;**;;;;;;;;;56.0
-;;;Bernold Christian;**;;;;;;;9.0
o;3;9.0;Vögeli Sven;*;14;54.75;1;10.0;-2;1.0;8.5
+;9;17.5;Schwyn Adrian;;24;35.5;6;18.5;-3;1.0;9.75
+;11;27.25;Burkhard Roger;;16;54.25;11;27.25;0;0.0;10.0
-;8;37.25;Fejzaj Naim;**;14;54.75;8;37.25;0;0.0;9.0
+;11;46.25;Oertle Daniel;*;15;54.5;12;46.0;1;-0.25;9.75

9f;Dändliker Shane;;;;;;;;;;56.0
+;;;Schudel Simon;*;;;;;;;9.75
-;2;9.75;Schuler Martin;;12;55.25;2;9.75;0;0.0;9.0
+;5;18.75;Bürgler Patrick;;24;35.5;6;18.5;1;-0.25;10.0
o;5;28.75;Giger Urs;*;12;55.25;6;28.5;1;-0.25;8.5
-;8;37.25;Hersche Daniel;;14;54.75;8;37.25;0;0.0;8.75
+;12;46.0;Hauser Simon;;12;55.25;14;45.5;2;-0.5;10.0

9g;Vogel Thomas;;;;;;;;;;56.0
+;;;Pianta Christian;;;;;;;;9.75
+;2;9.75;Buchmann Michael;;14;54.75;1;10.0;-1;0.25;10.0
+;2;19.75;Wey Nicola;*;11;55.5;6;18.5;4;-1.25;10.0
o;2;29.75;Oertig Dominik;**;6;56.75;6;28.5;4;-1.25;8.5
-;4;38.25;Reichmuth Beat;;10;55.75;5;38.0;1;-0.25;9.0
o;7;47.25;Ackermann Remo;*;2;57.75;5;47.75;-2;0.5;8.75

9h;Kammermann Thomas;*;;;;;;;;;56.0
o;;;Schmid Dominik;**;;;;;;;8.5
+;5;8.5;Lusti Remo (2001);;19;53.5;2;9.75;-3;1.25;10.0
o;6;18.5;Bollhalder Manuel (2001);;8;56.25;2;19.75;-4;1.25;8.75
o;11;27.25;Schudel Simon;*;4;57.25;10;27.5;-1;0.25;8.75
+;13;36.0;Brugger Jonas (1999);;19;53.5;11;36.5;-2;0.5;10.0
+;12;46.0;Kuster Thomas;*;15;54.5;12;46.0;0;0.0;10.0

9i;Breitenmoser Manuel;;;;;;;;;;56.0
-;;;Pfleghart Remo;;;;;;;;9.0
+;3;9.0;Oettli Silvio (2000);;15;54.5;3;9.0;0;0.0;9.75
-;5;18.75;Näf Pius;*;9;56.0;7;18.25;2;-0.5;9.0
-;9;27.75;Schmid Patrick;*;9;56.0;11;27.25;2;-0.5;8.75
+;11;36.5;Ackermann Roman;;19;53.5;11;36.5;0;0.0;9.75
+;11;46.25;Vögeli Sven;*;14;54.75;12;46.0;1;-0.25;9.75

9j;Koch Reto;;;;;;;;;;56.0
-;;;Fäh Tobias;;;;;;;;9.0
