4056-2019-06-16_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.25
12k;Nock Benjamin (2001);*;;;;;;;;;55.5
-;;;Neff Florian;*;;;;;;;8.75
+;4;8.75;Horner Sämi;;13;55.25;1;10.0;-3;1.25;10.0
-;4;18.75;Pianta Christian;*;11;55.75;3;19.0;-1;0.25;9.0
-;7;27.75;Freuler Franz;**;15;54.75;9;27.25;2;-0.5;9.0
+;10;36.75;Rhyner Beni;;17;54.25;10;36.75;0;0.0;10.0
o;9;46.75;Landolt Reto;*;4;57.5;6;47.5;-3;0.75;8.75

13a;Marty Jaime;*;;;;;;;;;55.25
o;;;Breitenmoser Manuel;*;;;;;;;8.75
+;4;8.75;Bernhard Thomas (2002);;25;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Krähenbühl Tobias;***;6;57.0;4;18.75;0;0.0;8.5
