3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
o;18;44.25;Stadelmann Pascal (1998);;19;54.0;18;44.25;0;0.0;8.75

23b;Gubbi Pablo (2000);;;;;;;;;;53.0
o;;;Stampﬂi Simon;;;;;;;;8.75
+;5;8.75;Zürcher Christian (1998);;24;52.75;6;8.5;1;-0.25;10.0
o;6;18.75;Hodel Martin;;12;55.75;7;18.5;1;-0.25;8.5
o;10;27.25;Stucki Christian;;13;55.5;10;27.25;0;0.0;8.5
o;15;35.75;Wyrsch Silvio (1998);;16;54.75;14;36.0;-1;0.25;8.5
-;18;44.25;Wigger Florian (1998);;23;53.0;18;44.25;0;0.0;8.75

23c;Lustenberger David (2000);;;;;;;;;;53.0
+;;;Ambühl Patrick;;;;;;;;9.75
o;3;9.75;Stöckli Damian;;14;55.25;3;9.75;0;0.0;8.5
o;8;18.25;Doppmann Ueli (1998);;16;54.75;7;18.5;-1;0.25;8.5
-;12;26.75;Krummenacher Roman (1998);;22;53.25;11;27.0;-1;0.25;9.0
o;15;35.75;Heller Basil (2000);;18;54.25;15;35.75;0;0.0;8.75
o;17;44.5;Fischer Tobias;;14;55.25;14;45.25;-3;0.75;8.5

23d;Wigger Florian (1998);;;;;;;;;;53.0
+;;;Bühlmann Robin (1999);;;;;;;;10.0
o;2;10.0;Emmenegger Lukas;;12;55.75;2;10.0;0;0.0;8.5
o;7;18.5;Schenk Thomas;*;14;55.25;12;17.0;5;-1.5;8.5
o;11;27.0;Troxler Jonas (2000);;21;53.5;12;26.75;1;-0.25;8.75
o;15;35.75;Ziegler Manuel;;17;54.5;14;36.0;-1;0.25;8.5
-;18;44.25;Gubbi Pablo (2000);;23;53.0;18;44.25;0;0.0;8.75

23e;Stäger Franz (2000);;;;;;;;;;53.0
o;;;Kammermann Dominik;;;;;;;;8.5
-;6;8.5;Duss Fabian;;24;52.75;6;8.5;0;0.0;9.0
o;10;17.5;Scherrer Patrick;;26;45.5;11;17.25;1;-0.25;8.5
+;14;26.0;Schumacher Daniel (2000);;34;34.5;14;26.0;0;0.0;10.0
o;14;36.0;Senn Pirmin;;17;54.5;14;36.0;0;0.0;8.5
o;17;44.5;Widmer Simon;;15;55.0;15;45.0;-2;0.5;8.5

23f;Mignola Lorenzo;;;;;;;;;;53.0
o;;;Jund Matthias (1999);;;;;;;;8.5
+;6;8.5;Kottmann Jonas (2000);;36;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Koch Roger;*;13;55.5;11;17.25;4;-1.25;8.5
-;11;27.0;Rust Sandro (1999);;18;54.25;11;27.0;0;0.0;8.75
o;15;35.75;Egli Christian (2000);;16;54.75;15;35.75;0;0.0;8.75
o;17;44.5;Wicki David (1998);;14;55.25;14;45.25;-3;0.75;8.5

24a;Duss Fabian;;;;;;;;;;52.75
o;;;Emmenegger Lukas;;;;;;;;8.5
-;6;8.5;Stäger Franz (2000);;23;53.0;6;8.5;0;0.0;9.0
o;10;17.5;von Flüe Marco;;17;54.5;10;17.5;0;0.0;8.5
+;14;26.0;Kaufmann Fabian;;36;34.0;16;25.5;2;-0.5;9.75
o;15;35.75;Gerber Peter;;15;55.0;14;36.0;-1;0.25;8.5
o;18;44.25;Ziegler Elias (1999);;19;54.0;18;44.25;0;0.0;8.5

24b;Zürcher Christian (1998);;;;;;;;;;52.75
o;;;Bühlmann Daniel (2000);;;;;;;;8.5
o;6;8.5;Gubbi Pablo (2000);;23;53.0;5;8.75;-1;0.25;8.5
+;12;17.0;Kottmann Jonas (2000);;36;34.0;12;17.0;0;0.0;10.0
-;11;27.0;Fahrni Lukas;;31;35.5;12;26.75;1;-0.25;8.75
o;15;35.75;Wicki Kevin;;17;54.5;14;36.0;-1;0.25;8.5
o;18;44.25;Fischer Markus (2000);;19;54.0;18;44.25;0;0.0;8.5

25a;Heiniger Marco;*;;;;;;;;;45.75
o;;;Odermatt Andreas;*;;;;;;;8.5
o;6;8.5;Gloggner Reto;**;10;56.25;6;8.5;0;0.0;8.75
+;11;17.25;Schmid Simon (2000);;16;54.75;10;17.5;-1;0.25;10.0
+;10;27.25;Schöpfer Ronny (1999);;13;55.5;6;28.25;-4;1.0;9.75
o;10;37.0;Muff André;*;7;57.0;9;37.25;-1;0.25;8.75

26a;Scherrer Patrick;;;;;;;;;;45.5
o;;;Ziegler Elias (1999);;;;;;;;8.75
o;5;8.75;Zürcher Ueli (2000);;20;53.75;6;8.5;1;-0.25;8.5
+;11;17.25;Stäger Franz (2000);;23;53.0;10;17.5;-1;0.25;9.75
-;11;27.0;Egli Christian (2000);;16;54.75;11;27.0;0;0.0;8.75
+;15;35.75;Sidler Kuno;;22;53.25;15;35.75;0;0.0;9.75

27a;Fässler Dominic;*;;;;;;;;;45.0
-;;;Egli Manuel;*;;;;;;;8.75
+;5;8.75;Hodel Martin;;12;55.75;2;10.0;-3;1.25;10.0
o;6;18.75;Ramseier Fritz;*;12;55.75;5;19.0;-1;0.25;8.75
-;9;27.5;Emmenegger Lukas;;12;55.75;5;28.5;-4;1.0;9.0
o;12;36.5;Graber Michael;*;9;56.5;10;37.0;-2;0.5;8.5

28a;Zurﬂuh Markus;**;;;;;;;;;44.75
-;;;Suppiger Werner;**;;;;;;;8.75
-;5;8.75;Egli David;*;11;56.0;6;8.5;1;-0.25;8.75
+;10;17.5;Lustenberger Josef;;14;55.25;6;18.75;-4;1.25;9.75
-;10;27.25;Fellmann Roman;;8;56.75;5;28.5;-5;1.25;8.75
-;14;36.0;Hirsiger Alexander;;15;55.0;12;36.5;-2;0.5;8.75

29a;Weber Marc (1999);;;;;;;;;;44.25
o;;;Heiniger Luca (1998);;;;;;;;8.5
+;6;8.5;Fahrni Lukas;;31;35.5;3;9.75;-3;1.25;10.0
o;7;18.5;Stadelmann Pius;*;13;55.5;6;18.75;-1;0.25;8.5
o;11;27.0;Bussmann Martin;;14;55.25;7;28.0;-4;1.0;8.5
o;16;35.5;Bärtschi Basil;;15;55.0;11;36.75;-5;1.25;8.75

29b;Affentranger Martin (1999);;;;;;;;;;44.25
+;;;Sidler Kuno;;;;;;;;9.75
o;3;9.75;Barmet Sven;;18;54.25;3;9.75;0;0.0;8.75
o;7;18.5;Widmer Dominik;;16;54.75;8;18.25;1;-0.25;8.5
o;11;27.0;Schaller Noah (2000);;18;54.25;14;26.0;3;-1.0;8.5
o;16;35.5;Huser Christian (2000);;19;54.0;15;35.75;-1;0.25;8.75

30a;Kammermann Thomas;*;;;;;;;;;36.25
-;;;Scherer Adrian;*;;;;;;;8.75
+;5;8.75;Ziegler Dominik;;18;54.25;2;10.0;-3;1.25;10.0
o;6;18.75;Heiniger Luca (1998);;14;55.25;3;19.75;-3;1.0;8.75
-;9;27.5;Wicki Patrick;;11;56.0;4;28.75;-5;1.25;8.75

31a;Zihlmann Silvan (2000);;;;;;;;;;35.5
o;;;Elmiger Matthias;;;;;;;;8.5
o;6;8.5;Ziegler Manuel;;17;54.5;6;8.5;0;0.0;8.5
+;12;17.0;Kaufmann Fabian;;36;34.0;12;17.0;0;0.0;9.75
o;12;26.75;Stampﬂi Simon;;17;54.5;11;27.0;-1;0.25;8.75

31b;Bühlmann Robin (1999);;;;;;;;;;35.5
o;;;Wigger Florian (1998);;;;;;;;8.5
o;6;8.5;Bachmann Adrian;;13;55.5;5;8.75;-1;0.25;8.5
o;12;17.0;Wüest David (2000);;32;35.25;12;17.0;0;0.0;8.5
+;16;25.5;Mignola Michele (2000);;36;34.0;16;25.5;0;0.0;10.0

31c;Fahrni Lukas;;;;;;;;;;35.5
+;;;Mignola Michele (2000);;;;;;;;9.75
o;3;9.75;Kurmann Toni (1998);;11;56.0;2;10.0;-1;0.25;8.5
o;8;18.25;Weber Marc (1999);;29;44.25;7;18.5;-1;0.25;8.5
-;12;26.75;Zürcher Christian (1998);;24;52.75;11;27.0;-1;0.25;8.75

31d;Fallegger Franco (1999);;;;;;;;;;35.5
o;;;Wyrsch Silvio (1998);;;;;;;;8.5
o;6;8.5;Suter Beat;;18;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Lampart Maurus (2000);;36;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Elmiger Andreas;;18;54.25;11;27.0;0;0.0;8.5

31e;Baumann Reto;;;;;;;;;;35.5
o;;;Doppmann Urs;;;;;;;;8.5
+;6;8.5;Elmiger Andreas;;18;54.25;6;8.5;0;0.0;10.0
o;7;18.5;Schöpfer Ronny (1999);;13;55.5;7;18.5;0;0.0;8.5
o;11;27.0;Zgraggen Peter;;19;54.0;10;27.25;-1;0.25;8.5

31f;Hodel Michael (2000);;;;;;;;;;35.5
o;;;Hodler Mathias;;;;;;;;8.5
o;6;8.5;Bärtschi Basil;;15;55.0;6;8.5;0;0.0;8.5
o;12;17.0;Arnold David;;31;35.5;12;17.0;0;0.0;8.5
+;16;25.5;Egli Samuel (1999);;36;34.0;16;25.5;0;0.0;10.0

31g;Ambühl Remo (2000);;;;;;;;;;35.5
o;;;Krummenacher Roman (1998);;;;;;;;8.5
o;6;8.5;Fankhauser Ueli;;31;35.5;6;8.5;0;0.0;8.5
+;12;17.0;Lampart Valentin (2000);;31;35.5;12;17.0;0;0.0;10.0
o;11;27.0;Tanner Manuel;;20;53.75;11;27.0;0;0.0;8.5

31h;Bühlmann Daniel (2000);;;;;;;;;;35.5
+;;;Zürcher Christian (1998);;;;;;;;10.0
o;2;10.0;Schmidiger Marco;;17;54.5;2;10.0;0;0.0;8.5
o;7;18.5;Odermatt Andreas;;1;109.75;1;37.0;-6;18.5;8.5
o;11;27.0;Pedrazzini Diego (1998);;15;55.0;11;27.0;0;0.0;8.5

31i;Fankhauser Ueli;;;;;;;;;;35.5
o;;;Schärli Reto;;;;;;;;8.5
+;6;8.5;Ambühl Remo (2000);;31;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Bruhin Fredi;;13;55.5;8;18.25;1;-0.25;8.5
o;11;27.0;Michel Silvan;;20;53.75;11;27.0;0;0.0;8.5

31j;Arnold David;;;;;;;;;;35.5
o;;;Zgraggen Fabian;;;;;;;;8.5
o;6;8.5;Vogel Sven (2000);;20;53.75;6;8.5;0;0.0;8.5
+;12;17.0;Hodel Michael (2000);;31;35.5;12;17.0;0;0.0;10.0
o;11;27.0;Imboden Roger;**;15;55.0;13;26.25;2;-0.75;8.5

31k;Lampart Valentin (2000);;;;;;;;;;35.5
o;;;Bättig Peter;;;;;;;;8.5
o;6;8.5;Lemmenmeier Lukas;;13;55.5;5;8.75;-1;0.25;8.5
o;12;17.0;Ambühl Remo (2000);;31;35.5;12;17.0;0;0.0;8.5
+;16;25.5;Kottmann Michael (1999);;36;34.0;16;25.5;0;0.0;10.0

32a;Grüter Marcel (1999);;;;;;;;;;35.25
o;;;Hirsiger Alexander;;;;;;;;8.5
+;6;8.5;Kaufmann Fabian;;36;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Arnold Fabian;;13;55.5;8;18.25;0;0.0;8.5
o;12;26.75;Kurmann Jvo;;20;53.75;12;26.75;0;0.0;8.5

32b;Wüest David (2000);;;;;;;;;;35.25
o;;;Schmidiger Marco;;;;;;;;8.5
o;6;8.5;Stucki Christian;;13;55.5;5;8.75;-1;0.25;8.5
+;12;17.0;Bühlmann Robin (1999);;31;35.5;12;17.0;0;0.0;9.75
o;12;26.75;Fischer Tobias;;14;55.25;12;26.75;0;0.0;8.5

32c;Schmid Joel (1999);;;;;;;;;;35.25
o;;;Barmet Sven;;;;;;;;8.5
o;6;8.5;Pedrazzini Diego (1998);;15;55.0;5;8.75;-1;0.25;8.5
+;12;17.0;Amrein Lukas (1999);;32;35.25;12;17.0;0;0.0;9.75
o;12;26.75;Ambühl Patrick;;20;53.75;11;27.0;-1;0.25;8.5

32d;Bühlmann Lukas (1999);;;;;;;;;;35.25
o;;;Tanner Manuel;;;;;;;;8.5
o;6;8.5;Bucher Thomas;;16;54.75;5;8.75;-1;0.25;8.5
o;12;17.0;Wigger Fabian (1998);;32;35.25;12;17.0;0;0.0;8.5
+;16;25.5;Staffelbach Beat (2000);;33;34.75;14;26.0;-2;0.5;9.75

32e;Wigger Fabian (1998);;;;;;;;;;35.25
o;;;Scheuber Stefan;;;;;;;;8.5
o;6;8.5;Ottiger Lukas;;12;55.75;5;8.75;-1;0.25;8.5
+;12;17.0;Bühlmann Lukas (1999);;32;35.25;12;17.0;0;0.0;9.75
o;12;26.75;Gisler Ruedi;;13;55.5;11;27.0;-1;0.25;8.5

32f;Müller Severin (1999);;;;;;;;;;35.25
o;;;Vogel Manuel (1998);;;;;;;;8.5
o;6;8.5;Arnold Fabian;;13;55.5;6;8.5;0;0.0;8.5
+;12;17.0;Kottmann Michael (1999);;36;34.0;12;17.0;0;0.0;9.75
o;12;26.75;Fallegger Andreas (1998);;20;53.75;11;27.0;-1;0.25;8.5

32g;Wobmann Linus (1999);;;;;;;;;;35.25
o;;;Lang Julian (1998);;;;;;;;8.5
o;6;8.5;Lustenberger Josef;;14;55.25;5;8.75;-1;0.25;8.5
+;12;17.0;Stocker Janosch (1999);;32;35.25;12;17.0;0;0.0;9.75
o;12;26.75;Vogel Marcel;;14;55.25;11;27.0;-1;0.25;8.5

32h;Burri Ueli;;;;;;;;;;35.25
o;;;Thierstein Marco;;;;;;;;8.5
+;6;8.5;Kottmann Michael (1999);;36;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Murpf Dario (1999);;18;54.25;10;17.5;2;-0.75;8.5
o;12;26.75;Hodel Dominik (2000);;20;53.75;12;26.75;0;0.0;8.5

32i;Stocker Janosch (1999);;;;;;;;;;35.25
o;;;Doppmann Ueli (1998);;;;;;;;8.5
o;6;8.5;Ambühl Patrick;;20;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Wobmann Linus (1999);;32;35.25;12;17.0;0;0.0;8.5
+;16;25.5;Lampart Maurus (2000);;36;34.0;16;25.5;0;0.0;9.75

32j;Amrein Lukas (1999);;;;;;;;;;35.25
o;;;Gisler Stefan;;;;;;;;8.5
o;6;8.5;Durrer Robin;;15;55.0;6;8.5;0;0.0;8.5
o;12;17.0;Schmid Joel (1999);;32;35.25;12;17.0;0;0.0;8.5
+;16;25.5;Egli Jonas (2000);;36;34.0;16;25.5;0;0.0;9.75

32k;Schöpfer Luca (2000);;;;;;;;;;35.25
o;;;Senn Pirmin;;;;;;;;8.5
o;6;8.5;Michel Silvan;;20;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Elmiger Andreas;;18;54.25;12;17.0;0;0.0;8.5
+;16;25.5;Kottmann Marco (1999);;36;34.0;16;25.5;0;0.0;9.75

33a;Staffelbach Beat (2000);;;;;;;;;;34.75
o;;;Achermann Simon;;;;;;;;8.5
o;6;8.5;Nauer Robin;;13;55.5;6;8.5;0;0.0;8.5
-;12;17.0;Schumacher Daniel (2000);;34;34.5;12;17.0;0;0.0;9.0
o;14;26.0;Bühlmann Lukas (1999);;32;35.25;16;25.5;2;-0.5;8.75

34a;Schumacher Daniel (2000);;;;;;;;;;34.5
o;;;Vogel Marcel;;;;;;;;8.5
o;6;8.5;Andermatt Adrian;;17;54.5;5;8.75;-1;0.25;8.5
-;12;17.0;Staffelbach Beat (2000);;33;34.75;12;17.0;0;0.0;9.0
o;14;26.0;Stäger Franz (2000);;23;53.0;14;26.0;0;0.0;8.5

35a;Di Pietro Loris (1998);;;;;;;;;;34.25
o;;;Ambühl Joel (1998);;;;;;;;8.5
o;6;8.5;Sidler Kuno;;22;53.25;5;8.75;-1;0.25;8.75
o;11;17.25;Schmid Simon (2000);;16;54.75;10;17.5;-1;0.25;8.5
o;15;25.75;Schaller Noah (2000);;18;54.25;14;26.0;-1;0.25;8.5

36a;Kottmann Jonas (2000);;;;;;;;;;34.0
o;;;Ziegler Dominik;;;;;;;;8.5
o;6;8.5;Mignola Lorenzo;;23;53.0;6;8.5;0;0.0;8.5
o;12;17.0;Zürcher Christian (1998);;24;52.75;12;17.0;0;0.0;8.5
o;16;25.5;Weber Roman (1999);;23;53.0;15;25.75;-1;0.25;8.5

36b;Lampart Maurus (2000);;;;;;;;;;34.0
o;;;Odermatt Andreas;;;;;;;;8.5
o;6;8.5;Gisler Ruedi;;13;55.5;6;8.5;0;0.0;8.5
o;12;17.0;Fallegger Franco (1999);;31;35.5;12;17.0;0;0.0;8.5
o;16;25.5;Stocker Janosch (1999);;32;35.25;16;25.5;0;0.0;8.5

36c;Kaufmann Fabian;;;;;;;;;;34.0
o;;;Kurmann Jvo;;;;;;;;8.5
o;6;8.5;Grüter Marcel (1999);;32;35.25;6;8.5;0;0.0;8.5
o;12;17.0;Zihlmann Silvan (2000);;31;35.5;12;17.0;0;0.0;8.5
o;16;25.5;Duss Fabian;;24;52.75;14;26.0;-2;0.5;8.5

36d;Kottmann Michael (1999);;;;;;;;;;34.0
o;;;Widmer Dominik;;;;;;;;8.5
o;6;8.5;Burri Ueli;;32;35.25;6;8.5;0;0.0;8.5
o;12;17.0;Müller Severin (1999);;32;35.25;12;17.0;0;0.0;8.5
o;16;25.5;Lampart Valentin (2000);;31;35.5;16;25.5;0;0.0;8.5

36e;Egli Jonas (2000);;;;;;;;;;34.0
o;;;Bussmann Martin;;;;;;;;8.5
o;6;8.5;Achermann Daniel;;12;55.75;5;8.75;-1;0.25;8.5
o;12;17.0;Rust Sandro (1999);;18;54.25;12;17.0;0;0.0;8.5
o;16;25.5;Amrein Lukas (1999);;32;35.25;16;25.5;0;0.0;8.5

36f;Mignola Michele (2000);;;;;;;;;;34.0
o;;;Fahrni Lukas;;;;;;;;8.5
o;6;8.5;Wyss Fabian;;19;54.0;6;8.5;0;0.0;8.5
o;12;17.0;Benz Simon (2000);;37;26.75;8;18.25;-4;1.25;8.5
o;16;25.5;Bühlmann Robin (1999);;31;35.5;16;25.5;0;0.0;8.5

36g;Egli Samuel (1999);;;;;;;;;;34.0
o;;;Hodel Martin;;;;;;;;8.5
o;6;8.5;Fischer Tobias;;14;55.25;6;8.5;0;0.0;8.5
o;12;17.0;Hodel Dominik (2000);;20;53.75;12;17.0;0;0.0;8.5
o;16;25.5;Hodel Michael (2000);;31;35.5;16;25.5;0;0.0;8.5

36h;Kottmann Marco (1999);;;;;;;;;;34.0
o;;;Zgraggen Peter;;;;;;;;8.5
o;6;8.5;Wicki Kevin;;17;54.5;5;8.75;-1;0.25;8.5
o;12;17.0;Huser Christian (2000);;19;54.0;11;17.25;-1;0.25;8.5
o;16;25.5;Schöpfer Luca (2000);;32;35.25;16;25.5;0;0.0;8.5

37a;Benz Simon (2000);;;;;;;;;;26.75
o;;;Bühler Patrice;;;;;;;;8.5
+;6;8.5;Mignola Michele (2000);;36;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Wyss Fabian;;19;54.0;7;18.5;-1;0.25;8.5

37b;Marti Lukas;;;;;;;;;;26.75
+;;;Rust Sandro (1999);;;;;;;;9.75
o;3;9.75;Schärli Reto;;16;54.75;2;10.0;-1;0.25;8.5
o;8;18.25;Müller Roger;;12;55.75;6;18.75;-2;0.5;8.5

