3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
+;6;8.5;Heiniger Marco;*;25;45.75;6;8.5;0;0.0;10.0
+;7;18.5;Andermatt Adrian;;17;54.5;6;18.75;-1;0.25;10.0
o;5;28.5;Arnold Stefan;**;9;56.5;5;28.5;0;0.0;8.75
+;9;37.25;Bachmann Adrian;;13;55.5;9;37.25;0;0.0;10.0
-;6;47.25;Rohrer Ueli (1999);;14;55.25;10;46.25;4;-1.0;9.0

10c;Ambühl Joel (1998);;;;;;;;;;56.25
+;;;Di Pietro Loris (1998);;;;;;;;9.75
+;3;9.75;Bättig Peter;;14;55.25;3;9.75;0;0.0;10.0
o;3;19.75;Gloggner Philipp;***;5;57.5;6;18.75;3;-1.0;8.5
-;6;28.25;Bernhard Lukas;*;11;56.0;11;27.0;5;-1.25;9.0
+;9;37.25;Barmet Sven;;18;54.25;10;37.0;1;-0.25;10.0
-;6;47.25;Ottiger Lukas;;12;55.75;7;47.0;1;-0.25;9.0

10d;Betschart Remo;**;;;;;;;;;56.25
+;;;Egli David;*;;;;;;;9.75
-;3;9.75;Suppiger Werner;**;9;56.5;5;8.75;2;-1.0;8.75
+;7;18.5;Fellmann Roman;;8;56.75;3;19.75;-4;1.25;9.75
o;6;28.25;Wicki Joel;**;3;58.0;5;28.5;-1;0.25;8.5
+;11;36.75;Bärtschi Basil;;15;55.0;11;36.75;0;0.0;9.75
+;9;46.5;Imboden Roger;**;15;55.0;10;46.25;1;-0.25;9.75

10e;Egli Damian;**;;;;;;;;;56.25
+;;;Fankhauser Kurt;**;;;;;;;9.75
+;3;9.75;Herger Fabian;*;18;54.25;4;9.0;1;-0.75;10.0
+;3;19.75;Schärli Reto;;16;54.75;2;20.0;-1;0.25;9.75
o;3;29.5;Schuler Christian;***;3;58.0;3;29.5;0;0.0;8.5
+;6;38.0;Bieri Elias;;13;55.5;5;38.25;-1;0.25;9.75
o;4;47.75;Scheuber Lutz;**;4;57.75;4;47.75;0;0.0;8.5

11a;Bernhard Lukas;*;;;;;;;;;56.0
-;;;Imboden Roger;**;;;;;;;8.75
o;5;8.75;Wicki Joel;**;3;58.0;5;8.75;0;0.0;8.5
+;11;17.25;Thierstein Marco;;16;54.75;5;19.0;-6;1.75;9.75
-;11;27.0;Ambühl Joel (1998);;10;56.25;6;28.25;-5;1.25;9.0
+;14;36.0;Kammermann Dominik;;12;55.75;10;37.0;-4;1.0;10.0
+;11;46.0;Scherer Adrian;*;17;54.5;11;46.0;0;0.0;10.0

11b;Doppmann Urs;;;;;;;;;;56.0
+;;;Baumann Reto;;;;;;;;10.0
+;2;10.0;Lang Julian (1998);;17;54.5;2;10.0;0;0.0;10.0
-;2;20.0;Mathis Marcel;***;8;56.75;7;18.5;5;-1.5;8.75
+;4;28.75;Herger Fabian;*;18;54.25;10;27.25;6;-1.5;10.0
o;3;38.75;Scheuber Lutz;**;4;57.75;7;37.75;4;-1.0;8.5
o;6;47.25;Felder Seppi;;7;57.0;7;47.0;1;-0.25;8.75

11c;Schärli Pius;*;;;;;;;;;56.0
-;;;Reichmuth Marco;*;;;;;;;8.75
-;5;8.75;Odermatt Andreas;;1;109.75;1;19.75;-4;11.0;8.75
+;10;17.5;Wyss Fabian;;19;54.0;7;18.5;-3;1.0;10.0
+;9;27.5;Vogel Manuel (1998);;18;54.25;6;28.25;-3;0.75;10.0
o;8;37.5;Mathis Marcel;***;8;56.75;9;37.25;1;-0.25;8.5
+;11;46.0;Lang Julian (1998);;17;54.5;11;46.0;0;0.0;10.0

11d;Wicki Patrick;;;;;;;;;;56.0
+;;;Widmer Simon;;;;;;;;10.0
+;2;10.0;Ziegler Elias (1999);;19;54.0;2;10.0;0;0.0;10.0
-;2;20.0;Bättig Martin;*;17;54.5;6;18.75;4;-1.25;8.75
-;4;28.75;Kammermann Thomas;*;30;36.25;9;27.5;5;-1.25;8.75
o;8;37.5;Fellmann Roman;;8;56.75;9;37.25;1;-0.25;8.5
+;11;46.0;Scheuber Stefan;;17;54.5;11;46.0;0;0.0;10.0

11e;Gisler Stefan;;;;;;;;;;56.0
