2757-2017-06-18_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
+;11;17.0;Ducrest Etienne;*;29;35.25;11;17.0;0;0.0;10.0
+;11;27.0;Zimmermann Simon;**;15;54.5;10;27.25;-1;0.25;9.75
o;9;36.75;Müllestein Mike;***;4;57.25;7;37.25;-2;0.5;8.5
o;14;45.25;Rolli Martin;**;11;55.5;13;45.5;-1;0.25;8.5

19a;Gassmann Simon;*;;;;;;;;;53.5
+;;;Vonlanthen Cyril;*;;;;;;;9.75
o;2;9.75;Röthlisberger Simon;**;5;57.0;2;9.75;0;0.0;8.5
o;7;18.25;Gerber Christian;**;11;55.5;6;18.5;-1;0.25;8.5
+;12;26.75;Zbinden Adrian;*;29;35.25;12;26.75;0;0.0;9.75
o;10;36.5;Gnägi Christian;*;16;54.25;12;36.0;2;-0.5;8.5
o;15;45.0;Gwerder Guido;**;14;54.75;15;45.0;0;0.0;8.5

19b;Graber Alfred;*;;;;;;;;;53.5
+;;;Schafer Damien;*;;;;;;;9.75
o;2;9.75;Brun Jonas;**;20;53.25;4;8.75;2;-1.0;8.5
+;7;18.25;Loup Alexandre;*;29;35.25;11;17.0;4;-1.25;9.75
o;8;28.0;Arnold Raphael;*;13;55.0;8;28.0;0;0.0;8.5
o;10;36.5;Borcard Johann;**;13;55.0;10;36.5;0;0.0;8.5
o;15;45.0;Waser Dominik;**;13;55.0;14;45.25;-1;0.25;8.5

20a;Cropt Harald;**;;;;;;;;;53.25
-;;;Elsener Adrian;**;;;;;;;8.75
o;4;8.75;Wampfler Beat;***;10;55.75;4;8.75;0;0.0;8.5
-;10;17.25;Schenkel Remo;*;15;54.5;7;18.25;-3;1.0;8.75
+;14;26.0;Emonet Fabien;**;34;34.0;16;25.5;2;-0.5;10.0
o;12;36.0;Renfer Lukas;*;10;55.75;7;37.25;-5;1.25;8.5
-;17;44.5;Kämpf Alexander;**;18;53.75;15;45.0;-2;0.5;8.75

20b;Brodard Simon;**;;;;;;;;;53.25
o;;;Fankhauser Kurt;**;;;;;;;8.5
-;5;8.5;Elsener Adrian;**;17;54.0;4;8.75;-1;0.25;8.75
-;10;17.25;Urfer Simon;*;26;44.25;7;18.25;-3;1.0;8.75
+;14;26.0;Pulfer Thomas;*;35;26.0;14;26.0;0;0.0;10.0
o;12;36.0;Luginbühl Hanspeter;**;14;54.75;12;36.0;0;0.0;8.5
-;17;44.5;Brun Jonas;**;20;53.25;16;44.75;-1;0.25;8.75

20c;Brodard Augustin;**;;;;;;;;;53.25
o;;;Gehrig Philipp;**;;;;;;;8.5
-;5;8.5;Gnägi Christian;*;16;54.25;4;8.75;-1;0.25;8.75
+;10;17.25;Vonlanthen Cyril;*;32;34.5;11;17.0;1;-0.25;10.0
o;10;27.25;Steffen Gustav;*;11;55.5;5;28.75;-5;1.5;8.75
o;12;36.0;Gwerder Carlo;**;11;55.5;12;36.0;0;0.0;8.5
-;17;44.5;Reust Markus;*;21;53.0;18;44.25;1;-0.25;8.75

20d;Brun Jonas;**;;;;;;;;;53.25
-;;;Wampfler Beat;***;;;;;;;8.75
+;4;8.75;Graber Alfred;*;19;53.5;2;9.75;-2;1.0;9.75
-;6;18.5;Kämpf Alexander;**;18;53.75;5;18.75;-1;0.25;8.75
-;10;27.25;Piemontesi Pascal;**;15;54.5;10;27.25;0;0.0;8.75
-;12;36.0;Brodard Simon;**;20;53.25;12;36.0;0;0.0;8.75
o;16;44.75;Gobeli Patrick;*;10;55.75;12;45.75;-4;1.0;8.5

21a;Binggeli Dominik;*;;;;;;;;;53.0
o;;;Mosimann Vincent;*;;;;;;;8.5
+;5;8.5;Emonet Frédéric;*;29;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Schurtenberger Sven;***;3;58.0;6;18.5;0;0.0;8.5
o;11;27.0;Borcard Johann;**;13;55.0;12;26.75;1;-0.25;8.75
-;13;35.75;Riedo Fredy;*;26;44.25;14;35.5;1;-0.25;8.75
o;17;44.5;Dind Samuel;**;16;54.25;17;44.5;0;0.0;8.5

21b;Berset Julien;*;;;;;;;;;53.0
o;;;Gwerder Guido;**;;;;;;;8.5
o;5;8.5;Zimmermann Simon;**;15;54.5;4;8.75;-1;0.25;8.5
-;11;17.0;Reust Markus;*;21;53.0;6;18.5;-5;1.5;8.75
+;15;25.75;Berset Cyril;*;33;34.25;15;25.75;0;0.0;10.0
-;13;35.75;Urfer Simon;*;26;44.25;14;35.5;1;-0.25;8.75
o;17;44.5;Elsener Adrian;**;17;54.0;18;44.25;1;-0.25;8.5

21c;Reust Markus;*;;;;;;;;;53.0
+;;;Riedo Fredy;*;;;;;;;10.0
o;1;10.0;Kramer Lario;**;10;55.75;4;8.75;3;-1.25;8.5
-;6;18.5;Berset Julien;*;21;53.0;11;17.0;5;-1.5;8.75
o;10;27.25;Scheuber Lutz;**;11;55.5;10;27.25;0;0.0;8.5
o;13;35.75;Duplan Steve;**;15;54.5;12;36.0;-1;0.25;8.5
-;18;44.25;Brodard Augustin;**;20;53.25;17;44.5;-1;0.25;8.75

22a;Hofer Sven;*;;;;;;;;;52.75
o;;;Michel Jonas;*;;;;;;;8.5
o;5;8.5;Gehrig Damian;***;24;45.75;4;8.75;-1;0.25;8.5
-;11;17.0;Pulfer Thomas;*;35;26.0;9;17.5;-2;0.5;8.75
+;15;25.75;Buchs Carlo;*;36;25.5;16;25.5;1;-0.25;10.0
o;13;35.75;Schenk Thomas;*;27;44.0;14;35.5;1;-0.25;8.5
o;18;44.25;Urfer Simon;*;26;44.25;18;44.25;0;0.0;8.5

23a;Gloggner Philipp;***;;;;;;;;;46.75
o;;;Wenger Kilian;***;;;;;;;8.5
+;5;8.5;Ducrest Etienne;*;29;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Zbinden Adrian;*;29;35.25;7;18.25;0;0.0;9.75
+;8;28.0;Gerber Christian;**;11;55.5;6;28.5;-2;0.5;10.0
-;4;38.0;Röthlisberger Simon;**;5;57.0;3;38.25;-1;0.25;8.75

24a;Gehrig Damian;***;;;;;;;;;45.75
o;;;Schuler Alex;***;;;;;;;8.75
+;4;8.75;Duplan Steve;**;15;54.5;5;8.5;1;-0.25;10.0
+;5;18.75;Gwerder Guido;**;14;54.75;7;18.25;2;-0.5;9.75
o;6;28.5;Sempach Matthias;***;1;58.5;6;28.5;0;0.0;8.75
o;7;37.25;von Ah Benji;***;6;56.75;7;37.25;0;0.0;8.5

25a;Michel Jonas;*;;;;;;;;;45.5
+;;;Borcard Johann;**;;;;;;;10.0
o;1;10.0;Schuler Alex;***;9;56.0;2;9.75;1;-0.25;8.5
+;6;18.5;Müller Michael;**;14;54.75;6;18.5;0;0.0;10.0
o;6;28.5;Wenger Kilian;***;2;58.25;1;29.75;-5;1.25;8.5
o;8;37.0;Röthlisberger Simon;**;5;57.0;3;38.25;-5;1.25;8.5

26a;Riedo Fredy;*;;;;;;;;;44.25
o;;;Reust Markus;*;;;;;;;8.5
+;5;8.5;Pulfer Thomas;*;35;26.0;3;9.0;-2;0.5;10.0
o;6;18.5;Reusser Philipp;***;7;56.5;6;18.5;0;0.0;8.5
o;11;27.0;Aellen Florian;*;13;55.0;12;26.75;1;-0.25;8.5
-;14;35.5;Binggeli Dominik;*;21;53.0;13;35.75;-1;0.25;8.75

26b;Urfer Simon;*;;;;;;;;;44.25
+;;;Ducrest Etienne;*;;;;;;;9.75
o;2;9.75;Arnold Raphael;*;13;55.0;2;9.75;0;0.0;8.5
-;7;18.25;Brodard Simon;**;20;53.25;10;17.25;3;-1.0;8.75
o;11;27.0;Waser Dominik;**;13;55.0;11;27.0;0;0.0;8.5
-;14;35.5;Berset Julien;*;21;53.0;13;35.75;-1;0.25;8.75

27a;Schenk Thomas;*;;;;;;;;;44.0
+;;;Mollet Ivan;*;;;;;;;9.75
-;2;9.75;Dind Samuel;**;16;54.25;4;8.75;2;-1.0;8.75
o;6;18.5;Müller Michael;**;14;54.75;6;18.5;0;0.0;8.5
o;11;27.0;Roch Vincent;**;18;53.75;12;26.75;1;-0.25;8.5
o;14;35.5;Gwerder Carlo;**;11;55.5;12;36.0;-2;0.5;8.5

28a;von Büren Stephan;*;;;;;;;;;36.75
+;;;Loup Alexandre;*;;;;;;;10.0
+;1;10.0;Mosimann Vincent;*;29;35.25;2;9.75;1;-0.25;9.75
o;2;19.75;Moser Steven;**;7;56.5;2;19.75;0;0.0;8.5
o;7;28.25;Bieri Marcel;**;5;57.0;7;28.25;0;0.0;8.5

29a;Zbinden Adrian;*;;;;;;;;;35.25
+;;;Lerch Jimmy;*;;;;;;;9.75
o;2;9.75;Piemontesi Pascal;**;15;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Gloggner Philipp;***;23;46.75;7;18.25;0;0.0;8.5
o;12;26.75;Gassmann Simon;*;19;53.5;12;26.75;0;0.0;8.5

29b;Emonet Frédéric;*;;;;;;;;;35.25
o;;;Röthlisberger Simon;**;;;;;;;8.5
o;5;8.5;Binggeli Dominik;*;21;53.0;5;8.5;0;0.0;8.5
+;11;17.0;Buchs Carlo;*;36;25.5;11;17.0;0;0.0;9.75
o;12;26.75;Gobeli Patrick;*;10;55.75;10;27.25;-2;0.5;8.5

29c;Loup Alexandre;*;;;;;;;;;35.25
o;;;von Büren Stephan;*;;;;;;;8.5
o;5;8.5;Zenger Niklaus;***;14;54.75;4;8.75;-1;0.25;8.5
o;11;17.0;Graber Alfred;*;19;53.5;7;18.25;-4;1.25;8.5
+;16;25.5;Barras François;*;34;34.0;16;25.5;0;0.0;9.75

29d;Ducry Antoine;*;;;;;;;;;35.25
o;;;Wittwer Jan;*;;;;;;;8.5
o;5;8.5;Odermatt Christian;**;11;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Gwerder Carlo;**;11;55.5;10;17.25;-1;0.25;8.5
+;16;25.5;Schafer Damien;*;34;34.0;16;25.5;0;0.0;9.75

29e;Ducrest Etienne;*;;;;;;;;;35.25
o;;;Urfer Simon;*;;;;;;;8.5
o;5;8.5;Gloggner Philipp;***;23;46.75;5;8.5;0;0.0;8.5
o;11;17.0;Lerch Jimmy;*;18;53.75;11;17.0;0;0.0;8.5
+;16;25.5;Haldi Sami;*;33;34.25;15;25.75;-1;0.25;9.75

29f;Mosimann Vincent;*;;;;;;;;;35.25
+;;;Binggeli Dominik;*;;;;;;;9.75
o;2;9.75;von Büren Stephan;*;28;36.75;1;10.0;-1;0.25;8.5
o;7;18.25;Gwerder Guido;**;14;54.75;7;18.25;0;0.0;8.5
o;12;26.75;Odermatt Christian;**;11;55.5;11;27.0;-1;0.25;8.5

30a;Zimmermann Mario;*;;;;;;;;;35.0
o;;;Müller Michael;**;;;;;;;8.5
-;5;8.5;Luginbühl Hanspeter;**;14;54.75;5;8.5;0;0.0;8.75
-;10;17.25;Sommer Roman;*;16;54.25;6;18.5;-4;1.25;8.75
-;14;26.0;Vonlanthen Cyril;*;32;34.5;16;25.5;2;-0.5;9.0

31a;Gottofrey Luc;*;;;;;;;;;34.75
-;;;Pulfer Thomas;*;;;;;;;8.75
-;4;8.75;Renfer Lukas;*;10;55.75;2;9.75;-2;1.0;9.0
o;8;17.75;Wittwer Jan;*;11;55.5;6;18.5;-2;0.75;8.5
o;13;26.25;Fankhauser Kurt;**;13;55.0;11;27.0;-2;0.75;8.5

32a;Vonlanthen Cyril;*;;;;;;;;;34.5
o;;;Gassmann Simon;*;;;;;;;8.5
o;5;8.5;Roch Vincent;**;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Brodard Augustin;**;20;53.25;10;17.25;-1;0.25;8.5
-;16;25.5;Zimmermann Mario;*;30;35.0;14;26.0;-2;0.5;9.0

33a;Berset Cyril;*;;;;;;;;;34.25
o;;;Schenkel Remo;*;;;;;;;8.5
o;5;8.5;Herger Matthias;**;12;55.25;4;8.75;-1;0.25;8.5
-;11;17.0;Haldi Sami;*;33;34.25;11;17.0;0;0.0;8.75
o;15;25.75;Berset Julien;*;21;53.0;15;25.75;0;0.0;8.5

33b;Barras André;*;;;;;;;;;34.25
-;;;Gnägi Christian;*;;;;;;;8.75
o;4;8.75;Käser Remo;***;4;57.25;3;9.0;-1;0.25;8.5
o;10;17.25;Elsener Adrian;**;17;54.0;9;17.5;-1;0.25;8.5
o;15;25.75;Mollet Ivan;*;17;54.0;16;25.5;1;-0.25;8.5

33c;Haldi Sami;*;;;;;;;;;34.25
o;;;Steffen Gustav;*;;;;;;;8.5
o;5;8.5;Dousse Michel;**;16;54.25;5;8.5;0;0.0;8.5
-;11;17.0;Berset Cyril;*;33;34.25;11;17.0;0;0.0;8.75
o;15;25.75;Ducrest Etienne;*;29;35.25;16;25.5;1;-0.25;8.5

34a;Emonet Fabien;**;;;;;;;;;34.0
o;;;Gobeli Patrick;*;;;;;;;8.5
o;5;8.5;Reusser Philipp;***;7;56.5;5;8.5;0;0.0;8.5
o;11;17.0;Gnägi Christian;*;16;54.25;9;17.5;-2;0.5;8.5
o;16;25.5;Cropt Harald;**;20;53.25;14;26.0;-2;0.5;8.5

34b;Barras François;*;;;;;;;;;34.0
o;;;Sommer Roman;*;;;;;;;8.5
o;5;8.5;Gehrig Philipp;**;8;56.25;2;9.75;-3;1.25;8.5
o;11;17.0;Luginbühl Hanspeter;**;14;54.75;10;17.25;-1;0.25;8.5
o;16;25.5;Loup Alexandre;*;29;35.25;16;25.5;0;0.0;8.5

34c;Schafer Damien;*;;;;;;;;;34.0
o;;;Graber Alfred;*;;;;;;;8.5
o;5;8.5;Schurtenberger Sven;***;3;58.0;5;8.5;0;0.0;8.5
o;11;17.0;Waser Dominik;**;13;55.0;10;17.25;-1;0.25;8.5
o;16;25.5;Ducry Antoine;*;29;35.25;16;25.5;0;0.0;8.5

34d;Gross Florian;*;;;;;;;;;34.0
o;;;Aellen Florian;*;;;;;;;8.5
o;5;8.5;Duplan Steve;**;15;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Dind Samuel;**;16;54.25;9;17.5;-2;0.5;8.5
o;16;25.5;Schenkel Remo;*;15;54.5;11;27.0;-5;1.5;8.5

35a;Pulfer Thomas;*;;;;;;;;;26.0
-;;;Gottofrey Luc;*;;;;;;;9.0
o;3;9.0;Riedo Fredy;*;26;44.25;5;8.5;2;-0.5;8.5
o;9;17.5;Brodard Simon;**;20;53.25;10;17.25;1;-0.25;8.5

36a;Buchs Carlo;*;;;;;;;;;25.5
o;;;Renfer Lukas;*;;;;;;;8.5
o;5;8.5;Kämpf Bernhard;***;5;57.0;5;8.5;0;0.0;8.5
o;11;17.0;Emonet Frédéric;*;29;35.25;11;17.0;0;0.0;8.5

37a;Guisolan Marc;**;;;;;;;;;8.75
-;;;Arnold Stefan;**;;;;;;;8.75

