3580-2017-05-25_Baselstaedtischer_Schwingertag-ST

1a;Alpiger Nick;***;;;;;;;;;59.5
+;2;9.75;Büchi Christian;;16;54.25;2;9.75;0;0.0;9.75
o;3;19.5;Strebel Joel;**;11;55.5;6;18.5;3;-1.0;8.5
+;8;28.0;Müller Christian;;19;53.5;8;28.0;0;0.0;9.75
o;8;37.75;Steinmann Yves;*;8;56.25;12;36.75;4;-1.0;8.75
o;9;46.5;Mangold Michael;;5;57.0;6;47.25;-3;0.75;8.5

13f;Jusufi Ilber;;;;;;;;;;55.0
+;;;Fritz Christian;;;;;;;;9.75
-;2;9.75;Nyffeler Christoph;*;20;53.25;5;8.5;3;-1.25;8.75
o;6;18.5;Kropf Marcel;**;9;56.0;5;18.75;-1;0.25;8.5
+;12;27.0;Tschan Raphael (2000);;28;35.25;13;26.75;1;-0.25;9.75
o;12;36.75;Notz Beni;***;12;55.25;16;35.75;4;-1.0;8.5
+;14;45.25;Bieli Andreas;;22;52.75;18;44.25;4;-1.0;9.75

13g;Widmer Dino;;;;;;;;;;55.0
+;;;Huber Fabian;;;;;;;;9.75
+;2;9.75;Weber Roger;;14;54.75;2;9.75;0;0.0;9.75
o;3;19.5;Widmer Tobias;**;9;56.0;5;18.75;2;-0.75;8.5
o;8;28.0;Klausner Yanick;**;7;56.5;9;27.75;1;-0.25;8.5
-;13;36.5;Läuchli Janik (2000);;17;54.0;12;36.75;-1;0.25;8.75
+;14;45.25;Bühler Mark;;19;53.5;15;45.0;1;-0.25;9.75

13h;Schär Simon;*;;;;;;;;;55.0
o;;;Henzer Andreas;**;;;;;;;8.5
o;5;8.5;Studer Remo;;13;55.0;2;9.75;-3;1.25;8.5
o;10;17.0;Nussbaumer Gabriel;;12;55.25;6;18.5;-4;1.5;8.5
+;17;25.5;Imobersteg Tobias;;32;34.0;17;25.5;0;0.0;10.0
+;17;35.5;Gisin Yanic;;16;54.25;12;36.75;-5;1.25;9.75
+;14;45.25;Büttler Adrian (1999);;17;54.0;13;45.5;-1;0.25;9.75

14a;Weber Roger;;;;;;;;;;54.75
+;;;Reinhard Pirmin (2001);;;;;;;;9.75
o;2;9.75;Widmer Dino;;13;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Hermann Oliver;*;16;54.25;6;18.5;-1;0.25;8.5
+;13;26.75;Meier Fabian;;23;52.5;12;27.0;-1;0.25;9.75
+;13;36.5;Müller Christian;;19;53.5;13;36.5;0;0.0;9.75
o;10;46.25;Rüegger Aaron (1999);;8;56.25;9;46.5;-1;0.25;8.5

14b;Bearda Samuel;;;;;;;;;;54.75
o;;;Voggensperger Lars (2001);;;;;;;;8.5
+;5;8.5;Imobersteg Tobias;;32;34.0;5;8.5;0;0.0;9.75
-;7;18.25;Probst Gabriel;**;12;55.25;9;17.25;2;-1.0;8.75
+;12;27.0;Burkart Simon;;17;54.0;12;27.0;0;0.0;10.0
-;11;37.0;Nyffeler Christoph;*;20;53.25;16;35.75;5;-1.25;8.75
-;12;45.75;Brügger Joël (2000);;15;54.5;13;45.5;1;-0.25;9.0

14c;Brand Christian;**;;;;;;;;;54.75
-;;;Hügli Kaj;*;;;;;;;8.75
o;4;8.75;Bieri Christoph;***;2;58.0;2;9.75;-2;1.0;8.5
-;9;17.25;Jusufi Azret;;26;44.75;6;18.5;-3;1.25;9.0
+;14;26.25;Nyffenegger Florian (2001);;17;54.0;12;27.0;-2;0.75;10.0
+;14;36.25;Widmer David;;16;54.25;11;37.0;-3;0.75;10.0
o;10;46.25;Gerber Christian;**;8;56.25;10;46.25;0;0.0;8.5

14d;Moser Matthias;*;;;;;;;;;54.75
o;;;Schmid Samuel;**;;;;;;;8.5
-;5;8.5;Küng Marco;;4;57.25;1;10.0;-4;1.5;9.0
+;8;17.5;Hitz Florian (1999);;16;54.25;6;18.5;-2;1.0;10.0
+;10;27.5;Müller Simon;;17;54.0;8;28.0;-2;0.5;10.0
o;9;37.5;Leuthard Reto;*;12;55.25;12;36.75;3;-0.75;8.5
-;11;46.0;Burren Patrick (1999);;15;54.5;12;45.75;1;-0.25;8.75

14e;Mangold Martin;;;;;;;;;;54.75
+;;;Gisin Yanic;;;;;;;;9.75
+;2;9.75;Odermatt Adrian (2001);;7;56.5;2;9.75;0;0.0;9.75
o;3;19.5;Blatter Lorenz;**;8;56.25;5;18.75;2;-0.75;8.5
+;8;28.0;Traub Manuel;;16;54.25;11;27.25;3;-0.75;9.75
o;8;37.75;Borcard Johann;**;6;56.75;11;37.0;3;-0.75;8.5
o;10;46.25;Henzer Andreas;**;8;56.25;10;46.25;0;0.0;8.5

15a;Brügger Joël (2000);;;;;;;;;;54.5
o;;;Läuchli Janik (2000);;;;;;;;8.5
+;5;8.5;Huber Pascal;;28;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Schaffner Samuel;**;12;55.25;9;17.25;3;-1.25;8.5
+;12;27.0;Cezar Romario;;27;44.25;12;27.0;0;0.0;10.0
o;11;37.0;Anderegg David;*;11;55.5;11;37.0;0;0.0;8.5
-;13;45.5;Bearda Samuel;;14;54.75;12;45.75;-1;0.25;9.0

15b;Burren Patrick (1999);;;;;;;;;;54.5
+;;;Zagarella Davide (1999);;;;;;;;10.0
o;1;10.0;Hauri Urs;**;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Bieli Andreas;;22;52.75;6;18.5;0;0.0;10.0
-;6;28.5;Nyffeler Christoph;*;20;53.25;12;27.0;6;-1.5;8.75
o;10;37.25;Erb Roger;**;5;57.0;10;37.25;0;0.0;8.5
-;12;45.75;Moser Matthias;*;14;54.75;11;46.0;-1;0.25;8.75

15c;Voggensperger Lars (2001);;;;;;;;;;54.5
+;;;Bearda Samuel;;;;;;;;10.0
-;1;10.0;Schaffner Samuel;**;12;55.25;5;8.5;4;-1.5;8.75
-;5;18.75;Moser Michael;**;25;46.25;8;17.5;3;-1.25;8.75
+;10;27.5;Huber Pascal;;28;35.25;13;26.75;3;-0.75;9.75
o;10;37.25;Klausner Yanick;**;7;56.5;8;37.75;-2;0.5;8.5
o;12;45.75;Schwenkfelder Lukas;;11;55.5;12;45.75;0;0.0;8.75

16a;Hermann Oliver;*;;;;;;;;;54.25
-;;;Lisser Daniel;*;;;;;;;8.75
+;4;8.75;Lisser Beat;;13;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Weber Roger;;14;54.75;7;18.25;1;-0.25;10.0
o;6;28.5;Henzer Andreas;**;8;56.25;9;27.75;3;-0.75;8.75
o;10;37.25;von Arx Christian;*;12;55.25;11;37.0;1;-0.25;8.5
o;12;45.75;Gerber Andrj (2000);;9;56.0;11;46.0;-1;0.25;8.5

16b;Traub Manuel;;;;;;;;;;54.25
-;;;Leuthard Reto;*;;;;;;;8.75
+;4;8.75;Reinhard Pirmin (2001);;27;44.25;4;8.75;0;0.0;10.0
o;5;18.75;Hügli Kaj;*;12;55.25;9;17.25;4;-1.5;8.5
o;11;27.25;Mangold Martin;;14;54.75;8;28.0;-3;0.75;8.5
o;16;35.75;Graber Colin;;17;54.0;16;35.75;0;0.0;8.75
+;17;44.5;Müller Christian;;19;53.5;15;45.0;-2;0.5;9.75

16c;Lisser Daniel;*;;;;;;;;;54.25
-;;;Hermann Oliver;*;;;;;;;9.0
o;3;9.0;Mangold Michael;;5;57.0;1;10.0;-2;1.0;8.5
o;8;17.5;Alpiger Nick;***;1;59.5;1;20.0;-7;2.5;8.5
+;15;26.0;Hermann Lukas 1 (2000);;28;35.25;13;26.75;-2;0.75;10.0
o;15;36.0;Küng Marco;;4;57.25;9;37.5;-6;1.5;8.5
+;17;44.5;Grossmann Andreas;;22;52.75;18;44.25;1;-0.25;9.75

16d;Büchi Christian;;;;;;;;;;54.25
+;;;Dettwiler Patrick;;;;;;;;9.75
o;2;9.75;Gabathuler Björn;;13;55.0;2;9.75;0;0.0;8.75
o;6;18.5;Schwenkfelder Lukas;;11;55.5;6;18.5;0;0.0;8.5
o;12;27.0;Notz Beni;***;12;55.25;16;25.75;4;-1.25;8.5
+;17;35.5;Burkart Simon;;17;54.0;17;35.5;0;0.0;9.75
-;14;45.25;Burtschi Michael;;16;54.25;14;45.25;0;0.0;9.0

16e;Rohrbach Jérôme (2000);;;;;;;;;;54.25
+;;;Loosli Adrian;;;;;;;;9.75
o;2;9.75;Voggensperger Janic;**;8;56.25;3;9.0;1;-0.75;8.5
+;7;18.25;Steger Robert;;18;53.75;7;18.25;0;0.0;10.0
o;7;28.25;Schaffner Samuel;**;12;55.25;12;27.0;5;-1.25;8.5
o;12;36.75;Odermatt Adrian (2001);;7;56.5;12;36.75;0;0.0;8.5
-;14;45.25;Müller Simon;;17;54.0;15;45.0;1;-0.25;9.0

16f;Gisin Yanic;;;;;;;;;;54.25
o;;;Mangold Martin;;;;;;;;8.5
+;5;8.5;Körkel Yannik;;31;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Lisser Beat;;13;55.0;7;18.25;0;0.0;8.5
+;13;26.75;Müller Jan;;17;54.0;12;27.0;-1;0.25;10.0
o;12;36.75;Schär Simon;*;13;55.0;17;35.5;5;-1.25;8.5
-;14;45.25;Aerni Lars;;19;53.5;17;44.5;3;-0.75;9.0

16g;Horner Peter;***;;;;;;;;;54.25
o;;;Bieri Christoph;***;;;;;;;8.5
+;5;8.5;Leuthard Reto;*;12;55.25;4;8.75;-1;0.25;9.75
+;7;18.25;Küng Marco;;4;57.25;4;19.0;-3;0.75;10.0
o;7;28.25;Blatter Lorenz;**;8;56.25;5;28.75;-2;0.5;8.5
o;12;36.75;Döbeli Lukas (2000);*;7;56.5;7;38.0;-5;1.25;8.75
-;13;45.5;Jusufi Azret;;26;44.75;16;44.75;3;-0.75;8.75

16h;Hitz Florian (1999);;;;;;;;;;54.25
-;;;Stoll Thomas;;;;;;;;8.75
+;4;8.75;Bruder Adrian;;29;34.75;4;8.75;0;0.0;9.75
o;6;18.5;Moser Matthias;*;14;54.75;8;17.5;2;-1.0;8.5
o;12;27.0;Büttler Adrian (1999);;17;54.0;12;27.0;0;0.0;8.5
+;17;35.5;Bader Stefan (1999);;17;54.0;17;35.5;0;0.0;10.0
-;13;45.5;Wilhelm Manuel;;16;54.25;13;45.5;0;0.0;8.75

16i;Burtschi Michael;;;;;;;;;;54.25
o;;;Schwenkfelder Lukas;;;;;;;;8.5
o;5;8.5;Wilhelm Manuel;;16;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Meyer Lukas (2001);;22;52.75;8;17.5;-2;0.5;9.75
+;13;26.75;Furrer Mathias;;13;55.0;12;27.0;-1;0.25;10.0
o;12;36.75;Probst Gabriel;**;12;55.25;16;35.75;4;-1.0;8.5
-;14;45.25;Büchi Christian;;16;54.25;14;45.25;0;0.0;9.0

16j;Wilhelm Manuel;;;;;;;;;;54.25
o;;;Dobler Florian;;;;;;;;8.5
+;5;8.5;Burtschi Michael;;16;54.25;5;8.5;0;0.0;9.75
+;7;18.25;Schopferer Cyril (2000);;21;53.0;7;18.25;0;0.0;10.0
o;7;28.25;Thoenen Henryc;**;6;56.75;6;28.5;-1;0.25;8.5
-;12;36.75;Nyffeler Christoph;*;20;53.25;16;35.75;4;-1.0;8.75
-;13;45.5;Hitz Florian (1999);;16;54.25;13;45.5;0;0.0;8.75

16k;Widmer David;;;;;;;;;;54.25
+;;;Grossmann Andreas;;;;;;;;9.75
-;2;9.75;Schmutz Simon (2000);;11;55.5;2;9.75;0;0.0;8.75
o;6;18.5;Nyffeler Christoph;*;20;53.25;9;17.25;3;-1.25;8.5
+;12;27.0;Fritz Christian;;28;35.25;13;26.75;1;-0.25;10.0
o;11;37.0;Brand Christian;**;14;54.75;14;36.25;3;-0.75;8.5
o;13;45.5;Schmutz Adrian;*;12;55.25;13;45.5;0;0.0;8.75

16l;Widmer Cyrill;;;;;;;;;;54.25
+;;;Müller Simon;;;;;;;;9.75
-;2;9.75;Leu Dominik (1999);;17;54.0;2;9.75;0;0.0;8.75
o;6;18.5;Kämpf Alexander;**;10;55.75;9;17.25;3;-1.25;8.5
-;12;27.0;Schmutz Simon (2000);;11;55.5;12;27.0;0;0.0;8.75
-;16;35.75;Aerni Lars;;19;53.5;16;35.75;0;0.0;8.75
+;17;44.5;Büttler Gian (2000);;18;53.75;14;45.25;-3;0.75;9.75

17a;Aeschlimann Fabian (1999);;;;;;;;;;54.0
o;;;Leu Dominik (1999);;;;;;;;8.5
o;5;8.5;Müller Simon;;17;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Kramer Lukas (2001);;32;34.0;10;17.0;0;0.0;10.0
o;12;27.0;Probst Gabriel;**;12;55.25;15;26.0;3;-1.0;8.5
o;17;35.5;Furrer Mathias;;13;55.0;17;35.5;0;0.0;8.75
+;18;44.25;Meier Fabian;;23;52.5;19;44.0;1;-0.25;9.75

17b;Burkart Simon;;;;;;;;;;54.0
o;;;Müller Christian;;;;;;;;8.5
+;5;8.5;Peterhans Alex (2000);;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Leuthard Reto;*;12;55.25;9;17.25;3;-1.25;8.5
o;12;27.0;Bearda Samuel;;14;54.75;12;27.0;0;0.0;8.5
o;17;35.5;Büchi Christian;;16;54.25;17;35.5;0;0.0;8.5
+;19;44.0;Meyer Lukas (2001);;22;52.75;18;44.25;-1;0.25;10.0

17c;Leu Dominik (1999);;;;;;;;;;54.0
+;;;Aeschlimann Fabian (1999);;;;;;;;9.75
-;2;9.75;Widmer Cyrill;;16;54.25;2;9.75;0;0.0;8.75
o;6;18.5;Schmutz Adrian;*;12;55.25;9;17.25;3;-1.25;8.5
+;12;27.0;Bader Stefan (1999);;17;54.0;12;27.0;0;0.0;10.0
o;11;37.0;Schillig Willi;**;7;56.5;11;37.0;0;0.0;8.5
o;13;45.5;Stoll Simon;*;9;56.0;11;46.0;-2;0.5;8.5

17d;Graber Colin;;;;;;;;;;54.0
+;;;Tschan Raphael (2000);;;;;;;;10.0
-;1;10.0;Schmutz Adrian;*;12;55.25;5;8.5;4;-1.5;8.75
o;5;18.75;Hauri Urs;**;11;55.5;6;18.5;1;-0.25;8.5
o;11;27.25;Gerber Andrj (2000);;9;56.0;11;27.25;0;0.0;8.5
+;16;35.75;Traub Manuel;;16;54.25;16;35.75;0;0.0;9.75
o;13;45.5;Schmutz Simon (2000);;11;55.5;12;45.75;-1;0.25;8.5

17e;Läuchli Janik (2000);;;;;;;;;;54.0
+;;;Brügger Joël (2000);;;;;;;;9.75
+;2;9.75;Bühler Mark;;19;53.5;2;9.75;0;0.0;9.75
-;3;19.5;Schillig Willi;**;7;56.5;7;18.25;4;-1.25;8.75
o;7;28.25;Stoll Simon;*;9;56.0;10;27.5;3;-0.75;8.5
-;12;36.75;Widmer Dino;;13;55.0;13;36.5;1;-0.25;8.75
o;13;45.5;Kämpf Alexander;**;10;55.75;11;46.0;-2;0.5;8.5

17f;Müller Jan;;;;;;;;;;54.0
o;;;Bühler Mark;;;;;;;;8.5
+;5;8.5;Vogt Patrick (1999);;30;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Stoll Simon;*;9;56.0;8;17.5;2;-1.0;8.5
o;12;27.0;Gisin Yanic;;16;54.25;13;26.75;1;-0.25;8.5
+;17;35.5;Dettwiler Patrick;;21;53.0;15;36.0;-2;0.5;10.0
o;13;45.5;Notz Beni;***;12;55.25;13;45.5;0;0.0;8.5

17g;Nyffenegger Florian (2001);;;;;;;;;;54.0
o;;;Aerni Lars;;;;;;;;8.5
-;5;8.5;Schwegler Dominik;;29;34.75;5;8.5;0;0.0;8.75
+;9;17.25;Dettwiler Patrick;;21;53.0;8;17.5;-1;0.25;9.75
o;12;27.0;Brand Christian;**;14;54.75;14;26.25;2;-0.75;8.5
+;17;35.5;Peterhans Alex (2000);;23;52.5;17;35.5;0;0.0;10.0
o;13;45.5;Schaffner Samuel;**;12;55.25;14;45.25;1;-0.25;8.5

17h;Müller Simon;;;;;;;;;;54.0
o;;;Widmer Cyrill;;;;;;;;8.5
+;5;8.5;Aeschlimann Fabian (1999);;17;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Nussbaumer Dominik;;18;53.75;6;18.5;-1;0.25;9.75
o;8;28.0;Moser Matthias;*;14;54.75;10;27.5;2;-0.5;8.5
o;13;36.5;Schmutz Adrian;*;12;55.25;16;35.75;3;-0.75;8.5
-;15;45.0;Rohrbach Jérôme (2000);;16;54.25;14;45.25;-1;0.25;9.0

17i;Bader Stefan (1999);;;;;;;;;;54.0
+;;;Steger Robert;;;;;;;;9.75
o;2;9.75;Cezar Romario;;27;44.25;4;8.75;2;-1.0;8.75
o;6;18.5;Waldner Patrick;**;11;55.5;6;18.5;0;0.0;8.5
o;12;27.0;Leu Dominik (1999);;17;54.0;12;27.0;0;0.0;8.5
o;17;35.5;Hitz Florian (1999);;16;54.25;17;35.5;0;0.0;8.5
+;19;44.0;Peterhans Alex (2000);;23;52.5;19;44.0;0;0.0;10.0

17j;Dobler Florian;;;;;;;;;;54.0
+;;;Wilhelm Manuel;;;;;;;;9.75
o;2;9.75;Klausner Yanick;**;7;56.5;3;9.0;1;-0.75;8.5
+;7;18.25;Bühler Mark;;19;53.5;7;18.25;0;0.0;10.0
o;7;28.25;Kämpf Alexander;**;10;55.75;11;27.25;4;-1.0;8.5
-;12;36.75;Schwenkfelder Lukas;;11;55.5;11;37.0;-1;0.25;8.75
o;13;45.5;Arnold Kornel;*;11;55.5;13;45.5;0;0.0;8.5

17k;Büttler Adrian (1999);;;;;;;;;;54.0
o;;;Küng Marco;;;;;;;;8.5
+;5;8.5;Huber Fabian;;28;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Vieira Tiago;**;9;56.0;5;18.75;-1;0.25;8.5
+;12;27.0;Hitz Florian (1999);;16;54.25;12;27.0;0;0.0;10.0
o;11;37.0;Arnold Kornel;*;11;55.5;16;35.75;5;-1.25;8.5
o;13;45.5;Schär Simon;*;13;55.0;14;45.25;1;-0.25;8.5

18a;Büttler Gian (2000);;;;;;;;;;53.75
o;;;Gerber Andrj (2000);;;;;;;;8.5
+;5;8.5;Brändli Kevin;;31;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Anderegg David;*;11;55.5;6;18.5;-1;0.25;8.5
+;13;26.75;Steger Robert;;18;53.75;13;26.75;0;0.0;10.0
o;12;36.75;Hügli Kaj;*;12;55.25;11;37.0;-1;0.25;8.5
o;14;45.25;Widmer Cyrill;;16;54.25;17;44.5;3;-0.75;8.5

18b;Reimann Marco;;;;;;;;;;53.75
o;;;Odermatt Adrian (2001);;;;;;;;8.5
+;5;8.5;Rüegg Benjamin;;28;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Fritz Christian;;28;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Schillig Willi;**;7;56.5;12;27.0;5;-1.25;8.5
o;12;36.75;Waldner Patrick;**;11;55.5;11;37.0;-1;0.25;8.5
o;14;45.25;Probst Gabriel;**;12;55.25;13;45.5;-1;0.25;8.5

18c;Nussbaumer Dominik;;;;;;;;;;53.75
+;;;Brändli Kevin;;;;;;;;10.0
o;1;10.0;Steinmann Yves;*;8;56.25;5;8.5;4;-1.5;8.5
o;6;18.5;Müller Simon;;17;54.0;7;18.25;1;-0.25;8.5
o;12;27.0;Küng Marco;;4;57.25;10;27.5;-2;0.5;8.5
+;17;35.5;Meier Fabian;;23;52.5;17;35.5;0;0.0;9.75
o;14;45.25;Furrer Mathias;;13;55.0;14;45.25;0;0.0;8.5

18d;Steger Robert;;;;;;;;;;53.75
o;;;Bader Stefan (1999);;;;;;;;8.5
+;5;8.5;Hermann Lukas 1 (2000);;28;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Rohrbach Jérôme (2000);;16;54.25;7;18.25;0;0.0;8.5
o;13;26.75;Büttler Gian (2000);;18;53.75;13;26.75;0;0.0;8.75
+;17;35.5;Bieli Andreas;;22;52.75;16;35.75;-1;0.25;9.75
o;14;45.25;Scherrer Johann;**;11;55.5;13;45.5;-1;0.25;8.5

19a;Bühler Mark;;;;;;;;;;53.5
+;;;Müller Jan;;;;;;;;9.75
o;2;9.75;Läuchli Janik (2000);;17;54.0;2;9.75;0;0.0;8.5
o;7;18.25;Dobler Florian;;17;54.0;7;18.25;0;0.0;8.5
+;13;26.75;Huber Fabian;;28;35.25;13;26.75;0;0.0;9.75
o;13;36.5;Schmid Samuel;**;7;56.5;12;36.75;-1;0.25;8.5
o;15;45.0;Widmer Dino;;13;55.0;14;45.25;-1;0.25;8.5

19b;Müller Christian;;;;;;;;;;53.5
+;;;Burkart Simon;;;;;;;;9.75
+;2;9.75;Peterhans Alex (2000);;23;52.5;5;8.5;3;-1.25;9.75
o;3;19.5;Piemontesi Pascal;**;6;56.75;6;18.5;3;-1.0;8.5
o;8;28.0;Gabathuler Björn;;13;55.0;8;28.0;0;0.0;8.5
o;13;36.5;Weber Roger;;14;54.75;13;36.5;0;0.0;8.5
o;15;45.0;Traub Manuel;;16;54.25;17;44.5;2;-0.5;8.5

19c;Aerni Lars;;;;;;;;;;53.5
+;;;Nyffenegger Florian (2001);;;;;;;;10.0
o;1;10.0;Scherrer Johann;**;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Dind Samuel;**;13;55.0;7;18.25;1;-0.25;8.5
-;12;27.0;Bruder Adrian;;29;34.75;15;26.0;3;-1.0;8.75
-;16;35.75;Widmer Cyrill;;16;54.25;16;35.75;0;0.0;8.75
-;17;44.5;Gisin Yanic;;16;54.25;14;45.25;-3;0.75;9.0

20a;Nyffeler Christoph;*;;;;;;;;;53.25
o;;;Vieira Tiago;**;;;;;;;8.5
-;5;8.5;Jusufi Ilber;;13;55.0;2;9.75;-3;1.25;8.75
+;9;17.25;Widmer David;;16;54.25;6;18.5;-3;1.25;9.75
-;12;27.0;Burren Patrick (1999);;15;54.5;6;28.5;-6;1.5;8.75
-;16;35.75;Bearda Samuel;;14;54.75;11;37.0;-5;1.25;8.75
-;17;44.5;Wilhelm Manuel;;16;54.25;13;45.5;-4;1.0;8.75

21a;Dettwiler Patrick;;;;;;;;;;53.0
o;;;Büchi Christian;;;;;;;;8.5
-;5;8.5;Meyer Lukas (2001);;22;52.75;5;8.5;0;0.0;9.0
o;8;17.5;Nyffenegger Florian (2001);;17;54.0;9;17.25;1;-0.25;8.5
+;15;26.0;Brändli Kevin;;31;34.25;16;25.75;1;-0.25;10.0
o;15;36.0;Müller Jan;;17;54.0;17;35.5;2;-0.5;8.5
o;17;44.5;Studer Remo;;13;55.0;15;45.0;-2;0.5;8.5

21b;Schopferer Cyril (2000);;;;;;;;;;53.0
+;;;Kramer Lukas (2001);;;;;;;;9.75
o;2;9.75;Arnold Kornel;*;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Wilhelm Manuel;;16;54.25;7;18.25;0;0.0;8.5
-;13;26.75;Bieli Andreas;;22;52.75;12;27.0;-1;0.25;8.75
-;17;35.5;Cezar Romario;;27;44.25;17;35.5;0;0.0;8.75
-;18;44.25;Reinhard Pirmin (2001);;27;44.25;18;44.25;0;0.0;8.75

22a;Bieli Andreas;;;;;;;;;;52.75
+;;;Huber Pascal;;;;;;;;10.0
o;1;10.0;Anderegg David;*;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Burren Patrick (1999);;15;54.5;6;18.5;0;0.0;8.5
-;12;27.0;Schopferer Cyril (2000);;21;53.0;13;26.75;1;-0.25;8.75
o;16;35.75;Steger Robert;;18;53.75;17;35.5;1;-0.25;8.5
o;18;44.25;Jusufi Ilber;;13;55.0;14;45.25;-4;1.0;8.5

22b;Meyer Lukas (2001);;;;;;;;;;52.75
o;;;Lisser Beat;;;;;;;;8.5
-;5;8.5;Dettwiler Patrick;;21;53.0;5;8.5;0;0.0;9.0
o;8;17.5;Burtschi Michael;;16;54.25;10;17.0;2;-0.5;8.5
+;15;26.0;Vogt Patrick (1999);;30;34.5;16;25.75;1;-0.25;9.75
o;16;35.75;Imobersteg Matthias (2001);;12;55.25;13;36.5;-3;0.75;8.5
o;18;44.25;Burkart Simon;;17;54.0;19;44.0;1;-0.25;8.5

22c;Grossmann Andreas;;;;;;;;;;52.75
o;;;Widmer David;;;;;;;;8.5
o;5;8.5;Siegrist Christian;;24;46.75;1;10.0;-4;1.5;8.5
-;10;17.0;Stoll Thomas;;33;26.25;8;17.5;-2;0.5;8.75
+;16;25.75;Körkel Yannik;;31;34.25;16;25.75;0;0.0;10.0
o;16;35.75;Schmutz Simon (2000);;11;55.5;16;35.75;0;0.0;8.5
o;18;44.25;Lisser Daniel;*;16;54.25;17;44.5;-1;0.25;8.5

23a;Peterhans Alex (2000);;;;;;;;;;52.5
o;;;Müller Christian;;;;;;;;8.5
o;5;8.5;Burkart Simon;;17;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Hermann Lukas 1 (2000);;28;35.25;10;17.0;0;0.0;8.5
+;17;25.5;Zagarella Davide (1999);;31;34.25;16;25.75;-1;0.25;10.0
o;17;35.5;Nyffenegger Florian (2001);;17;54.0;17;35.5;0;0.0;8.5
o;19;44.0;Bader Stefan (1999);;17;54.0;19;44.0;0;0.0;8.5

23b;Meier Fabian;;;;;;;;;;52.5
o;;;Gabathuler Björn;;;;;;;;8.5
o;5;8.5;Fritz Christian;;28;35.25;5;8.5;0;0.0;8.5
+;10;17.0;Rüegg Benjamin;;28;35.25;10;17.0;0;0.0;10.0
o;12;27.0;Weber Roger;;14;54.75;13;26.75;1;-0.25;8.5
o;17;35.5;Nussbaumer Dominik;;18;53.75;17;35.5;0;0.0;8.5
o;19;44.0;Aeschlimann Fabian (1999);;17;54.0;18;44.25;-1;0.25;8.5

24a;Siegrist Christian;;;;;;;;;;46.75
+;;;Grossmann Andreas;;;;;;;;10.0
-;1;10.0;Henzer Andreas;**;8;56.25;1;10.0;0;0.0;9.0
+;4;19.0;Studer Remo;;13;55.0;3;19.5;-1;0.5;10.0
o;4;29.0;Moser Michael;**;25;46.25;14;26.25;10;-2.75;8.75
-;8;37.75;Imobersteg Matthias (2001);;12;55.25;13;36.5;5;-1.25;9.0

25a;Moser Michael;**;;;;;;;;;46.25
-;;;Klausner Yanick;**;;;;;;;9.0
o;3;9.0;Studinger Stephan;**;6;56.75;1;10.0;-2;1.0;8.5
-;8;17.5;Voggensperger Lars (2001);;15;54.5;5;18.75;-3;1.25;8.75
+;14;26.25;Siegrist Christian;;24;46.75;4;29.0;-10;2.75;10.0
+;14;36.25;Leuthard Reto;*;12;55.25;12;36.75;-2;0.5;10.0

26a;Jusufi Azret;;;;;;;;;;44.75
+;;;Nussbaumer Gabriel;;;;;;;;9.75
-;2;9.75;Krebs Clemens;;12;55.25;2;9.75;0;0.0;8.75
-;6;18.5;Brand Christian;**;14;54.75;9;17.25;3;-1.25;9.0
o;10;27.5;Voggensperger Janic;**;8;56.25;8;28.0;-2;0.5;8.5
-;15;36.0;Horner Peter;***;16;54.25;12;36.75;-3;0.75;8.75

27a;Cezar Romario;;;;;;;;;;44.25
-;;;Bruder Adrian;;;;;;;;8.75
+;4;8.75;Bader Stefan (1999);;17;54.0;2;9.75;-2;1.0;9.75
o;6;18.5;Scherrer Johann;**;11;55.5;6;18.5;0;0.0;8.5
o;12;27.0;Brügger Joël (2000);;15;54.5;12;27.0;0;0.0;8.5
-;17;35.5;Schopferer Cyril (2000);;21;53.0;17;35.5;0;0.0;8.75

27b;Reinhard Pirmin (2001);;;;;;;;;;44.25
o;;;Weber Roger;;;;;;;;8.75
o;4;8.75;Traub Manuel;;16;54.25;4;8.75;0;0.0;8.5
+;9;17.25;Regenass Reto (2000);;32;34.0;10;17.0;1;-0.25;9.75
