3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
11g;Leuppi Samir;**;;;;;;;;;55.75
o;;;Stucki Christian;***;;;;;;;8.5
+;6;8.5;Marti Stefan;**;7;56.75;2;10.0;-4;1.5;9.75
+;8;18.25;Müller Marc;;23;52.75;7;18.5;-1;0.25;10.0
+;5;28.25;Aellen Philipp;*;14;55.0;5;28.25;0;0.0;9.75
-;6;38.0;Gerber Christian;**;6;57.0;5;38.25;-1;0.25;9.0
-;9;47.0;Roth Philipp;***;13;55.25;11;46.5;2;-0.5;8.75

11h;Schenk Patrick;***;;;;;;;;;55.75
-;;;Mathys Simon;**;;;;;;;8.75
+;5;8.75;Schenkel Remo;*;14;55.0;2;10.0;-3;1.25;9.75
o;7;18.5;Renfer Lukas;**;5;57.25;6;18.75;-1;0.25;8.75
o;9;27.25;Wiget Michael;*;25;47.0;4;28.5;-5;1.25;8.5
+;15;35.75;Mösching Andy;*;21;53.25;14;36.0;-1;0.25;10.0
+;14;45.75;Grossen John;*;17;54.25;14;45.75;0;0.0;10.0

11i;Wyss Kilian;**;;;;;;;;;55.75
o;;;Gobeli Patrick;**;;;;;;;8.75
+;5;8.75;Kappeler Ruedi;;16;54.5;2;10.0;-3;1.25;10.0
o;6;18.75;Gnägi Florian;***;5;57.25;7;18.5;1;-0.25;8.5
+;9;27.25;Schütz Urs;**;17;54.25;9;27.25;0;0.0;10.0
+;9;37.25;Jäggi Lukas;*;11;55.75;9;37.25;0;0.0;9.75
o;9;47.0;Mathys Simon;**;6;57.0;9;47.0;0;0.0;8.75

12a;Gäggeler Adrian;*;;;;;;;;;55.5
-;;;Studer Stefan;**;;;;;;;8.75
+;5;8.75;Nägeli Daniel;*;18;54.0;5;8.75;0;0.0;9.75
-;7;18.5;Wittwer Josias;*;10;56.0;7;18.5;0;0.0;8.75
+;9;27.25;Tschan Matthias;;22;53.0;9;27.25;0;0.0;10.0
o;9;37.25;Gnägi Florian;***;5;57.25;9;37.25;0;0.0;8.5
+;14;45.75;Waber Lorenz;*;18;54.0;15;45.5;1;-0.25;9.75

