2753-2015-08-23_Bernisch-Kantonales_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;59.75
-;10;46.25;Gerber Christian;**;9;56.0;7;47.0;-3;0.75;8.75

13f;Schlüchter Colin (1997);*;;;;;;;;;55.0
o;;;Aebi Roger;;;;;;;;8.5
+;5;8.5;Lanz Christian;*;28;34.5;4;8.75;-1;0.25;9.75
o;7;18.25;Rolli Martin;**;22;52.75;9;17.25;2;-1.0;8.5
+;11;26.75;Aellen Florian;;25;35.25;11;26.75;0;0.0;9.75
+;12;36.5;Weyermann Michael;*;18;53.75;12;36.5;0;0.0;10.0
o;9;46.5;Luginbühl Hanspeter;**;6;56.75;7;47.0;-2;0.5;8.5

13g;Renfer Lukas;*;;;;;;;;;55.0
+;;;Gehrig Philipp;*;;;;;;;9.75
o;2;9.75;Luginbühl Hanspeter;**;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Schmid Lars;;22;52.75;6;18.5;-1;0.25;10.0
+;5;28.25;Mathys Simon;*;12;55.25;5;28.25;0;0.0;9.75
o;6;38.0;Zaugg Thomas;***;4;57.25;8;37.5;2;-0.5;8.5
o;9;46.5;Aeschbacher Matthias;**;8;56.25;10;46.25;1;-0.25;8.5

14a;Graber Alfred;*;;;;;;;;;54.75
+;;;Bremgartner Marcel;*;;;;;;;10.0
o;1;10.0;Rhyner Michael;**;11;55.5;4;8.75;3;-1.25;8.75
-;5;18.75;Borcard Johann;**;17;54.0;7;18.25;2;-0.5;8.75
+;8;27.5;Wüthrich Philip;;12;55.25;9;27.25;1;-0.25;9.75
o;9;37.25;Gerber Christian;**;9;56.0;9;37.25;0;0.0;8.5
-;12;45.75;Reichen Stefan;;15;54.5;13;45.5;1;-0.25;9.0

14b;Waber Lorenz;*;;;;;;;;;54.75
+;;;Blaser Roman;*;;;;;;;9.75
-;2;9.75;Binggeli Dominik;*;10;55.75;1;10.0;-1;0.25;8.75
-;6;18.5;Studer Stefan;**;14;54.75;6;18.5;0;0.0;8.75
+;9;27.25;Walther Marcel;;18;53.75;10;27.0;1;-0.25;10.0
o;9;37.25;Roth Dominik;*;8;56.25;9;37.25;0;0.0;8.5
-;12;45.75;Fankhauser Reto;*;14;54.75;12;45.75;0;0.0;9.0

14c;Urfer Simon;*;;;;;;;;;54.75
-;;;Wälti Christoph;**;;;;;;;8.75
-;4;8.75;Schmid Lars;;22;52.75;2;9.75;-2;1.0;8.75
-;8;17.5;Blaser Roman;*;12;55.25;6;18.5;-2;1.0;8.75
+;13;26.25;Heeb Thierry;;25;35.25;11;26.75;-2;0.5;10.0
o;13;36.25;Imhof Andi;***;8;56.25;13;36.25;0;0.0;8.5
+;16;44.75;Ramseier Thomas;;19;53.5;16;44.75;0;0.0;10.0

14d;Fankhauser Reto;*;;;;;;;;;54.75
-;;;Leuenberger Michael 1;*;;;;;;;8.75
+;4;8.75;Nägeli Daniel;;27;34.75;4;8.75;0;0.0;10.0
o;5;18.75;Schuler Christian;***;5;57.0;5;18.75;0;0.0;8.5
+;9;27.25;Camenzind Ivan;;21;53.0;9;27.25;0;0.0;10.0
o;9;37.25;Anderegg Simon;***;7;56.5;8;37.5;-1;0.25;8.5
-;12;45.75;Waber Lorenz;*;14;54.75;12;45.75;0;0.0;9.0

14e;Kämpf Marcel;*;;;;;;;;;54.75
-;;;Berger René;**;;;;;;;8.75
+;4;8.75;Walther Marcel;;18;53.75;4;8.75;0;0.0;10.0
o;5;18.75;Siegenthaler Matthias;***;4;57.25;5;18.75;0;0.0;8.5
-;9;27.25;Riesen Julian;;15;54.5;9;27.25;0;0.0;8.75
+;14;36.0;Zbinden Reto;*;15;54.5;14;36.0;0;0.0;9.75
-;12;45.75;Schenk Patrick;**;14;54.75;12;45.75;0;0.0;9.0

14f;Studer Stefan;**;;;;;;;;;54.75
o;;;Roschi Ruedi;**;;;;;;;8.5
+;5;8.5;Fankhauser Hans-Jakob;*;17;54.0;5;8.5;0;0.0;10.0
-;6;18.5;Waber Lorenz;*;14;54.75;6;18.5;0;0.0;9.0
+;8;27.5;Ramseier Fritz;*;15;54.5;8;27.5;0;0.0;10.0
o;8;37.5;Glarner Matthias;***;10;55.75;9;37.25;1;-0.25;8.5
o;11;46.0;Wickli Beat;**;9;56.0;10;46.25;-1;0.25;8.75

14g;Schenk Patrick;**;;;;;;;;;54.75
o;;;Röthlisberger Simon;*;;;;;;;8.5
-;5;8.5;Reust Markus;*;12;55.25;2;9.75;-3;1.25;9.0
+;8;17.5;Kropf Thomas;*;11;55.5;6;18.5;-2;1.0;9.75
+;9;27.25;Klossner Adrian;*;15;54.5;9;27.25;0;0.0;10.0
o;9;37.25;Gnägi Florian;***;4;57.25;9;37.25;0;0.0;8.5
-;12;45.75;Kämpf Marcel;*;14;54.75;12;45.75;0;0.0;9.0

15a;Meuter Adrian;**;;;;;;;;;54.5
-;;;Rolli Martin;**;;;;;;;8.75
+;4;8.75;Dummermuth Ueli;;18;53.75;1;10.0;-3;1.25;10.0
-;5;18.75;Kämpf Bernhard;***;6;56.75;5;18.75;0;0.0;8.75
+;8;27.5;Reust Markus;*;12;55.25;4;28.5;-4;1.0;10.0
o;8;37.5;Roschi Ruedi;**;11;55.5;9;37.25;1;-0.25;8.5
o;11;46.0;Wyss Kilian;**;7;56.5;9;46.5;-2;0.5;8.5

15b;Zbinden Reto;*;;;;;;;;;54.5
-;;;Habegger Jürg;*;;;;;;;8.75
-;4;8.75;Mosimann Fabian;;16;54.25;5;8.5;1;-0.25;8.75
o;8;17.5;Käser Remo;**;5;57.0;7;18.25;-1;0.75;8.5
+;14;26.0;Neukomm Thierry;;28;34.5;14;26.0;0;0.0;10.0
o;14;36.0;Kämpf Marcel;*;14;54.75;14;36.0;0;0.0;8.5
+;17;44.5;Zangger Dominik (1997);;21;53.0;17;44.5;0;0.0;10.0

15c;Steffen Gustav;*;;;;;;;;;54.5
o;;;Zimmermann Matthias;*;;;;;;;8.5
+;5;8.5;Burger Lionel (1997);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Stalder Remo;***;7;56.5;6;18.5;0;0.0;8.5
+;10;27.0;Hofstetter Christian;*;18;53.75;10;27.0;0;0.0;10.0
o;10;37.0;Schütz Urs;**;11;55.5;10;37.0;0;0.0;8.75
o;12;45.75;Joss David;;10;55.75;12;45.75;0;0.0;8.75

15d;Reichen Stefan;;;;;;;;;;54.5
+;;;Ledermann Patrik;;;;;;;;10.0
+;1;10.0;Michel Jonas;*;13;55.0;4;8.75;3;-1.25;10.0
o;1;20.0;Schenkel Adrian;**;10;55.75;5;18.75;4;-1.25;8.5
o;4;28.5;Schenkel Remo;*;11;55.5;4;28.5;0;0.0;8.5
o;10;37.0;Mathys Simon;*;12;55.25;11;36.75;1;-0.25;8.5
-;13;45.5;Graber Alfred;*;14;54.75;12;45.75;-1;0.25;9.0

15e;Riesen Julian;;;;;;;;;;54.5
-;;;Blaser Jan;*;;;;;;;8.75
-;4;8.75;Steffen Konrad;*;27;34.75;4;8.75;0;0.0;8.75
+;8;17.5;Brunner Marcel;*;15;54.5;8;17.5;0;0.0;9.75
-;9;27.25;Kämpf Marcel;*;14;54.75;9;27.25;0;0.0;8.75
-;14;36.0;Ramseier Thomas;;19;53.5;14;36.0;0;0.0;8.75
+;16;44.75;Gerber Fritz;;22;52.75;18;44.25;2;-0.5;9.75

15f;Ramseier Fritz;*;;;;;;;;;54.5
-;;;Schenkel Adrian;**;;;;;;;8.75
-;4;8.75;Joss David;;10;55.75;1;10.0;-3;1.25;8.75
+;8;17.5;Salzmann Simon;*;25;35.25;7;18.25;-1;0.75;10.0
o;8;27.5;Studer Stefan;**;14;54.75;8;27.5;0;0.0;8.5
+;14;36.0;Camenzind Ivan;;21;53.0;14;36.0;0;0.0;10.0
o;11;46.0;Käser Remo;**;5;57.0;7;47.0;-4;1.0;8.5

15g;Klossner Adrian;*;;;;;;;;;54.5
+;;;Hofstetter Christian;*;;;;;;;10.0
o;1;10.0;Weyermann Florian;*;11;55.5;2;9.75;1;-0.25;8.5
-;6;18.5;Ramseier Thomas;;19;53.5;6;18.5;0;0.0;8.75
o;9;27.25;Schenk Patrick;**;14;54.75;9;27.25;0;0.0;8.5
+;15;35.75;Zangger Dominik (1997);;21;53.0;14;36.0;-1;0.25;10.0
-;12;45.75;Bremgartner Marcel;*;16;54.25;13;45.5;1;-0.25;8.75

15h;Wittwer Josias;*;;;;;;;;;54.5
-;;;Zürcher Remo;*;;;;;;;8.75
o;4;8.75;Weyermann Michael;*;18;53.75;5;8.5;1;-0.25;8.5
+;9;17.25;Scheidegger Adrian;;25;35.25;7;18.25;-2;1.0;10.0
-;9;27.25;Wälti Christoph;**;19;53.5;9;27.25;0;0.0;8.75
-;14;36.0;Aebi Roger;;18;53.75;12;36.5;-2;0.5;8.75
+;16;44.75;Rolli Martin;**;22;52.75;18;44.25;2;-0.5;9.75

15i;Brunner Marcel;*;;;;;;;;;54.5
-;;;Niederhäuser Martin;;;;;;;;8.75
-;4;8.75;Kämpf Lorenz;*;16;54.25;2;9.75;-2;1.0;8.75
o;8;17.5;Riesen Julian;;15;54.5;8;17.5;0;0.0;8.5
+;14;26.0;Lanz Christian;*;28;34.5;14;26.0;0;0.0;9.75
-;15;35.75;Graber Bruno;**;20;53.25;15;35.75;0;0.0;8.75
+;17;44.5;Vonlanthen Cyril;;22;52.75;18;44.25;1;-0.25;10.0

15j;Fankhauser Thomas;;;;;;;;;;54.5
o;;;Heeb Thierry;;;;;;;;8.5
o;5;8.5;Freitag Jan;;31;18.25;2;9.75;-3;1.25;8.5
o;10;17.0;Leuenberger Marc;;22;52.75;10;17.0;0;0.0;8.5
+;16;25.5;Burger Lionel (1997);;30;34.0;16;25.5;0;0.0;10.0
+;16;35.5;Heiniger Michael;*;23;52.5;16;35.5;0;0.0;10.0
-;13;45.5;Gehrig Philipp;*;16;54.25;14;45.25;1;-0.25;9.0

15k;Schmid Reto;**;;;;;;;;;54.5
+;;;Dumelin David;*;;;;;;;10.0
o;1;10.0;Siegenthaler Matthias;***;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Joss David;;10;55.75;5;18.75;-1;0.25;10.0
-;4;28.5;von Büren Stephan;*;10;55.75;5;28.25;1;-0.25;8.75
o;9;37.25;Schuler Christian;***;5;57.0;9;37.25;0;0.0;8.5
-;12;45.75;Wälti Christoph;**;19;53.5;16;44.75;4;-1.0;8.75

15l;Stämpfli Lorenz;;;;;;;;;;54.5
+;;;Gehrig Kilian;;;;;;;;9.75
-;2;9.75;Graber Bruno;**;20;53.25;4;8.75;2;-1.0;8.75
-;6;18.5;Zimmermann Matthias;*;17;54.0;7;18.25;1;-0.25;8.75
+;9;27.25;Gnägi Christian;*;24;35.75;9;27.25;0;0.0;10.0
-;9;37.25;Zürcher Remo;*;16;54.25;10;37.0;1;-0.25;8.75
o;11;46.0;Lauper Hansruedi;***;9;56.0;11;46.0;0;0.0;8.5

16a;Meyer Reto;*;;;;;;;;;54.25
-;;;Zehnder Jürg;*;;;;;;;8.75
o;4;8.75;Leuenberger Michael 1;*;13;55.0;3;9.0;-1;0.25;8.5
+;9;17.25;Fink Beat;;28;34.5;9;17.25;0;0.0;9.75
o;10;27.0;Leuenberger Michael 2;**;12;55.25;10;27.0;0;0.0;8.5
-;16;35.5;Fankhauser Hans-Jakob;*;17;54.0;16;35.5;0;0.0;8.75
+;18;44.25;Krebs Ueli;*;22;52.75;18;44.25;0;0.0;10.0

16b;Tschanz Richard;*;;;;;;;;;54.25
o;;;Weyermann Florian;*;;;;;;;8.5
+;5;8.5;Neukomm Thierry;;28;34.5;4;8.75;-1;0.25;10.0
o;6;18.5;Wüthrich Niklaus;**;13;55.0;6;18.5;0;0.0;8.5
-;10;27.0;Gäggeler Adrian;*;16;54.25;10;27.0;0;0.0;8.75
+;15;35.75;Leuenberger Marc;;22;52.75;15;35.75;0;0.0;9.75
-;13;45.5;Zürcher Kurt;*;16;54.25;13;45.5;0;0.0;8.75

16c;Mosimann Fabian;;;;;;;;;;54.25
o;;;Aellen Florian;;;;;;;;8.5
-;5;8.5;Zbinden Reto;*;15;54.5;4;8.75;-1;0.25;8.75
+;9;17.25;Zangger Dominik (1997);;21;53.0;8;17.5;-1;0.25;10.0
o;9;27.25;Zürcher Remo;*;16;54.25;9;27.25;0;0.0;8.5
+;15;35.75;Grossen John;;21;53.0;15;35.75;0;0.0;10.0
o;12;45.75;Dind Samuel;**;10;55.75;12;45.75;0;0.0;8.5

16d;Bremgartner Marcel;*;;;;;;;;;54.25
o;;;Graber Alfred;*;;;;;;;8.5
+;5;8.5;Camenzind Ivan;;21;53.0;4;8.75;-1;0.25;10.0
o;6;18.5;Schenkel Remo;*;11;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Berger René;**;12;55.25;10;27.0;0;0.0;10.0
o;10;37.0;Stalder Remo;***;7;56.5;11;36.75;1;-0.25;8.5
-;13;45.5;Klossner Adrian;*;15;54.5;12;45.75;-1;0.25;8.75

16e;Pulfer Thomas;*;;;;;;;;;54.25
-;;;Kappeler Niklaus;*;;;;;;;8.75
+;4;8.75;Charrière Vital;;25;35.25;5;8.5;1;-0.25;10.0
o;5;18.75;Wyss Kilian;**;7;56.5;4;19.0;-1;0.25;8.5
+;9;27.25;Scheuner Michael;*;17;54.0;9;27.25;0;0.0;10.0
o;9;37.25;Käser Remo;**;5;57.0;9;37.25;0;0.0;8.5
o;12;45.75;Iseli Marco (1997);;10;55.75;12;45.75;0;0.0;8.5

16f;Gäggeler Adrian;*;;;;;;;;;54.25
o;;;Roth Philipp;*;;;;;;;8.5
-;5;8.5;Zangger Dominik (1997);;21;53.0;4;8.75;-1;0.25;8.75
+;9;17.25;Blaser Jan;*;28;34.5;9;17.25;0;0.0;9.75
-;10;27.0;Tschanz Richard;*;16;54.25;10;27.0;0;0.0;8.75
o;15;35.75;Rhyner Michael;**;11;55.5;15;35.75;0;0.0;8.75
+;17;44.5;Leuenberger Marc;;22;52.75;18;44.25;1;-0.25;9.75

16g;Zürcher Remo;*;;;;;;;;;54.25
-;;;Wittwer Josias;*;;;;;;;8.75
+;4;8.75;Schüpbach Janick (1997);;27;34.75;4;8.75;0;0.0;10.0
o;5;18.75;Gnägi Florian;***;4;57.25;6;18.5;1;-0.25;8.5
+;9;27.25;Mosimann Fabian;;16;54.25;9;27.25;0;0.0;9.75
-;10;37.0;Stämpfli Lorenz;;15;54.5;9;37.25;-1;0.25;8.75
o;12;45.75;Rhyner Michael;**;11;55.5;12;45.75;0;0.0;8.5

16h;Zürcher Kurt;*;;;;;;;;;54.25
o;;;Wälchli Roger;*;;;;;;;8.5
o;5;8.5;Vonlanthen Cyril;;22;52.75;4;8.75;-1;0.25;8.5
o;10;17.0;Dind Samuel;**;10;55.75;10;17.0;0;0.0;8.5
+;16;25.5;von Känel Daniel;*;30;34.0;16;25.5;0;0.0;10.0
+;16;35.5;Krebs Ueli;*;22;52.75;15;35.75;-1;0.25;10.0
-;13;45.5;Tschanz Richard;*;16;54.25;13;45.5;0;0.0;8.75

16i;Kämpf Lorenz;*;;;;;;;;;54.25
+;;;Salzmann Simon;*;;;;;;;9.75
-;2;9.75;Brunner Marcel;*;15;54.5;4;8.75;2;-1.0;8.75
o;6;18.5;Bloch Dominic;**;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Scheidegger Adrian;;25;35.25;11;26.75;1;-0.25;10.0
o;10;37.0;Zwyssig Raphael;***;11;55.5;11;36.75;1;-0.25;8.5
-;13;45.5;Kestenholz Christian;;17;54.0;14;45.25;1;-0.25;8.75

16j;Gehrig Philipp;*;;;;;;;;;54.25
o;;;Renfer Lukas;*;;;;;;;8.75
-;4;8.75;Kappeler Niklaus;*;26;35.0;4;8.75;0;0.0;8.75
-;8;17.5;Mösching Andy;*;25;35.25;8;17.5;0;0.0;9.0
+;12;26.5;Berger Lorenz (1997);;22;52.75;10;27.0;-2;0.5;10.0
-;12;36.5;Kämpf Alexander;**;18;53.75;13;36.25;1;-0.25;8.75
-;14;45.25;Fankhauser Thomas;;15;54.5;13;45.5;-1;0.25;9.0

17a;Wittwer Jan (1997);*;;;;;;;;;54.0
o;;;Joss David;;;;;;;;8.5
+;5;8.5;Hofstetter Christian;*;18;53.75;5;8.5;0;0.0;10.0
o;6;18.5;von Büren Stephan;*;10;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Kropf Thomas;*;11;55.5;10;27.0;0;0.0;8.5
o;16;35.5;Dummermuth Ueli;;18;53.75;16;35.5;0;0.0;8.5
+;19;44.0;Heiniger Michael;*;23;52.5;19;44.0;0;0.0;10.0

17b;Borcard Johann;**;;;;;;;;;54.0
o;;;Zenger Niklaus;***;;;;;;;8.5
+;5;8.5;Fink Beat;;28;34.5;4;8.75;-1;0.25;9.75
-;7;18.25;Graber Alfred;*;14;54.75;5;18.75;-2;0.5;8.75
-;10;27.0;Rolli Martin;**;22;52.75;10;27.0;0;0.0;8.75
o;15;35.75;Zehnder Jürg;*;11;55.5;14;36.0;-1;0.25;8.5
+;18;44.25;Niederhäuser Martin;;19;53.5;15;45.0;-3;0.75;9.75

17c;Kestenholz Christian;;;;;;;;;;54.0
+;;;Grossen John;;;;;;;;9.75
o;2;9.75;Kropf Thomas;*;11;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Röthlisberger Simon;*;8;56.25;7;18.25;0;0.0;8.5
+;11;26.75;Charrière Vital;;25;35.25;11;26.75;0;0.0;10.0
o;11;36.75;Weyermann Florian;*;11;55.5;10;37.0;-1;0.25;8.5
-;14;45.25;Kämpf Lorenz;*;16;54.25;13;45.5;-1;0.25;8.75

17d;Burger Fredy;*;;;;;;;;;54.0
o;;;Stucki Daniel;;;;;;;;8.5
o;5;8.5;Blaser Roman;*;12;55.25;5;8.5;0;0.0;8.5
+;10;17.0;von Känel Daniel;*;30;34.0;10;17.0;0;0.0;10.0
-;10;27.0;Krebs Ueli;*;22;52.75;10;27.0;0;0.0;8.75
+;15;35.75;Walther Marcel;;18;53.75;16;35.5;1;-0.25;9.75
o;13;45.5;Leuenberger Michael 2;**;12;55.25;14;45.25;1;-0.25;8.5

17e;Zimmermann Matthias;*;;;;;;;;;54.0
+;;;Steffen Gustav;*;;;;;;;9.75
o;2;9.75;Käser Remo;**;5;57.0;5;8.5;3;-1.25;8.5
-;7;18.25;Stämpfli Lorenz;;15;54.5;6;18.5;-1;0.25;8.75
+;10;27.0;Schmid Lars;;22;52.75;10;27.0;0;0.0;10.0
o;10;37.0;Luginbühl Hanspeter;**;6;56.75;9;37.25;-1;0.25;8.5
o;13;45.5;Berger René;**;12;55.25;13;45.5;0;0.0;8.5

17f;Scheuner Michael;*;;;;;;;;;54.0
-;;;Wittwer René;*;;;;;;;8.75
+;4;8.75;Mösching Andy;*;25;35.25;3;9.0;-1;0.25;10.0
o;5;18.75;Lauper Hansruedi;***;9;56.0;5;18.75;0;0.0;8.5
o;9;27.25;Pulfer Thomas;*;16;54.25;9;27.25;0;0.0;8.5
+;15;35.75;Gerber Fritz;;22;52.75;15;35.75;0;0.0;9.75
o;13;45.5;Zehnder Jürg;*;11;55.5;12;45.75;-1;0.25;8.5

17g;Fankhauser Hans-Jakob;*;;;;;;;;;54.0
o;;;Reust Markus;*;;;;;;;8.5
o;5;8.5;Studer Stefan;**;14;54.75;5;8.5;0;0.0;8.5
+;10;17.0;Ledermann Patrik;;30;34.0;10;17.0;0;0.0;10.0
o;10;27.0;Kappeler Ruedi;;12;55.25;10;27.0;0;0.0;8.5
-;16;35.5;Meyer Reto;*;16;54.25;16;35.5;0;0.0;8.75
+;18;44.25;Camenzind Ivan;;21;53.0;17;44.5;-1;0.25;9.75

18a;Hofstetter Christian;*;;;;;;;;;53.75
o;;;Klossner Adrian;*;;;;;;;8.5
o;5;8.5;Wittwer Jan (1997);*;17;54.0;5;8.5;0;0.0;8.75
+;9;17.25;Gnägi Damian (1998);;27;34.75;9;17.25;0;0.0;9.75
o;10;27.0;Steffen Gustav;*;15;54.5;10;27.0;0;0.0;8.5
+;16;35.5;Schmid Lars;;22;52.75;16;35.5;0;0.0;9.75
o;14;45.25;Wüthrich Philip;;12;55.25;13;45.5;-1;0.25;8.5

18b;Kämpf Alexander;**;;;;;;;;;53.75
-;;;Michel Jonas;*;;;;;;;8.75
-;4;8.75;Wüthrich Philip;;12;55.25;1;10.0;-3;1.25;8.75
+;8;17.5;Weyermann Michael;*;18;53.75;7;18.25;-1;0.75;10.0
-;8;27.5;Rhyner Michael;**;11;55.5;10;27.0;2;-0.5;8.75
-;13;36.25;Gehrig Philipp;*;16;54.25;12;36.5;-1;0.25;8.75
-;15;45.0;Graber Bruno;**;20;53.25;17;44.5;2;-0.5;8.75

18c;Dummermuth Ueli;;;;;;;;;;53.75
+;;;Walther Marcel;;;;;;;;10.0
o;1;10.0;Meuter Adrian;**;15;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Dumelin David;*;13;55.0;6;18.5;0;0.0;8.5
o;10;27.0;Joss David;;10;55.75;9;27.25;-1;0.25;8.5
+;16;35.5;Wittwer Jan (1997);*;17;54.0;16;35.5;0;0.0;9.75
o;14;45.25;Kappeler Ruedi;;12;55.25;14;45.25;0;0.0;8.5

18d;Weyermann Michael;*;;;;;;;;;53.75
o;;;Binggeli Dominik;*;;;;;;;8.5
+;5;8.5;Wittwer Josias;*;15;54.5;4;8.75;-1;0.25;9.75
o;7;18.25;Kämpf Alexander;**;18;53.75;8;17.5;1;-0.75;8.5
+;11;26.75;Stucki Daniel;;25;35.25;11;26.75;0;0.0;9.75
o;12;36.5;Schlüchter Colin (1997);*;13;55.0;12;36.5;0;0.0;8.75
o;14;45.25;Gobeli Patrick (1998);*;13;55.0;14;45.25;0;0.0;8.5

18e;Walther Marcel;;;;;;;;;;53.75
o;;;Dummermuth Ueli;;;;;;;;8.75
o;4;8.75;Kämpf Marcel;*;14;54.75;4;8.75;0;0.0;8.5
+;9;17.25;Habegger Jürg;*;29;34.25;9;17.25;0;0.0;9.75
o;10;27.0;Waber Lorenz;*;14;54.75;9;27.25;-1;0.25;8.5
o;16;35.5;Burger Fredy;*;17;54.0;15;35.75;-1;0.25;8.5
+;19;44.0;Berger Lorenz (1997);;22;52.75;19;44.0;0;0.0;9.75

18f;Kobel Lorenz;;;;;;;;;;53.75
-;;;Niederhäuser Martin;;;;;;;;8.75
o;4;8.75;Roth Dominik;*;8;56.25;5;8.5;1;-0.25;8.5
+;9;17.25;Heeb Thierry;;25;35.25;7;18.25;-2;1.0;9.75
+;10;27.0;Kappeler Niklaus;*;26;35.0;12;26.5;2;-0.5;9.75
o;11;36.75;Reust Markus;*;12;55.25;10;37.0;-1;0.25;8.5
o;14;45.25;von Büren Stephan;*;10;55.75;12;45.75;-2;0.5;8.5

18g;Zaugg Christian;*;;;;;;;;;53.75
-;;;Gnägi Christian;*;;;;;;;8.75
+;4;8.75;Stucki Daniel;;25;35.25;2;9.75;-2;1.0;9.75
o;6;18.5;Glarner Matthias;***;10;55.75;6;18.5;0;0.0;8.5
+;10;27.0;Vonlanthen Cyril;;22;52.75;9;27.25;-1;0.25;9.75
o;11;36.75;Roth Philipp;*;11;55.5;11;36.75;0;0.0;8.5
o;14;45.25;Kropf Thomas;*;11;55.5;13;45.5;-1;0.25;8.5

18h;Aebi Roger;;;;;;;;;;53.75
+;;;Schlüchter Colin (1997);*;;;;;;;9.75
o;2;9.75;Leuenberger Michael 2;**;12;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Stucki Daniel;;25;35.25;7;18.25;0;0.0;9.75
o;6;28.0;Wälchli Roger;*;12;55.25;5;28.25;-1;0.25;8.5
-;12;36.5;Wittwer Josias;*;15;54.5;14;36.0;2;-0.5;8.75
o;14;45.25;Dumelin David;*;13;55.0;14;45.25;0;0.0;8.5

19a;Niederhäuser Martin;;;;;;;;;;53.5
-;;;Kobel Lorenz;;;;;;;;8.75
-;4;8.75;Brunner Marcel;*;15;54.5;4;8.75;0;0.0;8.75
-;8;17.5;Steffen Valentin;;28;34.5;9;17.25;1;-0.25;8.75
+;13;26.25;Habegger Jürg;*;29;34.25;15;25.75;2;-0.5;10.0
o;13;36.25;Michel Jonas;*;13;55.0;12;36.5;-1;0.25;8.75
o;15;45.0;Borcard Johann;**;17;54.0;18;44.25;3;-0.75;8.5

19b;Wälti Christoph;**;;;;;;;;;53.5
-;;;Urfer Simon;*;;;;;;;8.75
+;4;8.75;Freitag Jan;;31;18.25;2;9.75;-2;1.0;10.0
o;5;18.75;Anderegg Simon;***;7;56.5;5;18.75;0;0.0;8.5
-;9;27.25;Wittwer Josias;*;15;54.5;9;27.25;0;0.0;8.75
-;14;36.0;Joss David;;10;55.75;10;37.0;-4;1.0;8.75
-;16;44.75;Schmid Reto;**;15;54.5;12;45.75;-4;1.0;8.75

19c;Ramseier Thomas;;;;;;;;;;53.5
+;;;Charrière Vital;;;;;;;;10.0
o;1;10.0;Gnägi Christian;*;24;35.75;4;8.75;3;-1.25;8.5
-;6;18.5;Klossner Adrian;*;15;54.5;6;18.5;0;0.0;8.75
-;9;27.25;Zehnder Jürg;*;11;55.5;9;27.25;0;0.0;8.75
-;14;36.0;Riesen Julian;;15;54.5;14;36.0;0;0.0;8.75
o;16;44.75;Urfer Simon;*;14;54.75;16;44.75;0;0.0;8.75

20a;Graber Bruno;**;;;;;;;;;53.25
-;;;von Büren Stephan;*;;;;;;;8.75
-;4;8.75;Stämpfli Lorenz;;15;54.5;2;9.75;-2;1.0;8.75
o;8;17.5;Zwyssig Raphael;***;11;55.5;7;18.25;-1;0.75;8.5
+;14;26.0;Steffen Valentin;;28;34.5;14;26.0;0;0.0;9.75
-;15;35.75;Brunner Marcel;*;15;54.5;15;35.75;0;0.0;8.75
-;17;44.5;Kämpf Alexander;**;18;53.75;15;45.0;-2;0.5;8.75

21a;Camenzind Ivan;;;;;;;;;;53.0
-;;;Gerber Fritz;;;;;;;;8.75
o;4;8.75;Bremgartner Marcel;*;16;54.25;5;8.5;1;-0.25;8.5
+;9;17.25;Neukomm Thierry;;28;34.5;8;17.5;-1;0.25;10.0
o;9;27.25;Fankhauser Reto;*;14;54.75;9;27.25;0;0.0;8.75
o;14;36.0;Ramseier Fritz;*;15;54.5;14;36.0;0;0.0;8.5
o;17;44.5;Fankhauser Hans-Jakob;*;17;54.0;18;44.25;1;-0.25;8.5

21b;Zangger Dominik (1997);;;;;;;;;;53.0
-;;;Steffen Valentin;;;;;;;;8.75
-;4;8.75;Gäggeler Adrian;*;16;54.25;5;8.5;1;-0.25;8.75
o;8;17.5;Mosimann Fabian;;16;54.25;9;17.25;1;-0.25;8.5
+;14;26.0;Gehrig Kilian;;28;34.5;14;26.0;0;0.0;10.0
o;14;36.0;Klossner Adrian;*;15;54.5;15;35.75;1;-0.25;8.5
o;17;44.5;Zbinden Reto;*;15;54.5;17;44.5;0;0.0;8.5

21c;Grossen John;;;;;;;;;;53.0
-;;;Neukomm Thierry;;;;;;;;8.75
o;4;8.75;Kestenholz Christian;;17;54.0;2;9.75;-2;1.0;8.5
+;9;17.25;Siegrist Silas;*;25;35.25;10;17.0;1;-0.25;10.0
o;9;27.25;Binggeli Dominik;*;10;55.75;9;27.25;0;0.0;8.5
o;15;35.75;Mosimann Fabian;;16;54.25;15;35.75;0;0.0;8.5
-;18;44.25;Schmid Lars;;22;52.75;19;44.0;1;-0.25;8.75

22a;Krebs Ueli;*;;;;;;;;;52.75
-;;;Lanz Christian;*;;;;;;;8.75
+;4;8.75;Gnägi Damian (1998);;27;34.75;4;8.75;0;0.0;9.75
