4485-2019-07-14_Rigi_Schwinget-ST

1a;von Ah Benji;***;;;;;;;;;58.0
+;4;8.75;Betschart Patrick;*;14;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Schuler Alex;***;30;26.25;9;17.75;4;-1.0;10.0
o;3;28.75;von Ah Benji;***;1;58.0;1;29.75;-2;1.0;8.5
+;7;37.25;Briker Michael;**;15;53.75;9;36.75;2;-0.5;10.0
o;4;47.25;Fankhauser Marco;**;2;57.25;4;47.25;0;0.0;8.5

9a;Hermann Oliver;*;;;;;;;;;55.5
+;;;Egli Damian;**;;;;;;;10.0
-;1;10.0;Schuler Alex;***;30;26.25;4;8.75;3;-1.25;8.75
o;5;18.75;Ulrich Andreas;***;7;56.0;5;18.75;0;0.0;8.5
+;9;27.25;Burch Jonas;*;20;44.75;9;27.25;0;0.0;9.75
o;8;37.0;Ettlin Stefan;**;10;55.0;11;36.25;3;-0.75;8.75
+;10;45.75;Briker Michael;**;15;53.75;12;45.25;2;-0.5;9.75

9b;Suppiger René;***;;;;;;;;;55.5
o;;;Burkhalter Stefan;***;;;;;;;8.5
+;5;8.5;Gwerder Dario;**;9;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Bucher Christian;*;11;54.75;3;19.5;-3;1.0;10.0
o;4;28.5;Schneider Domenic;***;2;57.25;4;28.5;0;0.0;8.5
+;8;37.0;Erb Roger;**;10;55.0;5;38.0;-3;1.0;10.0
o;5;47.0;Kuster Marcel;***;6;56.25;8;46.25;3;-0.75;8.5

9c;Rüegg Fabian;*;;;;;;;;;55.5
o;;;Arnold Stefan;**;;;;;;;8.5
+;5;8.5;Blaser Theo;*;19;52.75;5;8.5;0;0.0;10.0
-;6;18.5;Kenel Franz-Toni;*;16;53.5;5;18.75;-1;0.25;8.75
+;9;27.25;Fankhauser Erich;***;14;54.0;11;26.75;2;-0.5;10.0
+;7;37.25;Höfliger Andreas;**;15;53.75;9;36.75;2;-0.5;9.75
o;5;47.0;Gwerder Michael;**;3;57.0;5;47.0;0;0.0;8.5

9d;Gwerder Dario;**;;;;;;;;;55.5
+;;;Erb Roger;**;;;;;;;9.75
