4669-2019-07-28_Bruenig-Schwinget-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.0
-;8;37.0;Borcard Johann;**;15;54.5;7;37.25;-1;0.25;8.75
-;14;45.75;Matthey Mickaël;**;16;54.25;15;45.5;1;-0.25;9.0

14h;Inniger Thomas;**;;;;;;;;;54.75
o;;;Gwerder Michael;**;;;;;;;8.5
+;5;8.5;Schuler Philipp;**;18;53.75;5;8.5;0;0.0;10.0
-;6;18.5;Fankhauser Marco;**;14;54.75;7;18.25;1;-0.25;9.0
+;9;27.5;Gloggner Reto;**;20;53.25;10;27.25;1;-0.25;10.0
-;6;37.5;Hurschler Thomas;**;14;54.75;6;37.5;0;0.0;8.75
o;12;46.25;Ambühl Joel;**;7;56.75;9;47.0;-3;0.75;8.5

14i;Fankhauser Marco;**;;;;;;;;;54.75
+;;;Gobeli Patrick;**;;;;;;;9.75
o;2;9.75;Glarner Matthias;***;15;54.5;4;8.75;2;-1.0;8.5
-;7;18.25;Inniger Thomas;**;14;54.75;6;18.5;-1;0.25;9.0
+;10;27.25;Siegenthaler Tobias;*;21;53.0;10;27.25;0;0.0;10.0
-;7;37.25;Gnägi Florian;***;14;54.75;7;37.25;0;0.0;8.75
o;13;46.0;Zenger Niklaus;***;9;56.0;13;46.0;0;0.0;8.75

14j;Brun Jonas;**;;;;;;;;;54.75
-;;;Schwander Severin;**;;;;;;;8.75
+;4;8.75;Staub Maël;*;15;54.5;5;8.5;1;-0.25;10.0
o;5;18.75;Schuler Christian;***;6;57.0;4;19.0;-1;0.25;8.5
-;10;27.25;Luginbühl Hanspeter;**;11;55.5;7;28.0;-3;0.75;8.75
+;12;36.0;Ramseier Thomas;*;19;53.5;10;36.5;-2;0.5;10.0
-;13;46.0;Anderegg Simon;***;11;55.5;10;46.75;-3;0.75;8.75

15a;Schwander Severin;**;;;;;;;;;54.5
-;;;Brun Jonas;**;;;;;;;8.75
+;4;8.75;Gasser Stefan;**;14;54.75;4;8.75;0;0.0;10.0
o;5;18.75;Suppiger René;***;6;57.0;5;18.75;0;0.0;8.5
o;10;27.25;Steinauer Adrian;**;16;54.25;9;27.5;-1;0.25;8.5
+;13;35.75;Zimmermann Martin;**;20;53.25;12;36.0;-1;0.25;10.0
-;14;45.75;Doppmann Urs;**;17;54.0;16;45.25;2;-0.5;8.75

15b;Rolli Martin;**;;;;;;;;;54.5
-;;;Kälin Roland;**;;;;;;;8.75
-;4;8.75;Vogel Remo;**;16;54.25;4;8.75;0;0.0;8.75
+;9;17.5;Rapin Florent;*;33;25.75;10;17.25;1;-0.25;10.0
o;9;27.5;Bieri Marcel;**;5;57.25;10;27.25;1;-0.25;8.5
o;12;36.0;Gasser Stefan;**;14;54.75;12;36.0;0;0.0;8.5
+;19;44.5;Bernet Christoph;*;21;53.0;20;44.25;1;-0.25;10.0

15c;Roschi Ruedi;**;;;;;;;;;54.5
-;;;Gloggner Philipp;***;;;;;;;8.75
+;4;8.75;Fink Bruno;*;26;35.5;1;10.0;-3;1.25;10.0
o;5;18.75;Stöckli Damian;*;10;55.75;6;18.5;1;-0.25;8.75
+;9;27.5;Rohrer Ivan;**;19;53.5;10;27.25;1;-0.25;10.0
o;6;37.5;Gwerder Michael;**;6;57.0;3;38.5;-3;1.0;8.5
o;13;46.0;Bieri Marcel;**;5;57.25;8;47.25;-5;1.25;8.5

15d;Staub Maël;*;;;;;;;;;54.5
o;;;Fink Bruno;*;;;;;;;8.5
o;5;8.5;Brun Jonas;**;14;54.75;4;8.75;-1;0.25;8.5
+;11;17.0;Hofer Sven;*;26;35.5;11;17.0;0;0.0;9.75
