3050-2016-06-12_Fete_Romande2-ST

1a;Stucki Christian;***;;;;;;;;;58.75
o;4;28.25;Cardinaux Victor;*;5;56.5;4;28.25;0;0.0;8.5
+;9;36.75;Bersier Jean-Jacques;;9;55.5;8;37.0;-1;0.25;9.75
-;8;46.5;Hayoz Paul (1998);*;9;55.5;7;46.75;-1;0.25;8.75

10e;Rappo Yann (1998);;;;;;;;;;55.25
+;;;Goy Sébastien;;;;;;;;10.0
o;1;10.0;Pouye Diey;*;8;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Jeannin Jess (2000);;16;53.75;6;18.5;0;0.0;9.75
o;4;28.25;Lerch Jimmy;*;8;55.75;7;27.25;3;-1.0;8.5
o;9;36.75;Mollet Adrian;;12;54.75;10;36.5;1;-0.25;8.5
+;13;45.25;Normand Jérémy;;16;53.75;13;45.25;0;0.0;10.0

10f;Taillard Virgile (1998);;;;;;;;;;55.25
+;;;Niederberger Nicola (2000);;;;;;;;10.0
o;1;10.0;Ducry Antoine;*;8;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Pittet Guillaume;;15;54.0;6;18.5;0;0.0;9.75
o;4;28.25;Dousse Michel;*;4;56.75;7;27.25;3;-1.0;8.5
+;9;36.75;Borcard Clovis (1999);;16;53.75;9;36.75;0;0.0;10.0
o;7;46.75;Borcard Johann;**;9;55.5;11;45.75;4;-1.0;8.5

10g;Berset Cyril;*;;;;;;;;;55.25
-;;;Barras David;*;;;;;;;8.75
+;4;8.75;Pürro Tobias;;11;55.0;1;10.0;-3;1.25;9.75
o;6;18.5;Piemontesi Pascal;**;3;57.0;7;18.25;1;-0.25;8.5
+;8;27.0;Crettaz Olivier;;11;55.0;4;28.25;-4;1.25;10.0
o;8;37.0;Dind Samuel;**;10;55.25;9;36.75;1;-0.25;8.5
+;12;45.5;Dufey Gil;;13;54.5;10;46.0;-2;0.5;9.75

10h;Derron Cédric;*;;;;;;;;;55.25
o;;;Glauser Thomas;**;;;;;;;8.5
+;5;8.5;Riedo Fredy;;9;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Lützelschwab Luc (1999);;9;55.5;6;18.5;-1;0.25;10.0
o;4;28.25;Guisolan Marc;**;5;56.5;4;28.25;0;0.0;8.5
o;9;36.75;Thürig Mario;***;5;56.5;9;36.75;0;0.0;8.5
+;13;45.25;Zosso Fabian (1998);;11;55.0;8;46.5;-5;1.25;10.0

11a;Crettaz Olivier;;;;;;;;;;55.0
o;;;Hayoz Quentin;;;;;;;;8.5
+;5;8.5;Grossenbacher Marc (2000);;16;53.75;5;8.5;0;0.0;9.75
+;7;18.25;Quiot Didier;;23;45.25;7;18.25;0;0.0;10.0
o;4;28.25;Berset Cyril;*;10;55.25;8;27.0;4;-1.25;8.5
o;9;36.75;Vonlanthen Alexandre;;11;55.0;9;36.75;0;0.0;8.5
+;13;45.25;Chavagnat Benoît (1999);;16;53.75;13;45.25;0;0.0;9.75

11b;Pürro Tobias;;;;;;;;;;55.0
+;;;Quartenoud Valentin;;;;;;;;10.0
o;1;10.0;Berset Cyril;*;10;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Chavagnat Benoît (1999);;16;53.75;6;18.5;0;0.0;8.5
o;8;27.0;Gottofrey Luc;;12;54.75;7;27.25;-1;0.25;8.5
+;14;35.5;Reichenbach Ryan (1999);;19;52.5;14;35.5;0;0.0;9.75
+;13;45.25;Germanier Joel (2000);;15;54.0;12;45.5;-1;0.25;9.75

11c;Vieux Sylvain;*;;;;;;;;;55.0
o;;;Gassmann Simon;*;;;;;;;8.5
o;5;8.5;Loup Alexandre;;10;55.25;1;10.0;-4;1.5;8.5
+;12;17.0;Buchs Julien (1999);;23;45.25;6;18.5;-6;1.5;9.75
+;9;26.75;Quiot Didier;;23;45.25;9;26.75;0;0.0;9.75
+;10;36.5;Niederberger Nicola (2000);;14;54.25;8;37.0;-2;0.5;10.0
o;8;46.5;Barras David;*;7;56.0;10;46.0;2;-0.5;8.5

11d;Chèvre Bernard;*;;;;;;;;;55.0
o;;;Mauron Olivier;*;;;;;;;8.5
+;5;8.5;Minder Florian;;25;44.5;2;9.75;-3;1.25;9.75
o;7;18.25;Schafer Damien;;9;55.5;6;18.5;-1;0.25;8.5
+;9;26.75;Burri Flemming;;11;55.0;8;27.0;-1;0.25;9.75
o;10;36.5;Brodard Augustin;**;9;55.5;8;37.0;-2;0.5;8.5
+;14;45.0;Fuchs Yannick (1998);;12;54.75;9;46.25;-5;1.25;10.0

11e;Burri Flemming;;;;;;;;;;55.0
o;;;Heiniger Mickaël;;;;;;;;8.5
o;5;8.5;Erb Vincent (1999);;9;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Joliat Léo (1999);;16;53.75;12;17.0;0;0.0;10.0
o;8;27.0;Chèvre Bernard;*;11;55.0;9;26.75;1;-0.25;8.5
+;14;35.5;Sauge Yoann;;19;52.5;14;35.5;0;0.0;9.75
+;13;45.25;Parvex Bryan;;16;53.75;13;45.25;0;0.0;9.75

11f;Vonlanthen Alexandre;;;;;;;;;;55.0
o;;;Derron Julien;;;;;;;;8.5
+;5;8.5;Blanchette Nicolas;;19;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Mauron Olivier;*;9;55.5;6;18.5;0;0.0;8.5
+;8;27.0;Germanier Joel (2000);;15;54.0;8;27.0;0;0.0;9.75
+;9;36.75;Crettaz Olivier;;11;55.0;9;36.75;0;0.0;9.75
o;8;46.5;Schafer Claudio;*;8;55.75;10;46.0;2;-0.5;8.5

11g;Haldi Sami;*;;;;;;;;;55.0
o;;;Hayoz Paul (1998);*;;;;;;;8.5
o;5;8.5;Roch Vincent;*;4;56.75;4;8.75;-1;0.25;8.5
o;12;17.0;Erb Vincent (1999);;9;55.5;6;18.5;-6;1.5;8.5
+;12;25.5;Cottier Marco (2000);;18;52.75;9;26.75;-3;1.25;9.75
+;15;35.25;Curty Alexandre;;15;54.0;14;35.5;-1;0.25;10.0
+;13;45.25;Borcard Clovis (1999);;16;53.75;13;45.25;0;0.0;9.75

11h;Zosso Fabian (1998);;;;;;;;;;55.0
+;;;Germanier Joel (2000);;;;;;;;9.75
+;2;9.75;Borcard Clovis (1999);;16;53.75;2;9.75;0;0.0;10.0
o;2;19.75;Remy Guillaume;**;4;56.75;6;18.5;4;-1.25;8.5
o;4;28.25;Glauser Thomas;**;8;55.75;7;27.25;3;-1.0;8.5
+;9;36.75;Normand Jérémy;;16;53.75;9;36.75;0;0.0;9.75
o;8;46.5;Derron Cédric;*;10;55.25;13;45.25;5;-1.25;8.5

11i;Rüegg Patrick (1999);;;;;;;;;;55.0
+;;;Ruch Florian;;;;;;;;9.75
+;2;9.75;Buchs Julien (1999);;23;45.25;1;10.0;-1;0.25;9.75
o;3;19.5;Haenni Stéphane;**;3;57.0;6;18.5;3;-1.0;8.5
-;5;28.0;Borcard Clovis (1999);;16;53.75;5;28.0;0;0.0;8.75
+;9;36.75;Jeannin Jess (2000);;16;53.75;9;36.75;0;0.0;9.75
o;8;46.5;Pouye Diey;*;8;55.75;11;45.75;3;-0.75;8.5

12a;Mollet Adrian;;;;;;;;;;54.75
+;;;Aladenise Jonathan;;;;;;;;9.75
o;2;9.75;Mosimann Vincent;*;10;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Cottier Marco (2000);;18;52.75;7;18.25;0;0.0;9.75
o;5;28.0;Loup Alexandre;;10;55.25;4;28.25;-1;0.25;8.5
+;10;36.5;Rappo Yann (1998);;10;55.25;9;36.75;-1;0.25;9.75
o;9;46.25;Lerch Jimmy;*;8;55.75;11;45.75;2;-0.5;8.5

12b;Maridor Loic;;;;;;;;;;54.75
+;;;Dormond Noa;;;;;;;;9.75
o;2;9.75;Dousse Michel;*;4;56.75;3;9.0;1;-0.75;8.5
o;7;18.25;Borcard Clovis (1999);;16;53.75;7;18.25;0;0.0;8.5
+;9;26.75;Grossenbacher Marc (2000);;16;53.75;9;26.75;0;0.0;9.75
o;10;36.5;Dufey Gil;;13;54.5;11;36.25;1;-0.25;8.5
+;14;45.0;Cottier Marco (2000);;18;52.75;17;44.25;3;-0.75;9.75

12c;Loup Grégoire (2000);;;;;;;;;;54.75
+;;;Gauch Thierry;;;;;;;;10.0
o;1;10.0;Schwander Severin;*;9;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Sauge Yoann;;19;52.5;6;18.5;0;0.0;10.0
-;3;28.5;Giroud Jonathan;**;27;36.0;7;27.25;4;-1.25;8.75
o;7;37.25;Remy Guillaume;**;4;56.75;8;37.0;1;-0.25;8.5
-;11;45.75;Gottofrey Luc;;12;54.75;11;45.75;0;0.0;9.0

12d;Gottofrey Luc;;;;;;;;;;54.75
-;;;Dubey Gaël;;;;;;;;8.75
+;4;8.75;Zingrich Jan (1999);;16;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Emonet Frédéric;*;9;55.5;6;18.5;1;-0.25;8.5
+;7;27.25;Pürro Tobias;;11;55.0;8;27.0;1;-0.25;10.0
o;7;37.25;Berset Frédéric;**;9;55.5;7;37.25;0;0.0;8.5
-;11;45.75;Loup Grégoire (2000);;12;54.75;11;45.75;0;0.0;9.0

12e;Berset Julien;*;;;;;;;;;54.75
-;;;Borcard Johann;**;;;;;;;9.0
o;3;9.0;Gottofrey Marc;**;9;55.5;5;8.5;2;-0.5;8.5
+;10;17.5;Isoz Bertrand;;14;54.25;6;18.5;-4;1.0;10.0
-;6;27.5;Hayoz Quentin;;8;55.75;4;28.25;-2;0.75;8.75
+;11;36.25;Buchs Julien (1999);;23;45.25;14;35.5;3;-0.75;10.0
o;9;46.25;Thürig Mario;***;5;56.5;8;46.5;-1;0.25;8.5

12f;Ambresin Cyril (1999);;;;;;;;;;54.75
-;;;Portmann Fabio (1998);;;;;;;;9.0
o;3;9.0;Berset Frédéric;**;9;55.5;4;8.75;1;-0.25;8.5
o;10;17.5;Hayoz Quentin;;8;55.75;7;18.25;-3;0.75;8.75
+;11;26.25;Zingrich Jan (1999);;16;53.75;9;26.75;-2;0.5;10.0
+;11;36.25;Heiniger Mickaël;;12;54.75;10;36.5;-1;0.25;10.0
o;9;46.25;Gassmann Simon;*;9;55.5;12;45.5;3;-0.75;8.5

12g;Fuchs Yannick (1998);;;;;;;;;;54.75
+;;;Reichenbach Ryan (1999);;;;;;;;9.75
+;2;9.75;Normand Jérémy;;16;53.75;1;10.0;-1;0.25;9.75
o;3;19.5;Hayoz Paul (1998);*;9;55.5;7;18.25;4;-1.25;8.5
+;5;28.0;Steiner Pirmin (1998);;14;54.25;6;27.5;1;-0.5;9.75
o;5;37.75;Gottofrey Marc;**;9;55.5;8;37.0;3;-0.75;8.5
o;9;46.25;Chèvre Bernard;*;11;55.0;14;45.0;5;-1.25;8.5

12h;Jacquier Pascal;;;;;;;;;;54.75
-;;;Bersier Jean-Jacques;;;;;;;;8.75
-;4;8.75;Dubey Gaël;;9;55.5;4;8.75;0;0.0;8.75
+;10;17.5;Gauch Thierry;;15;54.0;12;17.0;2;-0.5;10.0
o;6;27.5;Morger Adrian;*;10;55.25;8;27.0;2;-0.5;8.5
+;12;36.0;Buchs Remo (1999);;19;52.5;14;35.5;2;-0.5;10.0
-;10;46.0;Minder Florian;;25;44.5;16;44.5;6;-1.5;8.75

12i;Heiniger Mickaël;;;;;;;;;;54.75
+;;;Burri Flemming;;;;;;;;9.75
o;2;9.75;Schöpfer Dio;;4;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Zingrich Jan (1999);;16;53.75;7;18.25;0;0.0;9.75
o;5;28.0;Barras André;*;22;45.75;7;27.25;2;-0.75;8.5
o;10;36.5;Ambresin Cyril (1999);;12;54.75;11;36.25;1;-0.25;8.5
+;14;45.0;Blanchette Nicolas;;19;52.5;18;44.0;4;-1.0;9.75

13a;Dufey Gil;;;;;;;;;;54.5
-;;;Barras André;*;;;;;;;8.75
-;4;8.75;Portmann Fabio (1998);;28;35.75;3;9.0;-1;0.25;9.0
+;9;17.75;Aladenise Jonathan;;9;55.5;6;18.5;-3;0.75;9.75
-;6;27.5;Pharisa Loic;;15;54.0;4;28.25;-2;0.75;8.75
+;11;36.25;Maridor Loic;;12;54.75;10;36.5;-1;0.25;9.75
o;10;46.0;Berset Cyril;*;10;55.25;12;45.5;2;-0.5;8.5

14a;Niederberger Nicola (2000);;;;;;;;;;54.25
o;;;Taillard Virgile (1998);;;;;;;;8.5
+;5;8.5;Z'Rotz Elias (2000);;15;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Droxler Jonathan;*;4;56.75;7;18.25;1;-0.25;8.5
+;8;27.0;Parvex Bryan;;16;53.75;9;26.75;1;-0.25;10.0
o;8;37.0;Vieux Sylvain;*;11;55.0;10;36.5;2;-0.5;8.75
o;11;45.75;Isoz Bertrand;;14;54.25;12;45.5;1;-0.25;8.5

14b;Overney Olivier;*;;;;;;;;;54.25
+;;;Schwander Severin;*;;;;;;;9.75
-;2;9.75;Dind Samuel;**;10;55.25;5;8.5;3;-1.25;8.75
-;6;18.5;Parvex Yannick;;9;55.5;6;18.5;0;0.0;8.75
+;7;27.25;Barras François (1998);;23;45.25;4;28.25;-3;1.0;10.0
o;7;37.25;Steinauer Adrian;**;4;56.75;8;37.0;1;-0.25;8.5
o;11;45.75;Emonet Fabien;;4;56.75;7;46.75;-4;1.0;8.5

14c;Isoz Bertrand;;;;;;;;;;54.25
o;;;Barras François (1998);;;;;;;;8.5
+;5;8.5;Joliat Léo (1999);;16;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Berset Julien;*;12;54.75;10;17.5;4;-1.0;8.5
+;8;27.0;Michaud Steeve (1999);;19;52.5;8;27.0;0;0.0;10.0
o;8;37.0;Ruch Florian;;9;55.5;8;37.0;0;0.0;8.5
o;12;45.5;Buchs Julien (1999);;23;45.25;13;45.25;1;-0.25;8.5
+;15;54.0;Niederberger Nicola (2000);;14;54.25;14;54.25;-1;0.25;0.25

14d;Steiner Pirmin (1998);;;;;;;;;;54.25
+;;;Grossenbacher Marc (2000);;;;;;;;10.0
-;1;10.0;Portmann Fabio (1998);;28;35.75;3;9.0;2;-1.0;9.0
o;4;19.0;Gassmann Simon;*;9;55.5;6;18.5;2;-0.5;8.5
o;6;27.5;Fuchs Yannick (1998);;12;54.75;5;28.0;-1;0.5;8.5
+;12;36.0;Michaud Steeve (1999);;19;52.5;14;35.5;2;-0.5;9.75
o;11;45.75;Dubey Gaël;;9;55.5;11;45.75;0;0.0;8.5

15a;Germanier Joel (2000);;;;;;;;;;54.0
o;;;Zosso Fabian (1998);;;;;;;;8.5
+;5;8.5;Gétaz Antoine (1999);;20;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Barras André;*;22;45.75;11;17.25;5;-1.25;8.5
o;8;27.0;Vonlanthen Alexandre;;11;55.0;8;27.0;0;0.0;8.5
+;14;35.5;Quartenoud Valentin;;16;53.75;14;35.5;0;0.0;10.0
o;12;45.5;Pürro Tobias;;11;55.0;13;45.25;1;-0.25;8.5

15b;Gauch Thierry;;;;;;;;;;54.0
o;;;Loup Grégoire (2000);;;;;;;;8.5
o;5;8.5;Torche Bastian;;21;46.75;1;10.0;-4;1.5;8.5
o;12;17.0;Jacquier Pascal;;12;54.75;10;17.5;-2;0.5;8.5
+;12;25.5;Roux Dimitri;;17;53.5;12;25.5;0;0.0;9.75
-;15;35.25;Blanchette Nicolas;;19;52.5;15;35.25;0;0.0;8.75
+;18;44.0;Sauge Yoann;;19;52.5;18;44.0;0;0.0;10.0

15c;Curty Alexandre;;;;;;;;;;54.0
o;;;Riedo Fredy;;;;;;;;8.5
o;5;8.5;Dormond Noa;;29;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Burgy Frank;;28;35.75;12;17.0;0;0.0;8.5
+;12;25.5;François Théo (2000);;20;51.0;12;25.5;0;0.0;10.0
o;14;35.5;Haldi Sami;*;11;55.0;15;35.25;1;-0.25;8.5
+;18;44.0;Dupertuis Michel (2000);;20;51.0;20;42.5;2;-1.5;10.0

15d;Vonlanthen Marc;;;;;;;;;;54.0
o;;;Golliard Steve;;;;;;;;8.5
+;5;8.5;Reichenbach Ryan (1999);;19;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Cropt Harald;**;7;56.0;11;17.25;5;-1.25;8.5
o;8;27.0;Parvex Yannick;;9;55.5;7;27.25;-1;0.25;8.5
+;14;35.5;Daves Alexis;;26;44.0;14;35.5;0;0.0;10.0
o;12;45.5;Schafer Damien;;9;55.5;12;45.5;0;0.0;8.5

15e;Pharisa Loic;;;;;;;;;;54.0
+;;;Sauge Yoann;;;;;;;;9.75
o;2;9.75;Schafer Claudio;*;8;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Parvex Bryan;;16;53.75;7;18.25;0;0.0;10.0
-;4;28.25;Dufey Gil;;13;54.5;6;27.5;2;-0.75;8.75
o;8;37.0;Zimmermann Mario;*;24;44.75;11;36.25;3;-0.75;8.5
o;12;45.5;Parvex Yannick;;9;55.5;12;45.5;0;0.0;8.5

15f;Pittet Guillaume;;;;;;;;;;54.0
+;;;Daves Alexis;;;;;;;;10.0
o;1;10.0;Brodard Augustin;**;9;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Taillard Virgile (1998);;10;55.25;6;18.5;0;0.0;8.5
o;8;27.0;Normand Jérémy;;16;53.75;8;27.0;0;0.0;8.5
+;14;35.5;Z'Rotz Elias (2000);;15;54.0;14;35.5;0;0.0;10.0
o;12;45.5;Erb Vincent (1999);;9;55.5;12;45.5;0;0.0;8.5

15g;Z'Rotz Elias (2000);;;;;;;;;;54.0
o;;;Cottier Marco (2000);;;;;;;;8.5
o;5;8.5;Niederberger Nicola (2000);;14;54.25;5;8.5;0;0.0;8.5
+;12;17.0;Gétaz Antoine (1999);;20;51.0;12;17.0;0;0.0;10.0
o;8;27.0;Aladenise Jonathan;;9;55.5;8;27.0;0;0.0;8.5
o;14;35.5;Pittet Guillaume;;15;54.0;14;35.5;0;0.0;8.5
+;18;44.0;François Théo (2000);;20;51.0;20;42.5;2;-1.5;10.0

16a;Jeannin Jess (2000);;;;;;;;;;53.75
o;;;Zingrich Jan (1999);;;;;;;;8.5
+;5;8.5;Dupertuis Michel (2000);;20;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Rappo Yann (1998);;10;55.25;6;18.5;0;0.0;8.5
+;8;27.0;Sauge Yoann;;19;52.5;8;27.0;0;0.0;9.75
o;9;36.75;Rüegg Patrick (1999);;11;55.0;9;36.75;0;0.0;8.5
o;13;45.25;Bersier Jean-Jacques;;9;55.5;12;45.5;-1;0.25;8.5

16b;Zingrich Jan (1999);;;;;;;;;;53.75
+;;;Jeannin Jess (2000);;;;;;;;9.75
o;2;9.75;Gottofrey Luc;;12;54.75;4;8.75;2;-1.0;8.5
o;7;18.25;Heiniger Mickaël;;12;54.75;7;18.25;0;0.0;8.5
o;9;26.75;Ambresin Cyril (1999);;12;54.75;11;26.25;2;-0.5;8.5
+;15;35.25;Gétaz Antoine (1999);;20;51.0;16;34.0;1;-1.25;10.0
o;13;45.25;Torche Bastian;;21;46.75;7;46.75;-6;1.5;8.5

16c;Grossenbacher Marc (2000);;;;;;;;;;53.75
o;;;Steiner Pirmin (1998);;;;;;;;8.5
+;5;8.5;Quartenoud Valentin;;16;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Crettaz Olivier;;11;55.0;7;18.25;0;0.0;8.5
o;9;26.75;Maridor Loic;;12;54.75;9;26.75;0;0.0;8.5
+;15;35.25;Goy Sébastien;;20;51.0;16;34.0;1;-1.25;10.0
o;13;45.25;Riedo Fredy;;9;55.5;12;45.5;-1;0.25;8.5

16d;Borcard Clovis (1999);;;;;;;;;;53.75
+;;;Roux Dimitri;;;;;;;;9.75
o;2;9.75;Zosso Fabian (1998);;11;55.0;2;9.75;0;0.0;8.5
+;7;18.25;Maridor Loic;;12;54.75;7;18.25;0;0.0;9.75
-;5;28.0;Rüegg Patrick (1999);;11;55.0;5;28.0;0;0.0;8.75
o;9;36.75;Taillard Virgile (1998);;10;55.25;9;36.75;0;0.0;8.5
o;13;45.25;Haldi Sami;*;11;55.0;13;45.25;0;0.0;8.5

16e;Normand Jérémy;;;;;;;;;;53.75
+;;;Buchs Remo (1999);;;;;;;;10.0
o;1;10.0;Fuchs Yannick (1998);;12;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Emonet Fabien;;4;56.75;7;18.25;1;-0.25;8.5
+;8;27.0;Pittet Guillaume;;15;54.0;8;27.0;0;0.0;9.75
o;9;36.75;Zosso Fabian (1998);;11;55.0;9;36.75;0;0.0;8.5
o;13;45.25;Rappo Yann (1998);;10;55.25;13;45.25;0;0.0;8.5

16f;Joliat Léo (1999);;;;;;;;;;53.75
o;;;Buchs Julien (1999);;;;;;;;8.5
o;5;8.5;Isoz Bertrand;;14;54.25;5;8.5;0;0.0;8.5
o;12;17.0;Burri Flemming;;11;55.0;12;17.0;0;0.0;8.5
+;12;25.5;Goy Sébastien;;20;51.0;12;25.5;0;0.0;9.75
-;15;35.25;Cottier Marco (2000);;18;52.75;15;35.25;0;0.0;8.75
+;18;44.0;Michaud Steeve (1999);;19;52.5;18;44.0;0;0.0;9.75

16g;Quartenoud Valentin;;;;;;;;;;53.75
o;;;Pürro Tobias;;;;;;;;8.5
o;5;8.5;Grossenbacher Marc (2000);;16;53.75;5;8.5;0;0.0;8.5
+;12;17.0;Reichenbach Ryan (1999);;19;52.5;12;17.0;0;0.0;10.0
o;8;27.0;Ruch Florian;;9;55.5;8;27.0;0;0.0;8.5
o;14;35.5;Germanier Joel (2000);;15;54.0;14;35.5;0;0.0;8.5
+;18;44.0;Buchs Remo (1999);;19;52.5;18;44.0;0;0.0;9.75

16h;Chavagnat Benoît (1999);;;;;;;;;;53.75
+;;;Gétaz Antoine (1999);;;;;;;;10.0
o;1;10.0;Lerch Jimmy;*;8;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Pürro Tobias;;11;55.0;6;18.5;0;0.0;9.75
o;4;28.25;Schafer Claudio;*;8;55.75;6;27.5;2;-0.75;8.5
o;9;36.75;Lützelschwab Luc (1999);;9;55.5;8;37.0;-1;0.25;8.5
o;13;45.25;Crettaz Olivier;;11;55.0;13;45.25;0;0.0;8.5

16i;Parvex Bryan;;;;;;;;;;53.75
o;;;Loup Alexandre;;;;;;;;8.5
+;5;8.5;Daves Alexis;;26;44.0;5;8.5;0;0.0;9.75
o;7;18.25;Pharisa Loic;;15;54.0;7;18.25;0;0.0;8.5
o;9;26.75;Niederberger Nicola (2000);;14;54.25;8;27.0;-1;0.25;8.5
+;15;35.25;François Théo (2000);;20;51.0;16;34.0;1;-1.25;10.0
o;13;45.25;Burri Flemming;;11;55.0;13;45.25;0;0.0;8.5

17a;Osmodin Emmanuel;;;;;;;;;;53.5
+;;;Torche Bastian;;;;;;;;9.75
o;2;9.75;Zimmermann Mario;*;24;44.75;4;8.75;2;-1.0;8.5
o;7;18.25;Minder Florian;;25;44.5;7;18.25;0;0.0;8.5
o;9;26.75;Buchs Julien (1999);;23;45.25;8;27.0;-1;0.25;8.5
+;15;35.25;Quiot Didier;;23;45.25;15;35.25;0;0.0;9.75
o;14;45.0;Golliard Steve;;23;45.25;13;45.25;-1;0.25;8.5

17b;Roux Dimitri;;;;;;;;;;53.5
o;;;Borcard Clovis (1999);;;;;;;;8.5
o;5;8.5;Aladenise Jonathan;;9;55.5;5;8.5;0;0.0;8.5
o;12;17.0;Blanchette Nicolas;;19;52.5;12;17.0;0;0.0;8.5
o;12;25.5;Gauch Thierry;;15;54.0;12;25.5;0;0.0;8.5
+;16;34.0;Dupertuis Michel (2000);;20;51.0;16;34.0;0;0.0;9.75
+;19;43.75;Gétaz Antoine (1999);;20;51.0;20;42.5;1;-1.25;9.75

18a;Cottier Marco (2000);;;;;;;;;;52.75
+;;;Z'Rotz Elias (2000);;;;;;;;9.75
o;2;9.75;Barras François (1998);;23;45.25;2;9.75;0;0.0;8.5
o;7;18.25;Mollet Adrian;;12;54.75;7;18.25;0;0.0;8.5
o;9;26.75;Haldi Sami;*;11;55.0;12;25.5;3;-1.25;8.5
-;15;35.25;Joliat Léo (1999);;16;53.75;15;35.25;0;0.0;9.0
o;17;44.25;Maridor Loic;;12;54.75;14;45.0;-3;0.75;8.5

19a;Blanchette Nicolas;;;;;;;;;;52.5
o;;;Quiot Didier;;;;;;;;8.5
o;5;8.5;Vonlanthen Alexandre;;11;55.0;5;8.5;0;0.0;8.5
+;12;17.0;Roux Dimitri;;17;53.5;12;17.0;0;0.0;9.75
o;9;26.75;Bersier Jean-Jacques;;9;55.5;8;27.0;-1;0.25;8.5
-;15;35.25;Gauch Thierry;;15;54.0;15;35.25;0;0.0;8.75
o;18;44.0;Heiniger Mickaël;;12;54.75;14;45.0;-4;1.0;8.5

19b;Michaud Steeve (1999);;;;;;;;;;52.5
+;;;Dupertuis Michel (2000);;;;;;;;10.0
o;1;10.0;Borcard Johann;**;9;55.5;3;9.0;2;-1.0;8.5
o;6;18.5;Torche Bastian;;21;46.75;2;19.75;-4;1.25;8.5
o;8;27.0;Isoz Bertrand;;14;54.25;8;27.0;0;0.0;8.5
o;14;35.5;Steiner Pirmin (1998);;14;54.25;12;36.0;-2;0.5;8.5
o;18;44.0;Joliat Léo (1999);;16;53.75;18;44.0;0;0.0;8.5

19c;Sauge Yoann;;;;;;;;;;52.5
o;;;Pharisa Loic;;;;;;;;8.5
+;5;8.5;Buchs Remo (1999);;19;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Loup Grégoire (2000);;12;54.75;6;18.5;0;0.0;8.5
o;8;27.0;Jeannin Jess (2000);;16;53.75;8;27.0;0;0.0;8.5
o;14;35.5;Burri Flemming;;11;55.0;14;35.5;0;0.0;8.5
o;18;44.0;Gauch Thierry;;15;54.0;18;44.0;0;0.0;8.5

19d;Reichenbach Ryan (1999);;;;;;;;;;52.5
o;;;Fuchs Yannick (1998);;;;;;;;8.5
o;5;8.5;Vonlanthen Marc;;15;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Quartenoud Valentin;;16;53.75;12;17.0;0;0.0;8.5
+;12;25.5;Gétaz Antoine (1999);;20;51.0;12;25.5;0;0.0;10.0
o;14;35.5;Pürro Tobias;;11;55.0;14;35.5;0;0.0;8.5
o;18;44.0;Aladenise Jonathan;;9;55.5;12;45.5;-6;1.5;8.5

19e;Buchs Remo (1999);;;;;;;;;;52.5
o;;;Normand Jérémy;;;;;;;;8.5
o;5;8.5;Sauge Yoann;;19;52.5;5;8.5;0;0.0;8.5
o;12;17.0;Daves Alexis;;26;44.0;12;17.0;0;0.0;8.5
+;12;25.5;Dupertuis Michel (2000);;20;51.0;12;25.5;0;0.0;10.0
o;14;35.5;Jacquier Pascal;;12;54.75;12;36.0;-2;0.5;8.5
o;18;44.0;Quartenoud Valentin;;16;53.75;18;44.0;0;0.0;8.5

20a;Dupertuis Michel (2000);;;;;;;;;;51.0
o;;;Michaud Steeve (1999);;;;;;;;8.5
o;5;8.5;Jeannin Jess (2000);;16;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Parvex Yannick;;9;55.5;6;18.5;-6;1.5;8.5
o;12;25.5;Buchs Remo (1999);;19;52.5;12;25.5;0;0.0;8.5
o;16;34.0;Roux Dimitri;;17;53.5;16;34.0;0;0.0;8.5
o;20;42.5;Curty Alexandre;;15;54.0;18;44.0;-2;1.5;8.5

20b;Gétaz Antoine (1999);;;;;;;;;;51.0
o;;;Chavagnat Benoît (1999);;;;;;;;8.5
o;5;8.5;Germanier Joel (2000);;15;54.0;5;8.5;0;0.0;8.5
