4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
o;4;9.75;Fankhauser Erich;***;5;58.0;7;8.5;3;-1.25;8.5
+;9;18.25;Kaufmann Reto (2002);;14;55.5;7;18.75;-2;0.5;9.75
-;10;28.0;Achermann Simon;;13;55.75;8;28.5;-2;0.5;8.75
+;13;36.75;Graber Michael;*;12;56.0;11;37.25;-2;0.5;9.75
+;12;46.5;Portmann Roger;;16;55.0;12;46.5;0;0.0;9.75

11c;Schmid Simon (2000);*;;;;;;;;;56.25
-;;;Herger Lukas;*;;;;;;;8.75
+;6;8.75;Zimmermann Daniel;*;18;54.5;6;8.75;0;0.0;10.0
-;7;18.75;Michel Jonas;*;9;56.75;4;19.75;-3;1.0;8.75
+;12;27.5;Ziegler Elias;;17;54.75;10;28.0;-2;0.5;9.75
+;11;37.25;Heiniger Luca;;18;54.5;11;37.25;0;0.0;10.0
-;9;47.25;Blaser Roman;*;12;56.0;10;47.0;1;-0.25;9.0

11d;Rohrer Ueli;*;;;;;;;;;56.25
+;;;Müller Roger;*;;;;;;;9.75
o;4;9.75;Vogel Remo;**;10;56.5;3;10.0;-1;0.25;8.75
+;8;18.5;Bieri Elias;;19;54.25;4;19.75;-4;1.25;10.0
+;8;28.5;Thierstein Marco;*;8;57.0;9;28.25;1;-0.25;9.75
-;7;38.25;Zurﬂuh Roman;**;10;56.5;9;37.75;2;-0.5;9.0
-;9;47.25;Zürcher Ueli (2000);;12;56.0;10;47.0;1;-0.25;9.0

12a;Doppmann Urs;*;;;;;;;;;56.0
-;;;Zimmermann Martin;**;;;;;;;8.75
-;6;8.75;Bürgi Reto;*;33;35.25;6;8.75;0;0.0;8.75
+;11;17.5;Ming Christian 2;;14;55.5;8;18.5;-3;1.0;10.0
+;12;27.5;Lang Julian;;14;55.5;9;28.25;-3;0.75;9.75
+;11;37.25;Gäggeler Adrian;*;13;55.75;11;37.25;0;0.0;10.0
-;9;47.25;Suppiger Thomas;*;16;55.0;13;46.25;4;-1.0;8.75

12b;Widmer Adrian;*;;;;;;;;;56.0
+;;;Bürgler Lukas;*;;;;;;;10.0
-;3;10.0;Kälin Roland;**;8;57.0;4;9.75;1;-0.25;8.75
+;7;18.75;Bucher Sandro (2000);;29;45.0;5;19.5;-2;0.75;10.0
o;7;28.75;Bieri Marcel;**;6;57.75;5;29.5;-2;0.75;8.75
+;10;37.5;Doppmann Ueli;;18;54.5;10;37.5;0;0.0;9.75
-;9;47.25;Beffa Mario;;15;55.25;12;46.5;3;-0.75;8.75

12c;Bühler Kilian (2000);;;;;;;;;;56.0
+;;;Leisibach Gian (2002);;;;;;;;10.0
-;3;10.0;Fankhauser Reto;*;1;111.25;1;18.75;-2;8.75;9.0
o;6;19.0;Wyrsch Marco;**;8;57.0;8;18.5;2;-0.5;8.5
+;12;27.5;Bucheli Dario (2001);;19;54.25;13;27.25;1;-0.25;10.0
o;10;37.5;Wyss Kilian;**;15;55.25;13;36.75;3;-0.75;8.5
+;14;46.0;Rohrer André;;19;54.25;15;45.75;1;-0.25;10.0

12d;Schürpf Bruno;*;;;;;;;;;56.0
+;;;Gerber Peter;*;;;;;;;10.0
o;3;10.0;Müller Michael;**;10;56.5;6;8.75;3;-1.25;8.5
+;8;18.5;Bühler Patrice;;16;55.0;6;19.0;-2;0.5;9.75
-;9;28.25;Muff André;*;7;57.25;8;28.5;-1;0.25;8.75
+;12;37.0;Vogel Marcel;;14;55.5;12;37.0;0;0.0;10.0
-;10;47.0;Bättig Martin;*;12;56.0;10;47.0;0;0.0;9.0

12e;Blaser Roman;*;;;;;;;;;56.0
+;;;Wyrsch Silvio;*;;;;;;;9.75
o;4;9.75;Wicki Joel;**;3;59.25;4;9.75;0;0.0;8.5
+;9;18.25;Ziegler Dominik;;25;52.75;7;18.75;-2;0.5;9.75
+;10;28.0;Zürcher Ueli (2000);;12;56.0;8;28.5;-2;0.5;10.0
-;8;38.0;Heiniger Marco;*;9;56.75;7;38.25;-1;0.25;9.0
-;10;47.0;Schmid Simon (2000);*;11;56.25;9;47.25;-1;0.25;9.0

12f;Zurﬂuh Michael;*;;;;;;;;;56.0
+;;;Kammermann Thomas;*;;;;;;;9.75
o;4;9.75;Gloggner Reto;**;8;57.0;4;9.75;0;0.0;8.5
