4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
-;6;8.75;Hodel Michael (2000);;19;54.25;7;8.5;1;-0.25;8.75
+;11;17.5;Fischer Maurus (2001);;39;25.75;12;17.25;1;-0.25;9.75
o;13;27.25;Zgraggen Peter;;16;55.0;14;27.0;1;-0.25;8.5
+;17;35.75;Gloggner André (2001);;25;52.75;17;35.75;0;0.0;9.75
o;16;45.5;Giger Janik (2002);;14;55.5;16;45.5;0;0.0;8.5

20e;Vogel Laurin (2002);;;;;;;;;;54.0
-;;;Aregger Fabian (2001);;;;;;;;8.75
+;6;8.75;Zimmermann Raffael (2000);;18;54.5;7;8.5;1;-0.25;10.0
o;7;18.75;Keller Janik;*;31;36.0;10;17.75;3;-1.0;8.5
o;13;27.25;Moos Christoph;*;15;55.25;14;27.0;1;-0.25;8.5
+;17;35.75;Hodel Michael (2000);;19;54.25;17;35.75;0;0.0;9.75
o;16;45.5;Huser Christian (2000);;16;55.0;18;45.0;2;-0.5;8.5

20f;Odermatt Andreas;;;;;;;;;;54.0
-;;;Suter Raphael (2000);;;;;;;;8.75
o;6;8.75;Widmer Simon;;18;54.5;7;8.5;1;-0.25;8.5
+;12;17.25;Troxler Silvan (2002);;32;35.5;13;17.0;1;-0.25;10.0
+;13;27.25;Fässler Dominic;**;34;34.75;18;26.0;5;-1.25;9.75
o;12;37.0;Ottiger Lukas;;14;55.5;11;37.25;-1;0.25;8.5
o;16;45.5;Huber Alex;*;13;55.75;15;45.75;-1;0.25;8.5

20g;Schwyzer Samuel (2001);;;;;;;;;;54.0
o;;;Ziegler Elias;;;;;;;;8.5
-;7;8.5;Wicki Patrick;;24;53.0;7;8.5;0;0.0;8.75
+;12;17.25;Krummenacher Fabian;;32;35.5;12;17.25;0;0.0;9.75
+;14;27.0;Steinger Nico (2001);;33;35.25;15;26.75;1;-0.25;10.0
o;12;37.0;Bucher Christian;*;14;55.5;16;36.0;4;-1.0;8.5
o;16;45.5;Murpf Dario;;15;55.25;17;45.25;1;-0.25;8.5

20h;Egli Adrian (2002);;;;;;;;;;54.0
o;;;Wüest David (2000);;;;;;;;8.5
o;7;8.5;Bühler Patrice;;16;55.0;5;9.0;-2;0.5;8.5
+;13;17.0;Schmid Joel;;35;34.5;12;17.25;-1;0.25;9.75
+;15;26.75;Gwerder Beni;;32;35.5;14;27.0;-1;0.25;10.0
-;13;36.75;Rohrer André;;19;54.25;12;37.0;-1;0.25;8.75
o;16;45.5;Zgraggen Peter;;16;55.0;17;45.25;1;-0.25;8.5

20i;Aregger Fabian (2001);;;;;;;;;;54.0
-;;;Vogel Laurin (2002);;;;;;;;8.75
+;6;8.75;Von Euw Adi;;23;53.25;7;8.5;1;-0.25;9.75
o;8;18.5;Fankhauser Reto;*;1;111.25;2;36.75;-6;18.25;8.5
+;14;27.0;Wicki Fabian (2001);;32;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Gloggner Reto;**;8;57.0;12;37.0;0;0.0;8.5
o;16;45.5;Zimmermann Raffael (2000);;18;54.5;19;44.75;3;-0.75;8.5

20j;Egli Christian (2000);;;;;;;;;;54.0
+;;;Felder Dominik (2001);;;;;;;;9.75
o;4;9.75;Bieri Elias;;19;54.25;3;10.0;-1;0.25;8.5
o;9;18.25;Bürgler Lukas;*;38;26.75;13;17.0;4;-1.25;8.5
+;15;26.75;Ulrich Damian;;33;35.25;15;26.75;0;0.0;10.0
-;13;36.75;Suter Samuel;;14;55.5;12;37.0;-1;0.25;8.75
o;16;45.5;Achermann Simon;;13;55.75;15;45.75;-1;0.25;8.5

21a;Kottmann Jonas (2000);;;;;;;;;;53.75
o;;;Bienz Romeo;;;;;;;;8.5
o;7;8.5;Gander Michael;;15;55.25;6;8.75;-1;0.25;8.5
+;13;17.0;Schumacher Ramon (2002);;37;34.0;13;17.0;0;0.0;9.75
+;15;26.75;Wicki David (2002);;33;35.25;15;26.75;0;0.0;10.0
o;13;36.75;Arnold Andreas;*;17;54.75;16;36.0;3;-0.75;8.5
o;17;45.25;Huser Tobias (2002);;17;54.75;18;45.0;1;-0.25;8.5

21b;Bussmann Martin;;;;;;;;;;53.75
o;;;Birchler Fabian (2000);;;;;;;;8.5
o;7;8.5;Klauser Nico;;16;55.0;6;8.75;-1;0.25;8.5
+;13;17.0;Achermann Patrick (2000);;33;35.25;13;17.0;0;0.0;10.0
+;14;27.0;Vogel Ivo (2001);;33;35.25;15;26.75;1;-0.25;9.75
o;13;36.75;Wyrsch Silvio;*;18;54.5;17;35.75;4;-1.0;8.5
o;17;45.25;Odermatt Christian;**;13;55.75;15;45.75;-2;0.5;8.5

21c;Zwyer Simon;;;;;;;;;;53.75
+;;;Huser Christian (2000);;;;;;;;9.75
+;4;9.75;Wicki Fabian (2001);;32;35.5;3;10.0;-1;0.25;10.0
o;4;19.75;Schnider Markus;*;19;54.25;8;18.5;4;-1.25;8.5
o;9;28.25;Villiger Cyrill;*;28;46.0;11;27.75;2;-0.5;8.5
o;13;36.75;Fellmann Simon;;15;55.25;13;36.75;0;0.0;8.5
o;17;45.25;Suter Samuel;;14;55.5;15;45.75;-2;0.5;8.5

21d;Kammermann Dominik;;;;;;;;;;53.75
+;;;Kempf Damian;;;;;;;;10.0
o;3;10.0;Fellmann Roman;*;7;57.25;7;8.5;4;-1.5;8.5
-;8;18.5;Rüttimann Daniel;;18;54.5;8;18.5;0;0.0;8.75
o;13;27.25;Gander Michael;;15;55.25;13;27.25;0;0.0;8.75
-;16;36.0;Elmiger Matthias;;18;54.5;16;36.0;0;0.0;8.75
-;19;44.75;Birchler Fabian (2000);;21;53.75;19;44.75;0;0.0;9.0

21e;Amrein Lukas;;;;;;;;;;53.75
+;;;Rust Silvio (2001);;;;;;;;9.75
o;4;9.75;Schuler Koni;;20;54.0;3;10.0;-1;0.25;8.5
o;9;18.25;Scherrer Fabian (2002);;16;55.0;9;18.25;0;0.0;8.5
+;15;26.75;Häller Nick (2002);;32;35.5;14;27.0;-1;0.25;10.0
o;13;36.75;Amgarten Roman;*;17;54.75;14;36.5;1;-0.25;8.5
o;17;45.25;Ziegler Manuel;;16;55.0;17;45.25;0;0.0;8.5

21f;Birchler Fabian (2000);;;;;;;;;;53.75
+;;;Bussmann Martin;;;;;;;;10.0
-;3;10.0;Wandeler Roman (2002);;18;54.5;4;9.75;1;-0.25;8.75
o;7;18.75;Achermann Christoph;*;15;55.25;9;18.25;2;-0.5;8.5
-;13;27.25;Amrein Thomas;;22;53.5;13;27.25;0;0.0;8.75
-;16;36.0;Wicki Patrick;;24;53.0;17;35.75;1;-0.25;8.75
-;19;44.75;Kammermann Dominik;;21;53.75;19;44.75;0;0.0;9.0

21g;Kammermann Thomas;*;;;;;;;;;53.75
o;;;Zurﬂuh Michael;*;;;;;;;8.75
-;6;8.75;Durrer Nando;*;17;54.75;6;8.75;0;0.0;8.75
-;11;17.5;Durrer Ueli;;18;54.5;8;18.5;-3;1.0;8.75
+;17;26.25;Von Euw Adi;;23;53.25;13;27.25;-4;1.0;10.0
-;15;36.25;Zanini David (2000);;19;54.25;12;37.0;-3;0.75;8.75
-;18;45.0;Hurschler Adrian;;18;54.5;15;45.75;-3;0.75;8.75

21h;Lampart Valentin (2000);;;;;;;;;;53.75
+;;;Hurni Florian (2002);;;;;;;;9.75
o;4;9.75;Bucher Roland;*;27;46.75;7;8.5;3;-1.25;8.5
o;9;18.25;Müller Roger;*;14;55.5;13;17.0;4;-1.25;8.5
+;15;26.75;Kunz Gian Luca (2001);;32;35.5;14;27.0;-1;0.25;10.0
o;13;36.75;Wigger Simon;;15;55.25;13;36.75;0;0.0;8.5
o;17;45.25;Achermann Christian (2002);;15;55.25;17;45.25;0;0.0;8.5

22a;Amrein Thomas;;;;;;;;;;53.5
o;;;Gisler Jonas (2001);;;;;;;;8.75
+;6;8.75;Meier Andreas;;40;17.5;5;9.0;-1;0.25;10.0
o;7;18.75;Steinauer Adrian;**;9;56.75;9;18.25;2;-0.5;8.5
-;13;27.25;Birchler Fabian (2000);;21;53.75;13;27.25;0;0.0;8.75
o;16;36.0;Hodel Martin;;18;54.5;16;36.0;0;0.0;8.5
-;20;44.5;Von Euw Adi;;23;53.25;21;44.25;1;-0.25;9.0

22b;Waser David (2002);;;;;;;;;;53.5
o;;;Heiniger Luca;;;;;;;;8.5
o;7;8.5;Fischer Markus (2000);;20;54.0;7;8.5;0;0.0;8.5
+;13;17.0;Blattmann Philipp (2000);;24;53.0;12;17.25;-1;0.25;9.75
+;15;26.75;Lischer Daniel;;33;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Zumstein Patrick;;27;46.75;13;36.75;-1;0.25;8.5
o;18;45.0;Klauser Nico;;16;55.0;17;45.25;-1;0.25;8.5

22c;Burri Ueli;;;;;;;;;;53.5
+;;;Hodel Iwan (2002);;;;;;;;9.75
o;4;9.75;Wigger Simon;;15;55.25;3;10.0;-1;0.25;8.5
+;9;18.25;Renggli Remo (2001);;32;35.5;8;18.5;-1;0.25;9.75
o;10;28.0;Schnider Markus;*;19;54.25;13;27.25;3;-0.75;8.5
o;14;36.5;Portmann Roger;;16;55.0;14;36.5;0;0.0;8.5
o;18;45.0;Elmiger Matthias;;18;54.5;19;44.75;1;-0.25;8.5

22d;Rohrer Timo (2001);;;;;;;;;;53.5
o;;;Wandeler Roman (2002);;;;;;;;8.5
+;7;8.5;Limacher Luca (2002);;37;34.0;7;8.5;0;0.0;9.75
o;9;18.25;Muff Armin;**;13;55.75;12;17.25;3;-1.0;8.5
+;15;26.75;Weber Roman;;24;53.0;14;27.0;-1;0.25;9.75
o;14;36.5;Bühler Patrice;;16;55.0;15;36.25;1;-0.25;8.5
o;18;45.0;Hodler Mathias;;17;54.75;18;45.0;0;0.0;8.5

23a;Von Euw Adi;;;;;;;;;;53.25
o;;;Fellmann Simon;;;;;;;;8.5
o;7;8.5;Aregger Fabian (2001);;20;54.0;6;8.75;-1;0.25;8.75
+;12;17.25;Achermann Ueli (2001);;32;35.5;12;17.25;0;0.0;10.0
o;13;27.25;Kammermann Thomas;*;21;53.75;17;26.25;4;-1.0;8.5
o;17;35.75;Elmiger Andreas;;18;54.5;16;36.0;-1;0.25;8.5
-;21;44.25;Amrein Thomas;;22;53.5;20;44.5;-1;0.25;9.0

24a;Wyss Christian;;;;;;;;;;53.0
+;;;Gloggner André (2001);;;;;;;;10.0
o;3;10.0;Gander Martin;;18;54.5;4;9.75;1;-0.25;8.5
o;8;18.5;Fassbind René;*;14;55.5;9;18.25;1;-0.25;8.75
o;13;27.25;Lang Sven;*;9;56.75;14;27.0;1;-0.25;8.5
o;17;35.75;Bissig Fabian;;13;55.75;17;35.75;0;0.0;8.75
o;20;44.5;Grüter Marcel;;19;54.25;20;44.5;0;0.0;8.5

24b;Wicki Patrick;;;;;;;;;;53.0
o;;;Zürcher Ueli (2000);;;;;;;;8.5
-;7;8.5;Schwyzer Samuel (2001);;20;54.0;7;8.5;0;0.0;8.75
+;12;17.25;Hurni Florian (2002);;32;35.5;13;17.0;1;-0.25;9.75
-;14;27.0;Bühlmann Daniel (2000);;17;54.75;14;27.0;0;0.0;8.75
-;17;35.75;Birchler Fabian (2000);;21;53.75;16;36.0;-1;0.25;8.75
o;20;44.5;Zimmermann Daniel;*;18;54.5;19;44.75;-1;0.25;8.5

24c;Blattmann Philipp (2000);;;;;;;;;;53.0
-;;;Ziegler Dominik;;;;;;;;8.75
o;6;8.75;Huser Tobias (2002);;17;54.75;7;8.5;1;-0.25;8.5
o;12;17.25;Waser David (2002);;22;53.5;13;17.0;1;-0.25;8.75
+;18;26.0;Limacher Luca (2002);;37;34.0;20;25.5;2;-0.5;10.0
o;16;36.0;Widmer Simon;;18;54.5;16;36.0;0;0.0;8.5
o;20;44.5;Wandeler Roman (2002);;18;54.5;20;44.5;0;0.0;8.5

24d;von Rickenbach Pirmin (2002);;;;;;;;;;53.0
o;;;Wyss Sven (2001);;;;;;;;8.5
-;7;8.5;Krummenacher Fabian;;32;35.5;7;8.5;0;0.0;8.75
+;12;17.25;Arnold Adrian (2001);;37;34.0;13;17.0;1;-0.25;10.0
-;13;27.25;Widmer Simon;;18;54.5;14;27.0;1;-0.25;8.75
o;16;36.0;Vogel Manuel;;18;54.5;16;36.0;0;0.0;8.5
o;20;44.5;Rust Sandro;;19;54.25;20;44.5;0;0.0;8.5

24e;Weber Roman;;;;;;;;;;53.0
o;;;Zumstein Patrick;;;;;;;;8.5
o;7;8.5;Bühlmann Daniel (2000);;17;54.75;6;8.75;-1;0.25;8.75
+;12;17.25;Krummenacher Roman;;34;34.75;12;17.25;0;0.0;9.75
o;14;27.0;Rohrer Timo (2001);;22;53.5;15;26.75;1;-0.25;8.75
o;17;35.75;Bucheli Dario (2001);;19;54.25;17;35.75;0;0.0;8.75
o;20;44.5;Banz Matthias (2001);;19;54.25;21;44.25;1;-0.25;8.5

25a;Ziegler Dominik;;;;;;;;;;52.75
-;;;Blattmann Philipp (2000);;;;;;;;8.75
+;6;8.75;Achermann Patrick (2000);;33;35.25;7;8.5;1;-0.25;10.0
o;7;18.75;Blaser Roman;*;12;56.0;9;18.25;2;-0.5;8.5
o;13;27.25;Rüttimann Daniel;;18;54.5;13;27.25;0;0.0;8.5
o;17;35.75;Widmer Dominik;;19;54.25;17;35.75;0;0.0;8.5
o;21;44.25;Marti Philipp (2002);;19;54.25;21;44.25;0;0.0;8.5

25b;Gloggner André (2001);;;;;;;;;;52.75
o;;;Wyss Christian;;;;;;;;8.5
o;7;8.5;Theiler Thomas;;32;35.5;7;8.5;0;0.0;8.5
-;13;17.0;Rust Sandro;;19;54.25;12;17.25;-1;0.25;8.75
+;19;25.75;Hodel Iwan (2002);;37;34.0;20;25.5;1;-0.25;10.0
o;17;35.75;Suter Raphael (2000);;20;54.0;17;35.75;0;0.0;8.5
o;21;44.25;Hodel Michael (2000);;19;54.25;20;44.5;-1;0.25;8.5

26a;von Ah Benji;***;;;;;;;;;47.75
o;;;Wicki Joel;**;;;;;;;8.5
+;7;8.5;Lang Sven;*;9;56.75;6;8.75;-1;0.25;10.0
+;8;18.5;Felder Seppi;*;13;55.75;8;18.5;0;0.0;9.75
+;9;28.25;Zgraggen Fabian;*;12;56.0;12;27.5;3;-0.75;9.75
+;8;38.0;Vogel Remo;**;10;56.5;7;38.25;-1;0.25;9.75

27a;Zumstein Patrick;;;;;;;;;;46.75
+;;;Weber Roman;;;;;;;;9.75
+;4;9.75;Murpf Dario;;15;55.25;4;9.75;0;0.0;10.0
o;4;19.75;Müller Michael;**;10;56.5;8;18.5;4;-1.25;8.5
o;9;28.25;Graber Michael;*;12;56.0;13;27.25;4;-1.0;8.5
+;13;36.75;Waser David (2002);;22;53.5;14;36.5;1;-0.25;10.0

27b;Bucher Roland;*;;;;;;;;;46.75
o;;;Vogel Remo;**;;;;;;;8.5
+;7;8.5;Lampart Valentin (2000);;21;53.75;4;9.75;-3;1.25;10.0
+;8;18.5;Ziegler Elias;;17;54.75;5;19.5;-3;1.0;9.75
o;9;28.25;Heiniger Marco;*;9;56.75;8;28.5;-1;0.25;8.75
+;12;37.0;Hodel Martin;;18;54.5;16;36.0;4;-1.0;9.75

27c;Portmann Fabian;;;;;;;;;;46.75
+;;;Egli Samuel;;;;;;;;10.0
+;3;10.0;Ettlin Kevin (2001);;33;35.25;4;9.75;1;-0.25;10.0
+;3;20.0;Waser Dominik;**;14;55.5;4;19.75;1;-0.25;9.75
o;4;29.75;Fankhauser Erich;***;5;58.0;9;28.25;5;-1.5;8.5
o;7;38.25;Schelbert Ralf;**;7;57.25;6;38.5;-1;0.25;8.5

28a;Villiger Cyrill;*;;;;;;;;;46.0
-;;;Bachmann Roger;*;;;;;;;8.75
+;6;8.75;Zwyer Simon;;21;53.75;4;9.75;-2;1.0;10.0
-;7;18.75;Wüest David (2000);;13;55.75;4;19.75;-3;1.0;9.0
o;11;27.75;Barmet Sven;;14;55.5;14;27.0;3;-0.75;8.5
+;15;36.25;Bucheli Dario (2001);;19;54.25;17;35.75;2;-0.5;9.75

29a;Bucher Sandro (2000);;;;;;;;;;45.0
+;;;Burri Timo (2001);;;;;;;;9.75
+;4;9.75;Steinger Nico (2001);;33;35.25;4;9.75;0;0.0;9.75
o;5;19.5;Widmer Adrian;*;12;56.0;7;18.75;2;-0.75;8.5
o;10;28.0;Gisler Stefan;;16;55.0;11;27.75;1;-0.25;8.5
o;14;36.5;Ziegler Elias;;17;54.75;14;36.5;0;0.0;8.5

30a;Imfeld Beat;;;;;;;;;;36.75
+;;;Hodler Mathias;;;;;;;;9.75
o;4;9.75;Lang Sven;*;9;56.75;6;8.75;2;-1.0;8.5
+;9;18.25;Peter Lukas (2001);;33;35.25;9;18.25;0;0.0;10.0
o;9;28.25;Zgraggen Fabian;*;12;56.0;12;27.5;3;-0.75;8.5

30b;Scherrer Patrick;;;;;;;;;;36.75
o;;;Gemsch Stefan;;;;;;;;8.5
+;7;8.5;Hodler Mathias;;17;54.75;7;8.5;0;0.0;9.75
+;9;18.25;Huser Tobias (2002);;17;54.75;9;18.25;0;0.0;10.0
o;9;28.25;Zimmermann Martin;**;9;56.75;11;27.75;2;-0.5;8.5

31a;Keller Janik;*;;;;;;;;;36.0
-;;;Schöpfer Ronny;*;;;;;;;9.0
-;5;9.0;Doppmann Ueli;;18;54.5;3;10.0;-2;1.0;8.75
+;10;17.75;Vogel Laurin (2002);;20;54.0;7;18.75;-3;1.0;9.75
o;12;27.5;Achermann Christoph;*;15;55.25;10;28.0;-2;0.5;8.5

32a;Müller Mathias;;;;;;;;;;35.5
o;;;Portmann Roger;;;;;;;;8.75
+;6;8.75;Krummenacher Roman;;34;34.75;6;8.75;0;0.0;9.75
o;8;18.5;Hirsiger Alexander;*;16;55.0;10;17.75;2;-0.75;8.5
o;14;27.0;Kaufmann Reto (2002);;14;55.5;13;27.25;-1;0.25;8.5

32b;Riedi Rafael (2002);;;;;;;;;;35.5
o;;;Kurmann Jvo;;;;;;;;8.5
o;7;8.5;Stäger Franz (2000);;15;55.25;7;8.5;0;0.0;8.5
o;13;17.0;Hodler Mathias;;17;54.75;13;17.0;0;0.0;8.5
+;20;25.5;Arnold Adrian (2001);;37;34.0;20;25.5;0;0.0;10.0

32c;Theiler Thomas;;;;;;;;;;35.5
o;;;Gut Koni;;;;;;;;8.5
+;7;8.5;Gloggner André (2001);;25;52.75;7;8.5;0;0.0;10.0
o;8;18.5;Huber Alex;*;13;55.75;11;17.5;3;-1.0;8.5
o;14;27.0;Rohrer André;;19;54.25;13;27.25;-1;0.25;8.5

32d;Wicki Fabian (2001);;;;;;;;;;35.5
+;;;Marti Philipp (2002);;;;;;;;10.0
o;3;10.0;Zwyer Simon;;21;53.75;4;9.75;1;-0.25;8.5
o;8;18.5;Lemmenmeier Lukas;*;14;55.5;12;17.25;4;-1.25;8.5
o;14;27.0;Aregger Fabian (2001);;20;54.0;14;27.0;0;0.0;8.5

32e;Broch Marcel (2002);;;;;;;;;;35.5
+;;;Vogel Ivo (2001);;;;;;;;10.0
o;3;10.0;Renggli Remo (2001);;32;35.5;3;10.0;0;0.0;8.5
o;8;18.5;Stucki Christian;*;14;55.5;11;17.5;3;-1.0;8.5
o;14;27.0;Barmet Sven;;14;55.5;14;27.0;0;0.0;8.5

32f;Krummenacher Fabian;;;;;;;;;;35.5
o;;;Doppmann Ueli;;;;;;;;8.5
-;7;8.5;von Rickenbach Pirmin (2002);;24;53.0;7;8.5;0;0.0;8.75
o;12;17.25;Schwyzer Samuel (2001);;20;54.0;12;17.25;0;0.0;8.5
+;19;25.75;Egli Samuel;;37;34.0;20;25.5;1;-0.25;9.75

32g;Stutzer Michael;;;;;;;;;;35.5
o;;;Barmet Sven;;;;;;;;8.5
+;7;8.5;Fischer Maurus (2001);;39;25.75;6;8.75;-1;0.25;9.75
o;9;18.25;Graber Michael;*;12;56.0;12;17.25;3;-1.0;8.5
o;15;26.75;Stäger Franz (2000);;15;55.25;15;26.75;0;0.0;8.75

32h;Hurni Florian (2002);;;;;;;;;;35.5
o;;;Lampart Valentin (2000);;;;;;;;8.5
o;7;8.5;Thalmann Adrian;;2;91.25;2;18.5;-5;10.0;8.5
o;13;17.0;Wicki Patrick;;24;53.0;12;17.25;-1;0.25;8.5
+;20;25.5;Leisibach Gian (2002);;37;34.0;20;25.5;0;0.0;10.0

32i;Gloggner Elias (2002);;;;;;;;;;35.5
o;;;Steinger Nico (2001);;;;;;;;8.5
+;7;8.5;Leisibach Gian (2002);;37;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Gäggeler Adrian;*;13;55.75;11;17.5;3;-1.0;8.5
o;14;27.0;Klauser Nico;;16;55.0;14;27.0;0;0.0;8.5

32j;Häller Nick (2002);;;;;;;;;;35.5
-;;;Schmid Joel;;;;;;;;8.75
+;6;8.75;Rust Silvio (2001);;37;34.0;7;8.5;1;-0.25;9.75
o;8;18.5;Reichmuth Roland;;17;54.75;7;18.75;-1;0.25;8.5
o;14;27.0;Amrein Lukas;;21;53.75;15;26.75;1;-0.25;8.5

32k;Troxler Silvan (2002);;;;;;;;;;35.5
o;;;Wicki David;;;;;;;;8.5
o;7;8.5;Ziegler Manuel;;16;55.0;7;8.5;0;0.0;8.5
o;13;17.0;Odermatt Andreas;;20;54.0;12;17.25;-1;0.25;8.5
+;20;25.5;Rust Silvio (2001);;37;34.0;20;25.5;0;0.0;10.0

32l;Kunz Gian Luca (2001);;;;;;;;;;35.5
o;;;Achermann Simon;;;;;;;;8.5
o;7;8.5;Baumann Lukas;;13;55.75;6;8.75;-1;0.25;8.5
+;13;17.0;Schumacher Marco (2000);;36;34.25;13;17.0;0;0.0;10.0
o;14;27.0;Lampart Valentin (2000);;21;53.75;15;26.75;1;-0.25;8.5

32m;Achermann Ueli (2001);;;;;;;;;;35.5
o;;;Ulrich Livio;;;;;;;;8.5
-;7;8.5;Rust Sandro;;19;54.25;7;8.5;0;0.0;8.75
o;12;17.25;Von Euw Adi;;23;53.25;12;17.25;0;0.0;8.5
+;19;25.75;Schumacher Ramon (2002);;37;34.0;20;25.5;1;-0.25;9.75

32n;Renggli Remo (2001);;;;;;;;;;35.5
+;;;Broch Marcel (2002);;;;;;;;10.0
o;3;10.0;Amgarten Roman;*;17;54.75;7;8.5;4;-1.5;8.5
o;8;18.5;Burri Ueli;;22;53.5;9;18.25;1;-0.25;8.5
o;14;27.0;Durrer Ueli;;18;54.5;13;27.25;-1;0.25;8.5

32o;Kempf Damian;;;;;;;;;;35.5
o;;;Kammermann Dominik;;;;;;;;8.5
-;7;8.5;Gisler Stefan;;16;55.0;5;9.0;-2;0.5;8.75
+;12;17.25;Hodel Martin;;18;54.5;11;17.5;-1;0.25;9.75
o;14;27.0;Felder Martin;*;17;54.75;15;26.75;1;-0.25;8.5

32p;Gwerder Beni;;;;;;;;;;35.5
o;;;Stöckli Damian;;;;;;;;8.5
+;7;8.5;Füglister Florian (2002);;33;35.25;7;8.5;0;0.0;10.0
o;8;18.5;Thalmann Thomas;*;8;57.0;10;17.75;2;-0.75;8.5
o;14;27.0;Egli Adrian (2002);;20;54.0;15;26.75;1;-0.25;8.5

33a;Marti Pirmin (2001);;;;;;;;;;35.25
o;;;Troxler Jonas (2000);;;;;;;;8.5
+;7;8.5;Schumacher Ramon (2002);;37;34.0;7;8.5;0;0.0;9.75
o;9;18.25;Bienz Romeo;;19;54.25;9;18.25;0;0.0;8.5
o;15;26.75;Hodler Mathias;;17;54.75;15;26.75;0;0.0;8.5

33b;Wicki David (2002);;;;;;;;;;35.25
+;;;Arnold Adrian (2001);;;;;;;;9.75
o;4;9.75;Durrer Robin;;14;55.5;3;10.0;-1;0.25;8.5
o;9;18.25;Beffa Mario;;15;55.25;9;18.25;0;0.0;8.5
o;15;26.75;Kottmann Jonas (2000);;21;53.75;15;26.75;0;0.0;8.5

33c;Bürgi Reto;*;;;;;;;;;35.25
-;;;Lang Sven;*;;;;;;;8.75
-;6;8.75;Doppmann Urs;*;12;56.0;6;8.75;0;0.0;8.75
-;11;17.5;Elmiger Matthias;;18;54.5;8;18.5;-3;1.0;9.0
-;16;26.5;Elmiger Andreas;;18;54.5;13;27.25;-3;0.75;8.75

33d;Gemsch Stefan;;;;;;;;;;35.25
+;;;Scherrer Patrick;;;;;;;;9.75
o;4;9.75;Zürcher Ueli (2000);;12;56.0;3;10.0;-1;0.25;8.5
o;9;18.25;Felder Martin;*;17;54.75;13;17.0;4;-1.25;8.5
o;15;26.75;Kurmann Jvo;;15;55.25;15;26.75;0;0.0;8.5

33e;Peter Lukas (2001);;;;;;;;;;35.25
+;;;Füglister Florian (2002);;;;;;;;9.75
o;4;9.75;Hurschler Michael;;19;54.25;4;9.75;0;0.0;8.5
o;9;18.25;Imfeld Beat;;30;36.75;9;18.25;0;0.0;8.5
o;15;26.75;Rust Sandro;;19;54.25;18;26.0;3;-0.75;8.5

33f;Ulrich Damian;;;;;;;;;;35.25
+;;;Bucheli Dario (2001);;;;;;;;9.75
o;4;9.75;Wyss Sven (2001);;14;55.5;3;10.0;-1;0.25;8.5
o;9;18.25;Murpf Dario;;15;55.25;9;18.25;0;0.0;8.5
o;15;26.75;Egli Christian (2000);;20;54.0;15;26.75;0;0.0;8.5

33g;Füglister Florian (2002);;;;;;;;;;35.25
o;;;Peter Lukas (2001);;;;;;;;8.5
o;7;8.5;Gwerder Beni;;32;35.5;7;8.5;0;0.0;8.5
o;13;17.0;Fallegger Joel;;18;54.5;10;17.75;-3;0.75;8.5
+;20;25.5;Bühler Ramon (2002);;37;34.0;20;25.5;0;0.0;9.75

33h;Egli Matthias (2001);;;;;;;;;;35.25
+;;;Schumacher Ramon (2002);;;;;;;;9.75
o;4;9.75;Gwerder Marco;;16;55.0;4;9.75;0;0.0;8.5
o;9;18.25;Troxler Jonas (2000);;14;55.5;8;18.5;-1;0.25;8.5
o;15;26.75;Giger Janik (2002);;14;55.5;14;27.0;-1;0.25;8.5

33i;Steinger Nico (2001);;;;;;;;;;35.25
+;;;Gloggner Elias (2002);;;;;;;;9.75
o;4;9.75;Bucher Sandro (2000);;29;45.0;4;9.75;0;0.0;8.5
o;9;18.25;Wigger Simon;;15;55.25;8;18.5;-1;0.25;8.5
o;15;26.75;Schwyzer Samuel (2001);;20;54.0;14;27.0;-1;0.25;8.5

33j;Ettlin Kevin (2001);;;;;;;;;;35.25
+;;;Limacher Luca (2002);;;;;;;;9.75
o;4;9.75;Portmann Fabian;;27;46.75;3;10.0;-1;0.25;8.5
o;9;18.25;Achermann Daniel;;17;54.75;9;18.25;0;0.0;8.5
o;15;26.75;Huser Tobias (2002);;17;54.75;15;26.75;0;0.0;8.5

33k;Burri Timo (2001);;;;;;;;;;35.25
o;;;Bucher Sandro (2000);;;;;;;;8.5
o;7;8.5;Rohrer André;;19;54.25;5;9.0;-2;0.5;8.5
+;13;17.0;Limacher Luca (2002);;37;34.0;13;17.0;0;0.0;9.75
o;15;26.75;Ziegler Manuel;;16;55.0;14;27.0;-1;0.25;8.5

33l;Achermann Patrick (2000);;;;;;;;;;35.25
o;;;Banz Matthias (2001);;;;;;;;8.5
o;7;8.5;Ziegler Dominik;;25;52.75;6;8.75;-1;0.25;8.5
o;13;17.0;Bussmann Martin;;21;53.75;13;17.0;0;0.0;8.5
+;20;25.5;Elmiger Elias (2001);;36;34.25;19;25.75;-1;0.25;9.75

33m;Lischer Daniel;;;;;;;;;;35.25
o;;;Hurschler Michael;;;;;;;;8.5
+;7;8.5;Felder Dominik (2001);;34;34.75;7;8.5;0;0.0;9.75
