1865-2015-06-14_Stoos-Schwinget-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;5;8.5;Bernhard Lukas;*;30;17.0;5;8.5;0;0.0;9.75
+;7;18.25;Gloggner Reto;**;22;35.5;6;18.5;-1;0.25;9.75
o;6;28.0;Egli Pirmin;*;12;55.25;5;28.25;-1;0.25;8.5
+;11;36.5;Schärli Pius;*;19;53.25;12;36.25;1;-0.25;9.75
o;10;46.25;Laimbacher Adrian;***;7;56.5;9;46.5;-1;0.25;8.5

14e;Mathis Marcel;***;;;;;;;;;54.75
+;;;Krähenbühl Tobias;**;;;;;;;10.0
-;1;10.0;Gloggner Reto;**;22;35.5;2;9.75;1;-0.25;8.75
-;5;18.75;Orlik Curdin;**;15;54.5;5;18.75;0;0.0;8.75
+;8;27.5;Riget Tobias;**;20;53.0;8;27.5;0;0.0;10.0
-;7;37.5;Kindlimann Fabian;***;9;56.0;8;37.25;1;-0.25;8.75
o;10;46.25;Forrer Arnold;***;7;56.5;8;46.75;-2;0.5;8.5

15a;Stoffel Marc;**;;;;;;;;;54.5
+;;;Schuler Philipp;**;;;;;;;9.75
-;2;9.75;Laimbacher Adrian;***;7;56.5;4;8.75;2;-1.0;8.75
-;6;18.5;Gassmann Fabian;**;29;27.0;7;18.25;1;-0.25;8.75
-;9;27.25;Hess Michael;*;20;53.0;9;27.25;0;0.0;8.75
-;13;36.0;Heinzer Stefan;*;19;53.25;13;36.0;0;0.0;8.75
+;16;44.75;Schärli Pius;*;19;53.25;16;44.75;0;0.0;9.75

15b;Betschart Rainer;**;;;;;;;;;54.5
-;;;Orlik Curdin;**;;;;;;;9.0
+;3;9.0;Roth Martin;*;26;34.5;4;8.75;1;-0.25;9.75
-;5;18.75;Schneider Domenic;**;12;55.25;7;18.25;2;-0.5;8.75
o;8;27.5;Rhyner Michael;**;10;55.75;9;27.25;1;-0.25;8.5
-;13;36.0;Hersche Martin;**;16;54.25;14;35.75;1;-0.25;8.75
+;16;44.75;Riget Tobias;**;20;53.0;17;44.5;1;-0.25;9.75

15c;Ulrich Florian;*;;;;;;;;;54.5
+;;;Hersche Martin;**;;;;;;;9.75
-;2;9.75;Bösch Daniel;***;9;56.0;4;8.75;2;-1.0;9.0
o;5;18.75;Erb Roger;**;13;55.0;7;18.25;2;-0.5;8.75
o;8;27.5;Schneider Domenic;**;12;55.25;10;27.0;2;-0.5;8.5
+;13;36.0;Riget Tobias;**;20;53.0;13;36.0;0;0.0;10.0
o;11;46.0;Kindlimann Fabian;***;9;56.0;11;46.0;0;0.0;8.5

15d;Orlik Curdin;**;;;;;;;;;54.5
-;;;Betschart Rainer;**;;;;;;;9.0
+;3;9.0;Gwerder Carlo;**;21;52.75;3;9.0;0;0.0;9.75
-;5;18.75;Mathis Marcel;***;14;54.75;5;18.75;0;0.0;8.75
-;8;27.5;Villiger Cyrill;*;16;54.25;9;27.25;1;-0.25;8.75
+;12;36.25;Höfliger Andreas;*;19;53.25;12;36.25;0;0.0;9.75
o;11;46.0;Gloggner Philipp;***;10;55.75;11;46.0;0;0.0;8.5

16a;Kuster Marcel;**;;;;;;;;;54.25
+;;;Bernhard Lukas;*;;;;;;;9.75
-;2;9.75;Imfeld Peter;***;22;35.5;5;8.5;3;-1.25;8.75
-;6;18.5;Villiger Cyrill;*;16;54.25;6;18.5;0;0.0;8.75
o;9;27.25;Schelbert Ralf;*;11;55.5;9;27.25;0;0.0;8.5
+;14;35.75;Hess Michael;*;20;53.0;13;36.0;-1;0.25;9.75
